,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,1091374.0,
Tax Rate For Calcs,0.34,0.34,0.061,0.191,
Normalized EBITDA,184666000.0,96473000.0,74621000.0,200666000.0,
Total Unusual Items,,13038000.0,-18896000.0,5714000.0,86266000.0
Total Unusual Items Excluding Goodwill,,13038000.0,-18896000.0,5714000.0,86266000.0
Net Income From Continuing Operation Net Minority Interest,-129119000.0,-227878000.0,-227810000.0,-5625000.0,
Reconciled Depreciation,102231000.0,93130000.0,117737000.0,119604000.0,
Reconciled Cost Of Revenue,861335000.0,814782000.0,759261000.0,780530000.0,
EBITDA,184666000.0,96473000.0,74621000.0,206380000.0,
EBIT,82435000.0,3343000.0,-43116000.0,86776000.0,
Net Interest Income,-221047000.0,-249166000.0,-201197000.0,-91627000.0,
Interest Expense,177885000.0,202812000.0,151483000.0,84320000.0,
Interest Income,45905000.0,1284000.0,1167000.0,1603000.0,
Normalized Income,-129119000.0,-227878000.0,-227810000.0,-10247626.0,
Net Income From Continuing And Discontinued Operation,-129119000.0,-227878000.0,-227810000.0,-5625000.0,
Total Expenses,1103983000.0,1146839000.0,1128125000.0,1054351000.0,
Total Operating Income As Reported,,38901000.0,-32037000.0,,
Diluted Average Shares,,118293000.0,117792141.0,117548000.0,118038000.0
Basic Average Shares,,118293000.0,117792141.0,117548000.0,118038000.0
Diluted EPS,,-1.926,-1.934,-0.04785,-0.825
Basic EPS,,-1.926,-1.934,-0.04785,-0.825
Diluted NI Availto Com Stockholders,-129119000.0,-227878000.0,-227810000.0,-5625000.0,
Net Income Common Stockholders,-129119000.0,-227878000.0,-227810000.0,-5625000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-129119000.0,-227878000.0,-227810000.0,-5625000.0,
Minority Interests,-11883000.0,-9319000.0,-8567000.0,-7613000.0,
Net Income Including Noncontrolling Interests,-111202000.0,-212133000.0,-219243000.0,1988000.0,
Net Income Continuous Operations,-111202000.0,-212133000.0,-219243000.0,1988000.0,
Tax Provision,15752000.0,12664000.0,-13991000.0,468000.0,
Pretax Income,-95450000.0,-199469000.0,-233234000.0,2456000.0,
Net Non Operating Interest Income Expense,-221047000.0,-249166000.0,-201197000.0,-91627000.0,
Total Other Finance Cost,89067000.0,47638000.0,31985000.0,8910000.0,
Interest Expense Non Operating,177885000.0,202812000.0,151483000.0,84320000.0,
Interest Income Non Operating,45905000.0,1284000.0,1167000.0,1603000.0,
Operating Income,113009000.0,32745000.0,-43116000.0,82221000.0,
Operating Expense,242648000.0,332057000.0,368864000.0,273821000.0,
Other Operating Expenses,-5949000.0,6980000.0,30450000.0,11887000.0,
Selling General And Administration,248597000.0,325077000.0,338414000.0,261934000.0,
General And Administrative Expense,248597000.0,325077000.0,338414000.0,261934000.0,
Gross Profit,355657000.0,364802000.0,325748000.0,356042000.0,
Cost Of Revenue,861335000.0,814782000.0,759261000.0,780530000.0,
Total Revenue,1216992000.0,1179584000.0,1085009000.0,1136572000.0,
Operating Revenue,1216992000.0,1179584000.0,1085009000.0,1136572000.0,
