,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-2456500.0,-1284520.0,1586780.0,-1440240.0,
Tax Rate For Calcs,0.34,0.34,0.34,0.34,
Normalized EBITDA,484229000.0,434456000.0,309731000.0,205747000.0,
Total Unusual Items,-7225000.0,-3778000.0,4667000.0,-4236000.0,
Total Unusual Items Excluding Goodwill,-7225000.0,-3778000.0,4667000.0,-4236000.0,
Net Income From Continuing Operation Net Minority Interest,-15938000.0,-73911000.0,-160871000.0,-223357000.0,
Reconciled Depreciation,248919000.0,238700000.0,234912000.0,243048000.0,
Reconciled Cost Of Revenue,1054069000.0,916395000.0,795925000.0,628017000.0,
EBITDA,477004000.0,430678000.0,314398000.0,201511000.0,
EBIT,228085000.0,191978000.0,79486000.0,-41537000.0,
Net Interest Income,-206707000.0,-231840000.0,-229178000.0,-188630000.0,
Interest Expense,232033000.0,254363000.0,232417000.0,180081000.0,
Interest Income,22767000.0,26979000.0,10668000.0,4724000.0,
Normalized Income,-11169500.0,-71417520.0,-163951220.0,-220561240.0,
Net Income From Continuing And Discontinued Operation,-15938000.0,-73911000.0,-160871000.0,-223357000.0,
Total Expenses,1376391000.0,1184257000.0,1032203000.0,863888000.0,
Total Operating Income As Reported,211005000.0,172025000.0,75836000.0,-32393000.0,
Diluted Average Shares,,214538174.0,197725629.0,193856156.0,181268928.0
Basic Average Shares,,214538174.0,197725629.0,193856156.0,181268928.0
Diluted EPS,,-0.3445,-0.8136,-0.8641,-0.9431
Basic EPS,,-0.3445,-0.8136,-0.8641,-0.9431
Diluted NI Availto Com Stockholders,-15938000.0,-73911000.0,-160871000.0,-223357000.0,
Net Income Common Stockholders,-15938000.0,-73911000.0,-160871000.0,-223357000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-15938000.0,-73911000.0,-160871000.0,-223357000.0,
Minority Interests,-7219000.0,-5831000.0,-3185000.0,813000.0,
Net Income Including Noncontrolling Interests,-8719000.0,-68080000.0,-157686000.0,-224170000.0,
Net Income Continuous Operations,-8719000.0,-68080000.0,-157686000.0,-224170000.0,
Tax Provision,4771000.0,5695000.0,4755000.0,2552000.0,
Pretax Income,-3948000.0,-62385000.0,-152931000.0,-221618000.0,
Net Non Operating Interest Income Expense,-206707000.0,-231840000.0,-229178000.0,-188630000.0,
Total Other Finance Cost,-2559000.0,4456000.0,7429000.0,13273000.0,
Interest Expense Non Operating,232033000.0,254363000.0,232417000.0,180081000.0,
Interest Income Non Operating,22767000.0,26979000.0,10668000.0,4724000.0,
Operating Income,208417000.0,172084000.0,80756000.0,-28957000.0,
Operating Expense,322322000.0,267862000.0,236278000.0,235871000.0,
Other Operating Expenses,21222000.0,-3199000.0,-24966000.0,-1193000.0,
Depreciation And Amortization In Income Statement,164300000.0,157009000.0,154005000.0,146375000.0,
Amortization,164300000.0,157009000.0,154005000.0,146375000.0,
Depreciation Income Statement,0.0,0.0,0.0,0.0,
Selling General And Administration,136800000.0,114052000.0,107239000.0,90689000.0,
General And Administrative Expense,136800000.0,114052000.0,107239000.0,90689000.0,
Gross Profit,530739000.0,439946000.0,317034000.0,206914000.0,
Cost Of Revenue,1054069000.0,916395000.0,795925000.0,628017000.0,
Total Revenue,1584808000.0,1356341000.0,1112959000.0,834931000.0,
Operating Revenue,1584808000.0,1356341000.0,1112959000.0,834931000.0,
