,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,-229160000.0,-23630000.0,-551845840.0,
Tax Rate For Calcs,0.363713,0.34,0.01,0.34,
Normalized EBITDA,16906000000.0,-1625000000.0,-6530000000.0,-1746109000.0,
Total Unusual Items,,-674000000.0,-2363000000.0,-1623076000.0,
Total Unusual Items Excluding Goodwill,,-674000000.0,-2363000000.0,-1623076000.0,
Net Income From Continuing Operation Net Minority Interest,8252000000.0,-2272000000.0,-13220000000.0,-6237362000.0,
Reconciled Depreciation,1010000000.0,1374000000.0,1608000000.0,1048002000.0,
Reconciled Cost Of Revenue,9722000000.0,10586000000.0,20785000000.0,18630221000.0,
EBITDA,16906000000.0,-2299000000.0,-8893000000.0,-3369185000.0,
EBIT,15896000000.0,-3673000000.0,-10541000000.0,-4417187000.0,
Net Interest Income,12906000000.0,-2222000000.0,-4538000000.0,-1582213000.0,
Interest Expense,2927000000.0,3361000000.0,2808000000.0,1655548000.0,
Interest Income,3724000000.0,1263000000.0,587000000.0,445245000.0,
Normalized Income,8252000000.0,-1827160000.0,-10880630000.0,-5166131840.0,
Net Income From Continuing And Discontinued Operation,8281000000.0,-2272000000.0,-13220000000.0,-6237362000.0,
Total Expenses,16023000000.0,19078000000.0,32276000000.0,25304809000.0,
Rent Expense Supplemental,587000000.0,634000000.0,703000000.0,572886000.0,
Total Operating Income As Reported,650000000.0,-4178000000.0,-8108000000.0,-4490522000.0,
Diluted Average Shares,118380251.0,9025221.0,9025220.0,7494220.0,
Basic Average Shares,91988903.0,9025221.0,9025220.0,7494220.0,
Diluted EPS,69.95,-251.76,-1430.606456,-832.29,
Basic EPS,90.03,-251.76,-1430.606456,-832.29,
Diluted NI Availto Com Stockholders,8281000000.0,-2272000000.0,-13220000000.0,-6237362000.0,
Net Income Common Stockholders,8281000000.0,-2272000000.0,-13220000000.0,-6237362000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,8281000000.0,-2272000000.0,-13220000000.0,-6237362000.0,
Minority Interests,,,,,0.0
Net Income Including Noncontrolling Interests,8281000000.0,-2272000000.0,-13220000000.0,-6237362000.0,
Net Income Discontinuous Operations,29000000.0,,,,
Net Income Continuous Operations,8252000000.0,-2272000000.0,-13220000000.0,-6237362000.0,
Tax Provision,4717000000.0,-4762000000.0,-129000000.0,164627000.0,
Pretax Income,12969000000.0,-7034000000.0,-13349000000.0,-6072735000.0,
Other Non Operating Income Expenses,1735000000.0,,,,
Special Income Charges,,-674000000.0,-2363000000.0,-1623076000.0,
Write Off,,674000000.0,2363000000.0,1623076000.0,
Net Non Operating Interest Income Expense,12906000000.0,-2222000000.0,-4538000000.0,-1582213000.0,
Total Other Finance Cost,-12109000000.0,124000000.0,2317000000.0,371910000.0,
Interest Expense Non Operating,2927000000.0,3361000000.0,2808000000.0,1655548000.0,
Interest Income Non Operating,3724000000.0,1263000000.0,587000000.0,445245000.0,
Operating Income,-1674000000.0,-4136000000.0,-6455000000.0,-2783634000.0,
Operating Expense,6301000000.0,8492000000.0,11491000000.0,6674588000.0,
Other Operating Expenses,,544000000.0,1682000000.0,228301000.0,75593000.0
Depreciation And Amortization In Income Statement,1002000000.0,1366000000.0,1648000000.0,,597909000.0
Depreciation Income Statement,1002000000.0,1366000000.0,1648000000.0,,597909000.0
Selling General And Administration,2493000000.0,3471000000.0,4308000000.0,6446287000.0,
Selling And Marketing Expense,,,4855800000.0,4401745000.0,1705978000.0
General And Administrative Expense,2493000000.0,3471000000.0,4308000000.0,2044542000.0,
Rent And Landing Fees,587000000.0,634000000.0,703000000.0,572886000.0,
Gross Profit,4627000000.0,4356000000.0,5036000000.0,3890954000.0,
Cost Of Revenue,9722000000.0,10586000000.0,20785000000.0,18630221000.0,
Total Revenue,14349000000.0,14942000000.0,25821000000.0,22521175000.0,
Operating Revenue,14349000000.0,14942000000.0,25821000000.0,22521175000.0,
