,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-29714640.0,367260180.0,0.0,0.0,
Tax Rate For Calcs,0.004,0.34,0.0,0.0,
Normalized EBITDA,5660289000.0,3538779000.0,2144845000.0,302461000.0,
Total Unusual Items,-7428660000.0,1080177000.0,3467362000.0,496820000.0,
Total Unusual Items Excluding Goodwill,-7428660000.0,1080177000.0,3467362000.0,496820000.0,
Net Income From Continuing Operation Net Minority Interest,-9151371000.0,-2380456000.0,-722367000.0,-4213208000.0,
Reconciled Depreciation,2563982000.0,2404223000.0,2094448000.0,1544333000.0,
Reconciled Cost Of Revenue,13606878000.0,13468175000.0,12779659000.0,8169830000.0,
EBITDA,-1768371000.0,4618956000.0,5612207000.0,799281000.0,
EBIT,-4332353000.0,2214733000.0,3517759000.0,-745052000.0,
Net Interest Income,-5008356000.0,-4836565000.0,-4516493000.0,-3683963000.0,
Interest Expense,4857821000.0,4555663000.0,4240126000.0,3468156000.0,
Interest Income,149916000.0,104667000.0,259220000.0,131897000.0,
Normalized Income,-1752425640.0,-3093372820.0,-4189729000.0,-4710028000.0,
Net Income From Continuing And Discontinued Operation,-9151371000.0,-2380456000.0,-722367000.0,-4213208000.0,
Total Expenses,16279366000.0,17138967000.0,15621303000.0,10996616000.0,
Rent Expense Supplemental,,1056900000.0,1756544000.0,677653000.0,848057000.0
Total Operating Income As Reported,3390632000.0,1661094000.0,1429555000.0,54795000.0,
Diluted Average Shares,347661854.0,347500000.0,417800000.0,406300000.0,
Basic Average Shares,347661854.0,347500000.0,347659609.0,345681681.0,
Diluted EPS,-26.32,-2.02,-3.968249,-13.792169,
Basic EPS,-26.32,-2.02,-3.968249,-13.792169,
Diluted NI Availto Com Stockholders,-9151371000.0,-2380456000.0,-722367000.0,-4213208000.0,
Net Income Common Stockholders,-9151371000.0,-2380456000.0,-722367000.0,-4213208000.0,
Net Income,-9151371000.0,-2380456000.0,-722367000.0,-4213208000.0,
Net Income Including Noncontrolling Interests,-9151371000.0,-2380456000.0,-722367000.0,-4213208000.0,
Net Income Continuous Operations,-9151371000.0,-2380456000.0,-722367000.0,-4213208000.0,
Tax Provision,-38803000.0,39526000.0,0.0,0.0,
Pretax Income,-9190174000.0,-2340930000.0,-722367000.0,-4213208000.0,
Other Income Expense,-7428660000.0,1080177000.0,3467362000.0,491642000.0,
Other Non Operating Income Expenses,,,,,-713834000.0
Special Income Charges,143790000.0,-306429000.0,1102791000.0,1075682000.0,
Other Special Charges,,552065000.0,81665000.0,62781000.0,61786000.0
Write Off,-143790000.0,-245636000.0,-1102791000.0,-1075682000.0,
Impairment Of Capital Assets,,,-1102791000.0,-1075682000.0,-757554000.0
Earnings From Equity Interest,,0.0,0.0,-5178000.0,-713834000.0
Gain On Sale Of Security,-7572450000.0,1386606000.0,2364571000.0,-578862000.0,
Net Non Operating Interest Income Expense,-5008356000.0,-4836565000.0,-4516493000.0,-3683963000.0,
Total Other Finance Cost,300451000.0,385569000.0,535587000.0,347704000.0,
Interest Expense Non Operating,4857821000.0,4555663000.0,4240126000.0,3468156000.0,
Interest Income Non Operating,149916000.0,104667000.0,259220000.0,131897000.0,
Operating Income,3246842000.0,1415458000.0,326764000.0,-1020887000.0,
Operating Expense,2672488000.0,3670792000.0,2841644000.0,2826786000.0,
Other Operating Expenses,1703676000.0,2802036000.0,2039425000.0,2342543000.0,
Selling General And Administration,968812000.0,868756000.0,802219000.0,484243000.0,
Selling And Marketing Expense,889224000.0,779264000.0,699003000.0,403987000.0,
General And Administrative Expense,79588000.0,89492000.0,103216000.0,80256000.0,
Insurance And Claims,79588000.0,89492000.0,103216000.0,80256000.0,
Rent And Landing Fees,,,203398000.0,221800000.0,94124000.0
Gross Profit,5919330000.0,5086250000.0,3168408000.0,1805899000.0,
Cost Of Revenue,13606878000.0,13468175000.0,12779659000.0,8169830000.0,
Total Revenue,19526208000.0,18554425000.0,15948067000.0,9975729000.0,
Excise Taxes,105780000.0,162593000.0,586272000.0,426937000.0,
Operating Revenue,18125685000.0,17229732000.0,15020757000.0,9101576000.0,
