,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-21700840.0,18154980.0,0.0,2289039.7,
Tax Rate For Calcs,0.34,0.34,0.106,0.1489,
Normalized EBITDA,706433000.0,688233000.0,763770000.0,535203000.0,
Total Unusual Items,-63826000.0,53397000.0,59992000.0,15373000.0,
Total Unusual Items Excluding Goodwill,-63826000.0,53397000.0,59992000.0,15373000.0,
Net Income From Continuing Operation Net Minority Interest,341727000.0,399400000.0,424709000.0,345234000.0,
Reconciled Depreciation,414855000.0,222944000.0,166030000.0,105748000.0,
Reconciled Cost Of Revenue,3914692000.0,2217707000.0,1950092000.0,1385147000.0,
EBITDA,642607000.0,741630000.0,763770000.0,550576000.0,
EBIT,227752000.0,518686000.0,597740000.0,444828000.0,
Net Interest Income,-408274000.0,-199237000.0,-49477000.0,-77695000.0,
Interest Expense,237810000.0,142745000.0,124869000.0,40974000.0,
Interest Income,32876000.0,8609000.0,75392000.0,4182000.0,
Normalized Income,383852160.0,364157980.0,424709000.0,332150039.7,
Net Income From Continuing And Discontinued Operation,341727000.0,399400000.0,424709000.0,345234000.0,
Total Expenses,7878572000.0,4284799000.0,3683597000.0,2457552000.0,
Rent Expense Supplemental,,,,,13077000.0
Diluted Average Shares,,113705000.0,112828489.0,101654000.0,92012000.0
Basic Average Shares,,110816000.0,109120783.0,99590000.0,91641000.0
Diluted EPS,,3.5126,3.7642,3.3813,0.528018
Basic EPS,,3.6042,3.8921,3.4514,0.530156
Diluted NI Availto Com Stockholders,341727000.0,399400000.0,424709000.0,345234000.0,
Net Income Common Stockholders,341727000.0,399400000.0,424709000.0,345234000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,341727000.0,399400000.0,424709000.0,345234000.0,
Minority Interests,3178000.0,727000.0,2171000.0,1514000.0,
Net Income Including Noncontrolling Interests,338549000.0,398673000.0,422538000.0,343720000.0,
Net Income Continuous Operations,338549000.0,398673000.0,422538000.0,343720000.0,
Tax Provision,-348607000.0,-22732000.0,50333000.0,60134000.0,
Pretax Income,-10058000.0,375941000.0,472871000.0,403854000.0,
Special Income Charges,-117542000.0,-3185000.0,612000.0,2250000.0,
Other Special Charges,-14338000.0,3185000.0,-612000.0,-2250000.0,
Write Off,131880000.0,0.0,,,
Net Non Operating Interest Income Expense,-408274000.0,-199237000.0,-49477000.0,-77695000.0,
Total Other Finance Cost,203340000.0,65101000.0,61084000.0,40903000.0,
Interest Expense Non Operating,237810000.0,142745000.0,124869000.0,40974000.0,
Interest Income Non Operating,32876000.0,8609000.0,75392000.0,4182000.0,
Operating Income,501181000.0,561969000.0,550129000.0,466275000.0,
Operating Expense,3963880000.0,2067092000.0,1733505000.0,1072405000.0,
Other Operating Expenses,98227000.0,8258000.0,18875000.0,10222000.0,
Selling General And Administration,3883790000.0,2109204000.0,1819611000.0,1200628000.0,
Selling And Marketing Expense,2834836000.0,1713632000.0,1489371000.0,884411000.0,
General And Administrative Expense,1048954000.0,395572000.0,330240000.0,316217000.0,
Gross Profit,4465061000.0,2629061000.0,2283634000.0,1538680000.0,
Cost Of Revenue,3914692000.0,2217707000.0,1950092000.0,1385147000.0,
Total Revenue,8379753000.0,4846768000.0,4233726000.0,2923827000.0,
Operating Revenue,8379753000.0,4846768000.0,4233726000.0,2923827000.0,
