,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-2518812.1,0.0,0.0,-61150360.0,
Tax Rate For Calcs,0.0749,0.0769,0.34,0.34,
Normalized EBITDA,2235026000.0,2484790000.0,2024002000.0,2126143000.0,
Total Unusual Items,-33629000.0,0.0,-155446000.0,-179854000.0,
Total Unusual Items Excluding Goodwill,-33629000.0,0.0,-155446000.0,-179854000.0,
Net Income From Continuing Operation Net Minority Interest,-1558712000.0,421054000.0,652533000.0,598879000.0,
Reconciled Depreciation,668681000.0,512426000.0,414525000.0,346786000.0,
Reconciled Cost Of Revenue,27065603000.0,21378060000.0,25240352000.0,22320336000.0,
EBITDA,2201397000.0,2484790000.0,2024002000.0,1946289000.0,
EBIT,1532716000.0,1972364000.0,1609477000.0,1599503000.0,
Net Interest Income,-1810970000.0,-1963571000.0,-2066939000.0,-939685000.0,
Interest Expense,3037687000.0,1631211000.0,1221368000.0,1013896000.0,
Interest Income,,,,75015000.0,74897000.0
Normalized Income,-1527601812.1,421054000.0,652533000.0,717582640.0,
Net Income From Continuing And Discontinued Operation,-1558712000.0,421054000.0,652533000.0,598879000.0,
Total Expenses,31607362000.0,24841411000.0,28554534000.0,24929942000.0,
Diluted Average Shares,588326000.0,662742993.0,660630979.0,659183064.0,
Basic Average Shares,588326000.0,662742993.0,660630979.0,659183064.0,
Diluted EPS,-2.649,0.635318,0.987738,0.90852,
Basic EPS,-2.649,0.635318,0.987738,0.90852,
Diluted NI Availto Com Stockholders,-1558712000.0,421054000.0,652533000.0,598879000.0,
Net Income Common Stockholders,-1558712000.0,421054000.0,652533000.0,598879000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-1558712000.0,421054000.0,652533000.0,598879000.0,
Minority Interests,5094000.0,25521000.0,-2531000.0,,0.0
Net Income Including Noncontrolling Interests,-1563806000.0,395533000.0,655064000.0,598879000.0,
Net Income Continuous Operations,-1563806000.0,395533000.0,655064000.0,598879000.0,
Tax Provision,58835000.0,-54380000.0,-266955000.0,-13272000.0,
Pretax Income,-1504971000.0,341153000.0,388109000.0,585607000.0,
Other Non Operating Income Expenses,-107807000.0,-53081000.0,-155446000.0,-179854000.0,
Special Income Charges,-33629000.0,0.0,-155446000.0,-179854000.0,
Other Special Charges,,,155446000.0,179854000.0,62968000.0
Write Off,33629000.0,0.0,,,
Net Non Operating Interest Income Expense,-1810970000.0,-1963571000.0,-2066939000.0,-939685000.0,
Total Other Finance Cost,-1226717000.0,332360000.0,845571000.0,-74211000.0,
Interest Expense Non Operating,3037687000.0,1631211000.0,1221368000.0,1013896000.0,
Interest Income Non Operating,,,,75015000.0,74897000.0
Operating Income,2461504000.0,2050198000.0,2423235000.0,2035418000.0,
Operating Expense,4541759000.0,3463351000.0,3314182000.0,2609606000.0,
Other Operating Expenses,,,,,31311000.0
Selling General And Administration,4637173000.0,3483762000.0,3359795000.0,2624151000.0,
Selling And Marketing Expense,2781779000.0,2157115000.0,2333667000.0,1766570000.0,
General And Administrative Expense,1855394000.0,1326647000.0,1026128000.0,857581000.0,
Gross Profit,7003263000.0,5513549000.0,5737417000.0,4645024000.0,
Cost Of Revenue,27065603000.0,21378060000.0,25240352000.0,22320336000.0,
Total Revenue,34068866000.0,26891609000.0,30977769000.0,26965360000.0,
Operating Revenue,34068866000.0,26891609000.0,30977769000.0,26965360000.0,
