,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,197099582.587955,-266461208.94812,-50320000.0,-254320000.0
Tax Rate For Calcs,0.376863,0.375297,0.34,0.34
Normalized EBITDA,1099000000.0,-200000000.0,2047000000.0,1201000000.0
Total Unusual Items,523000000.0,-710000000.0,-148000000.0,-748000000.0
Total Unusual Items Excluding Goodwill,523000000.0,-710000000.0,-148000000.0,-748000000.0
Net Income From Continuing Operation Net Minority Interest,-1045000000.0,-2625000000.0,-342000000.0,-297000000.0
Reconciled Depreciation,1072000000.0,1139000000.0,1118000000.0,993000000.0
Reconciled Cost Of Revenue,18829000000.0,20792000000.0,21684000000.0,21572000000.0
EBITDA,1622000000.0,-910000000.0,1899000000.0,453000000.0
EBIT,550000000.0,-2049000000.0,781000000.0,-540000000.0
Net Interest Income,-3102000000.0,-3041000000.0,-2244000000.0,-1217000000.0
Interest Expense,2227000000.0,2153000000.0,1864000000.0,1020000000.0
Interest Income,66000000.0,69000000.0,83000000.0,14000000.0
Normalized Income,-1370900417.412045,-2181461208.94812,-244320000.0,196680000.0
Net Income From Continuing And Discontinued Operation,-1045000000.0,-2625000000.0,-342000000.0,-297000000.0
Total Expenses,26370000000.0,29348000000.0,29629000000.0,30539000000.0
Diluted Average Shares,95027000.0,72737000.0,63213000.0,72938330.0
Basic Average Shares,95027000.0,72737000.0,63213000.0,72938330.0
Diluted EPS,-10.99687,-36.09253,-5.40726,-4.066867
Basic EPS,-10.99687,-36.09253,-5.40726,-4.066867
Diluted NI Availto Com Stockholders,-1045000000.0,-2625000000.0,-342000000.0,-297000000.0
Net Income Common Stockholders,-1045000000.0,-2625000000.0,-342000000.0,-297000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-1045000000.0,-2625000000.0,-342000000.0,-297000000.0
Net Income Including Noncontrolling Interests,-1045000000.0,-2625000000.0,-342000000.0,-297000000.0
Net Income Continuous Operations,-1045000000.0,-2625000000.0,-342000000.0,-297000000.0
Tax Provision,-632000000.0,-1577000000.0,-741000000.0,-1263000000.0
Pretax Income,-1677000000.0,-4202000000.0,-1083000000.0,-1560000000.0
Special Income Charges,259000000.0,-710000000.0,-148000000.0,-748000000.0
Other Special Charges,-653000000.0,129000000.0,-38000000.0,38000000.0
Restructuring And Mergern Acquisition,394000000.0,581000000.0,186000000.0,710000000.0
Net Non Operating Interest Income Expense,-3102000000.0,-3041000000.0,-2244000000.0,-1217000000.0
Total Other Finance Cost,941000000.0,957000000.0,463000000.0,211000000.0
Interest Expense Non Operating,2227000000.0,2153000000.0,1864000000.0,1020000000.0
Interest Income Non Operating,66000000.0,69000000.0,83000000.0,14000000.0
Operating Income,836000000.0,-501000000.0,1269000000.0,360000000.0
Operating Expense,7541000000.0,8556000000.0,7945000000.0,8967000000.0
Other Operating Expenses,,552000000.0,,
Depreciation And Amortization In Income Statement,864000000.0,940000000.0,895000000.0,799000000.0
Depreciation Income Statement,864000000.0,940000000.0,895000000.0,799000000.0
Selling General And Administration,6681000000.0,7064000000.0,7096000000.0,8198000000.0
Selling And Marketing Expense,5486000000.0,5883000000.0,6160000000.0,7121000000.0
General And Administrative Expense,1195000000.0,1181000000.0,936000000.0,1077000000.0
Gross Profit,8377000000.0,8055000000.0,9214000000.0,9327000000.0
Cost Of Revenue,18829000000.0,20792000000.0,21684000000.0,21572000000.0
Total Revenue,27206000000.0,28847000000.0,30898000000.0,30899000000.0
Operating Revenue,27206000000.0,28847000000.0,30898000000.0,30899000000.0
