,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-145520.0,-128860.0,0.0,0.0,
Tax Rate For Calcs,0.34,,0.00676,0.34,0.0
Normalized EBITDA,-52675000.0,-55815000.0,-66662000.0,-53760000.0,
Total Unusual Items,-428000.0,-379000.0,,,
Total Unusual Items Excluding Goodwill,-428000.0,-379000.0,,,
Net Income From Continuing Operation Net Minority Interest,-77238000.0,,-92559000.0,-80261000.0,-70767000.0
Reconciled Depreciation,11884000.0,,12251000.0,11624000.0,10493000.0
Reconciled Cost Of Revenue,125022000.0,,88958000.0,80156000.0,44732000.0
EBITDA,-53103000.0,,-66662000.0,-53760000.0,-48651000.0
EBIT,-64987000.0,,-78913000.0,-65384000.0,-59144000.0
Net Interest Income,6322000.0,,-8531000.0,-14518000.0,-11454000.0
Interest Expense,11607000.0,,14276000.0,14402000.0,11560000.0
Interest Income,19302000.0,,7505000.0,2568000.0,2264000.0
Normalized Income,-76955520.0,-80890860.0,-92559000.0,-80261000.0,
Net Income From Continuing And Discontinued Operation,-77238000.0,,-92559000.0,-80261000.0,-70767000.0
Total Expenses,223688000.0,190340000.0,191190000.0,172739000.0,
Total Operating Income As Reported,-81211000.0,-72525000.0,,,
Diluted Average Shares,122234000.0,,73747000.0,70287291.0,63497552.0
Basic Average Shares,121745000.0,,73258000.0,69782524.0,63181062.0
Diluted EPS,-0.63,,-1.26,-1.145478,-1.121553
Basic EPS,-0.63,,-1.26,-1.145478,-1.121553
Diluted NI Availto Com Stockholders,-77238000.0,,-92559000.0,-80261000.0,-70767000.0
Net Income Common Stockholders,-77238000.0,,-92559000.0,-80261000.0,-70767000.0
Otherunder Preferred Stock Dividend,0.0,,0.0,0.0,0.0
Net Income,-77238000.0,,-92559000.0,-80261000.0,-70767000.0
Net Income Including Noncontrolling Interests,-77238000.0,,-92559000.0,-80261000.0,-70767000.0
Net Income Continuous Operations,-77238000.0,,-92559000.0,-80261000.0,-70767000.0
Tax Provision,644000.0,,-630000.0,475000.0,63000.0
Pretax Income,-76594000.0,,-93189000.0,-79786000.0,-70704000.0
Special Income Charges,-428000.0,-379000.0,,,
Write Off,428000.0,379000.0,,,
Net Non Operating Interest Income Expense,6322000.0,,-8531000.0,-14518000.0,-11454000.0
Total Other Finance Cost,1373000.0,,1760000.0,2684000.0,2158000.0
Interest Expense Non Operating,11607000.0,,14276000.0,14402000.0,11560000.0
Interest Income Non Operating,19302000.0,,7505000.0,2568000.0,2264000.0
Operating Income,-80783000.0,-72146000.0,-86236000.0,-65649000.0,
Operating Expense,98666000.0,95405000.0,102232000.0,92583000.0,
Other Operating Expenses,8992000.0,,12345000.0,2181000.0,1655000.0
Selling General And Administration,89674000.0,91215000.0,89887000.0,90402000.0,
Selling And Marketing Expense,39980000.0,43107000.0,39721000.0,43112000.0,
General And Administrative Expense,49694000.0,,50166000.0,47290000.0,35394000.0
Gross Profit,17883000.0,,15996000.0,26934000.0,13936000.0
Cost Of Revenue,125022000.0,,88958000.0,80156000.0,44732000.0
Total Revenue,142905000.0,,104954000.0,107090000.0,58668000.0
Operating Revenue,142905000.0,,104954000.0,107090000.0,58668000.0
