,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1152528.802727,-2679961.350386,16472904.0,228276.0,
Tax Rate For Calcs,0.268592,0.341266,0.372,0.306,
Normalized EBITDA,236110000.0,203319000.0,166890000.0,144846000.0,
Total Unusual Items,-4291000.0,-7853000.0,44282000.0,746000.0,
Total Unusual Items Excluding Goodwill,-4291000.0,-7853000.0,44282000.0,746000.0,
Net Income From Continuing Operation Net Minority Interest,119467000.0,86600000.0,85566000.0,75349000.0,
Reconciled Depreciation,66625000.0,58652000.0,63540000.0,33561000.0,
Reconciled Cost Of Revenue,1153457000.0,997409000.0,1158813000.0,306996000.0,
EBITDA,231819000.0,195466000.0,211172000.0,145592000.0,
EBIT,165194000.0,136814000.0,147632000.0,112031000.0,
Net Interest Income,-1547000.0,-5277000.0,-14560000.0,-5831000.0,
Interest Expense,904000.0,4911000.0,11402000.0,3393000.0,
Interest Income,5950000.0,4231000.0,2897000.0,671000.0,
Normalized Income,122605471.197273,91773038.649614,57756904.0,74831276.0,
Net Income From Continuing And Discontinued Operation,119467000.0,86600000.0,85566000.0,75349000.0,
Total Expenses,1380853000.0,1214982000.0,1377143000.0,403964000.0,
Rent Expense Supplemental,2932000.0,4202000.0,4874000.0,883000.0,
Total Operating Income As Reported,120024000.0,94832000.0,98681000.0,84873000.0,
Diluted Average Shares,,86786000.0,87692000.0,84658000.0,90909092.0
Basic Average Shares,,86786000.0,87692000.0,84658000.0,90909092.0
Diluted EPS,,0.997857,0.98,0.89,0.39303
Basic EPS,,0.997857,0.98,0.89,0.39303
Diluted NI Availto Com Stockholders,119467000.0,86600000.0,85566000.0,75349000.0,
Net Income Common Stockholders,119467000.0,86600000.0,85566000.0,75349000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,119467000.0,86600000.0,85566000.0,75349000.0,
Minority Interests,-696000.0,-289000.0,0.0,,
Net Income Including Noncontrolling Interests,120163000.0,86889000.0,85566000.0,75349000.0,
Net Income Continuous Operations,120163000.0,86889000.0,85566000.0,75349000.0,
Tax Provision,44127000.0,45014000.0,50664000.0,33289000.0,
Pretax Income,164290000.0,131903000.0,136230000.0,108638000.0,
Net Non Operating Interest Income Expense,-1547000.0,-5277000.0,-14560000.0,-5831000.0,
Total Other Finance Cost,6593000.0,4597000.0,6055000.0,3109000.0,
Interest Expense Non Operating,904000.0,4911000.0,11402000.0,3393000.0,
Interest Income Non Operating,5950000.0,4231000.0,2897000.0,671000.0,
Operating Income,117212000.0,92862000.0,98681000.0,84873000.0,
Operating Expense,227396000.0,217573000.0,218330000.0,96968000.0,
Other Operating Expenses,2798000.0,1970000.0,2491000.0,938000.0,
Depreciation And Amortization In Income Statement,18544000.0,14620000.0,19811000.0,13131000.0,
Depreciation Income Statement,18544000.0,14620000.0,19811000.0,13131000.0,
Selling General And Administration,90727000.0,93715000.0,87584000.0,53397000.0,
General And Administrative Expense,90727000.0,93715000.0,87584000.0,53397000.0,
Rent And Landing Fees,2932000.0,4202000.0,4874000.0,883000.0,
Gross Profit,344608000.0,310435000.0,317011000.0,181841000.0,
Cost Of Revenue,1153457000.0,997409000.0,1158813000.0,306996000.0,
Total Revenue,1498065000.0,1307844000.0,1475824000.0,488837000.0,
Operating Revenue,1498065000.0,1307844000.0,1475824000.0,488837000.0,
