,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.34,0.34,
Net Income From Continuing Operation Net Minority Interest,1192208000.0,1896619000.0,3727675000.0,8079261000.0,
Net Interest Income,15327000.0,12668000.0,21862000.0,61987000.0,
Interest Expense,528000.0,528000.0,583000.0,915000.0,
Interest Income,15855000.0,13196000.0,22445000.0,62902000.0,
Normalized Income,1192208000.0,1896619000.0,3727675000.0,8079261000.0,
Net Income From Continuing And Discontinued Operation,1192208000.0,1896619000.0,3727675000.0,8079261000.0,
Diluted Average Shares,418318596.0,418679691.0,418607067.0,418607185.0,
Basic Average Shares,418318596.0,418679691.0,418607067.0,418607185.0,
Diluted EPS,2.85,4.53,8.90495,19.30034,
Basic EPS,2.85,4.53,8.90495,19.30034,
Diluted NI Availto Com Stockholders,1192208000.0,1896619000.0,3727675000.0,8079261000.0,
Net Income Common Stockholders,1192208000.0,1896619000.0,3727675000.0,8079261000.0,
Net Income,1192208000.0,1896619000.0,3727675000.0,8079261000.0,
Net Income Including Noncontrolling Interests,1192208000.0,1896619000.0,3727675000.0,8079261000.0,
Net Income Continuous Operations,1192208000.0,1896619000.0,3727675000.0,8079261000.0,
Tax Provision,0.0,0.0,0.0,0.0,
Pretax Income,1192208000.0,1896619000.0,3727675000.0,8079261000.0,
Gain On Sale Of Security,,,,,0.0
Operating Expense,69109000.0,65247000.0,51947000.0,63241000.0,
Other Operating Expenses,42823000.0,43833000.0,31502000.0,25943000.0,
Selling General And Administration,26286000.0,21414000.0,20445000.0,37298000.0,
General And Administrative Expense,26286000.0,21414000.0,20445000.0,37298000.0,
Total Revenue,1261317000.0,1961866000.0,3779622000.0,8142502000.0,
Operating Revenue,1261317000.0,1961866000.0,3779622000.0,8142502000.0,
