,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,393527680.0,16616320.0,-41928120.0,-21253740.0,
Tax Rate For Calcs,0.32,0.28,0.34,0.34,
Normalized EBITDA,922650000.0,1848726000.0,993494000.0,335800000.0,
Total Unusual Items,1229774000.0,59344000.0,-123318000.0,-62511000.0,
Total Unusual Items Excluding Goodwill,1229774000.0,59344000.0,-123318000.0,-62511000.0,
Net Income From Continuing Operation Net Minority Interest,-909691000.0,405234000.0,149569000.0,-905000.0,
Reconciled Depreciation,1246205000.0,620100000.0,279302000.0,117368000.0,
Reconciled Cost Of Revenue,6397784000.0,3862029000.0,835544000.0,319530000.0,
EBITDA,2152424000.0,1908070000.0,870176000.0,273289000.0,
EBIT,906219000.0,1287970000.0,590874000.0,155921000.0,
Net Interest Income,-3271160000.0,-903414000.0,-485190000.0,-199207000.0,
Interest Expense,2236012000.0,697176000.0,805007000.0,200503000.0,
Interest Income,71619000.0,82300000.0,319817000.0,3503000.0,
Normalized Income,-1745937320.0,362506320.0,230958880.0,40352260.0,
Net Income From Continuing And Discontinued Operation,-909691000.0,405234000.0,149569000.0,-905000.0,
Total Expenses,6939591000.0,4279170000.0,1328047000.0,493902000.0,
Rent Expense Supplemental,306890000.0,48489000.0,29164000.0,15189000.0,
Diluted Average Shares,334547956.0,227217452.0,204479315.0,149179897.0,
Basic Average Shares,334547956.0,223804059.0,202651341.0,148994701.0,
Diluted EPS,-2.72,1.78,0.73,-0.009844,
Basic EPS,-2.72,1.81,0.74,-0.009844,
Diluted NI Availto Com Stockholders,-909691000.0,405234000.0,149569000.0,-905000.0,
Net Income Common Stockholders,-909691000.0,405234000.0,149569000.0,-905000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-909691000.0,405234000.0,149569000.0,-905000.0,
Minority Interests,0.0,-19981000.0,21853000.0,-16896000.0,
Net Income Including Noncontrolling Interests,-909691000.0,425215000.0,127716000.0,15991000.0,
Net Income Continuous Operations,-909691000.0,425215000.0,127716000.0,15991000.0,
Tax Provision,-420102000.0,165579000.0,-341849000.0,-60573000.0,
Pretax Income,-1329793000.0,590794000.0,-214133000.0,-44582000.0,
Special Income Charges,517511000.0,-216826000.0,-123318000.0,153208000.0,
Other Special Charges,-720450000.0,-17000.0,-92000.0,-4000.0,
Write Off,28705000.0,42752000.0,123318000.0,-160419000.0,
Restructuring And Mergern Acquisition,174234000.0,174091000.0,203273000.0,7215000.0,
Net Non Operating Interest Income Expense,-3271160000.0,-903414000.0,-485190000.0,-199207000.0,
Total Other Finance Cost,1106767000.0,288538000.0,159000.0,2207000.0,
Interest Expense Non Operating,2236012000.0,697176000.0,805007000.0,200503000.0,
Interest Income Non Operating,71619000.0,82300000.0,319817000.0,3503000.0,
Operating Income,1786770000.0,1340819000.0,394375000.0,233897000.0,
Operating Expense,541807000.0,417141000.0,492503000.0,174372000.0,
Other Operating Expenses,-214818000.0,37938000.0,153500000.0,22623000.0,
Depreciation And Amortization In Income Statement,41218000.0,68605000.0,30555000.0,7173000.0,
Depreciation Income Statement,41218000.0,68605000.0,30555000.0,7173000.0,
Research And Development,,,,,0.0
Selling General And Administration,159634000.0,126008000.0,339003000.0,37090000.0,
General And Administrative Expense,159634000.0,126008000.0,339003000.0,37090000.0,
Rent And Landing Fees,230603000.0,0.0,,1171000.0,0.0
Gross Profit,2328577000.0,1757960000.0,886878000.0,408269000.0,
Cost Of Revenue,6397784000.0,3862029000.0,835544000.0,319530000.0,
Total Revenue,8726361000.0,5619989000.0,1722422000.0,727799000.0,
Operating Revenue,8726361000.0,5619989000.0,1722422000.0,727799000.0,
