,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,160273966.0,-1578586.0,-154621800.0,-111618940.0,
Tax Rate For Calcs,0.269,0.058,0.34,0.34,
Normalized EBITDA,11174371000.0,5231228000.0,3875402000.0,5821867000.0,
Total Unusual Items,595814000.0,-27217000.0,-454770000.0,-328291000.0,
Total Unusual Items Excluding Goodwill,595814000.0,-27217000.0,-454770000.0,-328291000.0,
Net Income From Continuing Operation Net Minority Interest,3213274000.0,-2028559000.0,-3115455000.0,499385000.0,
Reconciled Depreciation,3524504000.0,3224782000.0,2991705000.0,2746354000.0,
Reconciled Cost Of Revenue,42624417000.0,42122739000.0,43166893000.0,36419952000.0,
EBITDA,11770185000.0,5204011000.0,3420632000.0,5493576000.0,
EBIT,8245681000.0,1979229000.0,428927000.0,2747222000.0,
Net Interest Income,-2210388000.0,-2713679000.0,-2204497000.0,-2566931000.0,
Interest Expense,3195808000.0,3963935000.0,3233971000.0,2782010000.0,
Interest Income,1086932000.0,1109110000.0,956829000.0,458311000.0,
Normalized Income,2777733966.0,-2002920586.0,-2815306800.0,716057060.0,
Net Income From Continuing And Discontinued Operation,3213274000.0,-2028559000.0,-3166403000.0,419455000.0,
Total Expenses,54700916000.0,52855986000.0,53951881000.0,45482871000.0,
Total Operating Income As Reported,,,,3009787000.0,3051229000.0
Diluted Average Shares,1655501136.0,1360268402.0,1052606000.0,849537136.0,
Basic Average Shares,1653093656.0,1360268402.0,1052606000.0,848750118.0,
Diluted EPS,1.94097,-1.49,-3.01,0.494991,
Basic EPS,1.94379,-1.49,-3.01,0.494991,
Diluted NI Availto Com Stockholders,3213274000.0,-2028559000.0,-3166403000.0,419455000.0,
Net Income Common Stockholders,3213274000.0,-2028559000.0,-3166403000.0,419455000.0,
Net Income,3213274000.0,-2028559000.0,-3166403000.0,419455000.0,
Minority Interests,-478630000.0,-159707000.0,-24777000.0,-17929000.0,
Net Income Including Noncontrolling Interests,3691904000.0,-1868852000.0,-3141626000.0,437384000.0,
Net Income Discontinuous Operations,0.0,0.0,-50948000.0,-79930000.0,
Net Income Continuous Operations,3691904000.0,-1868852000.0,-3090678000.0,517314000.0,
Tax Provision,1357969000.0,-115854000.0,285634000.0,-552102000.0,
Pretax Income,5049873000.0,-1984706000.0,-2805044000.0,-34788000.0,
Other Income Expense,582139000.0,-30481000.0,-453694000.0,-328291000.0,
Special Income Charges,135166000.0,30420000.0,-16757000.0,121598000.0,
Gain On Sale Of Ppe,163983000.0,63229000.0,-3985000.0,141211000.0,
Other Special Charges,,,,,8762000.0
Write Off,28817000.0,32809000.0,12772000.0,12799000.0,
Restructuring And Mergern Acquisition,,277000.0,5774000.0,6814000.0,19988000.0
Earnings From Equity Interest,-13675000.0,-3264000.0,1076000.0,0.0,
Gain On Sale Of Security,460648000.0,-57637000.0,-438013000.0,-449889000.0,
Net Non Operating Interest Income Expense,-2210388000.0,-2713679000.0,-2204497000.0,-2566931000.0,
Total Other Finance Cost,101512000.0,-141146000.0,-72645000.0,243232000.0,
Interest Expense Non Operating,3195808000.0,3963935000.0,3233971000.0,2782010000.0,
Interest Income Non Operating,1086932000.0,1109110000.0,956829000.0,458311000.0,
Operating Income,6678122000.0,759454000.0,-146853000.0,2860434000.0,
Operating Expense,9157694000.0,8074247000.0,8279505000.0,6832099000.0,
Other Operating Expenses,81200000.0,-187283000.0,541285000.0,-165068000.0,
Other Taxes,40773000.0,49531000.0,26245000.0,27755000.0,
Provision For Doubtful Accounts,,1481000.0,-102000.0,579000.0,989000.0
Depreciation Amortization Depletion Income Statement,605699000.0,565782000.0,486222000.0,515534000.0,
Depreciation And Amortization In Income Statement,605699000.0,565782000.0,486222000.0,515534000.0,
Amortization,115203000.0,141805000.0,111317000.0,134717000.0,
Amortization Of Intangibles Income Statement,115203000.0,141805000.0,111317000.0,134717000.0,
Depreciation Income Statement,490496000.0,423977000.0,374905000.0,380817000.0,
Selling General And Administration,8430022000.0,7646217000.0,7225753000.0,6453299000.0,
Selling And Marketing Expense,5546440000.0,5291333000.0,5109034000.0,4137980000.0,
General And Administrative Expense,2883582000.0,2354884000.0,2116719000.0,2315319000.0,
Other Gand A,351666000.0,291090000.0,248744000.0,351490000.0,
Insurance And Claims,,18878000.0,22366000.0,35102000.0,8762000.0
Salaries And Wages,2531916000.0,2063794000.0,1867975000.0,1928727000.0,
Gross Profit,15835816000.0,8833701000.0,8132652000.0,9692533000.0,
Cost Of Revenue,45543222000.0,44781739000.0,45672376000.0,38650772000.0,
Total Revenue,61379038000.0,53615440000.0,53805028000.0,48343305000.0,
Operating Revenue,70165079000.0,61621283000.0,61884991000.0,55979819000.0,
