,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,4964511.086219,0.0,0.0
Tax Rate For Calcs,0.151666,0.0728,0.34,0.207673
Total Unusual Items,0.0,68194000.0,103832000.0,0.0
Total Unusual Items Excluding Goodwill,0.0,68194000.0,103832000.0,0.0
Net Income From Continuing Operation Net Minority Interest,1159894000.0,1122285000.0,898445000.0,1074151000.0
Reconciled Depreciation,408977000.0,370821000.0,353191000.0,244870000.0
Net Interest Income,5468823000.0,5512722000.0,5237093000.0,4677884000.0
Interest Expense,10896364000.0,10245338000.0,8323715000.0,3366573000.0
Interest Income,16365187000.0,15758060000.0,13560808000.0,8044457000.0
Normalized Income,1159894000.0,1059055511.086219,898445000.0,1074151000.0
Net Income From Continuing And Discontinued Operation,1159894000.0,1122285000.0,898445000.0,1074151000.0
Diluted Average Shares,408974477.0,408510350.0,408974477.0,408974477.0
Basic Average Shares,408974477.0,408510350.0,408974477.0,408974477.0
Diluted EPS,2.34,2.13,1.75,2.32
Basic EPS,2.34,2.13,1.75,2.32
Diluted NI Availto Com Stockholders,915576000.0,870104000.0,714934000.0,948535000.0
Net Income Common Stockholders,915576000.0,870104000.0,714934000.0,948535000.0
Net Income,915576000.0,870104000.0,714934000.0,948535000.0
Minority Interests,-545000.0,-980000.0,-419000.0,-270000.0
Net Income Including Noncontrolling Interests,916121000.0,871084000.0,715353000.0,948805000.0
Net Income Extraordinary,-244318000.0,-252181000.0,-183511000.0,-125616000.0
Net Income Continuous Operations,1160439000.0,1123265000.0,898864000.0,1074421000.0
Tax Provision,207465000.0,88194000.0,-131094000.0,281612000.0
Pretax Income,1367904000.0,1211459000.0,767770000.0,1356033000.0
Special Income Charges,0.0,68194000.0,103832000.0,0.0
Other Special Charges,,-68194000.0,-103832000.0,
Operating Expense,5828238000.0,5163407000.0,5534780000.0,5103312000.0
Other Operating Expenses,1890572000.0,1527090000.0,1440971000.0,1395505000.0
Depreciation And Amortization In Income Statement,316441000.0,275970000.0,254217000.0,244870000.0
Depreciation Income Statement,316441000.0,275970000.0,254217000.0,244870000.0
Selling General And Administration,1146997000.0,982603000.0,1474212000.0,1374682000.0
Selling And Marketing Expense,176074000.0,139352000.0,116255000.0,118683000.0
General And Administrative Expense,970923000.0,843251000.0,1357957000.0,1255999000.0
Insurance And Claims,6995000.0,6619000.0,6304000.0,6911000.0
Rent And Landing Fees,165441000.0,160551000.0,147363000.0,139530000.0
Total Revenue,8441845000.0,7533871000.0,7190172000.0,7204309000.0
Operating Revenue,8441845000.0,7533871000.0,7190172000.0,7204309000.0
