,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-6947220.0,8404800.0,23028610.0,5775950.0,
Tax Rate For Calcs,0.34,0.34,0.29,0.331,
Normalized EBITDA,69955000.0,-50496000.0,-112918000.0,-63899000.0,
Total Unusual Items,-20433000.0,24720000.0,79409000.0,17450000.0,
Total Unusual Items Excluding Goodwill,-20433000.0,24720000.0,79409000.0,17450000.0,
Net Income From Continuing Operation Net Minority Interest,-7959000.0,-13795000.0,-32018000.0,-37808000.0,
Reconciled Depreciation,11090000.0,19929000.0,13683000.0,4567000.0,
EBITDA,49522000.0,-25776000.0,-33509000.0,-46449000.0,
EBIT,38432000.0,-45705000.0,-47192000.0,-51016000.0,
Net Interest Income,-879000.0,1219000.0,1198000.0,-930000.0,
Interest Expense,,0.0,122000.0,309000.0,965000.0
Interest Income,189000.0,2738000.0,3239000.0,838000.0,
Normalized Income,5526780.0,-30110200.0,-88398390.0,-49482050.0,
Net Income From Continuing And Discontinued Operation,-7959000.0,-18559000.0,-56593000.0,-37808000.0,
Total Expenses,326586000.0,372294000.0,448050000.0,325362000.0,
Diluted Average Shares,,86538031.0,83940221.0,80359800.0,55779149.0
Basic Average Shares,,86538031.0,83940221.0,80359800.0,55779149.0
Diluted EPS,,-0.21,-0.65,-0.5,0.4
Basic EPS,,-0.21,-0.65,-0.5,0.4
Diluted NI Availto Com Stockholders,-7959000.0,-18559000.0,-56593000.0,-37808000.0,
Net Income Common Stockholders,-7959000.0,-18559000.0,-56593000.0,-37808000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-7959000.0,-18559000.0,-56593000.0,-37808000.0,
Minority Interests,3375000.0,6993000.0,1555000.0,-3474000.0,
Net Income Including Noncontrolling Interests,-11334000.0,-25552000.0,-58148000.0,-34334000.0,
Net Income Discontinuous Operations,0.0,-4764000.0,-24575000.0,,
Net Income Continuous Operations,-11334000.0,-20788000.0,-33573000.0,-34334000.0,
Tax Provision,28454000.0,1022000.0,-13741000.0,-16991000.0,
Pretax Income,17120000.0,-19766000.0,-47314000.0,-51325000.0,
Other Non Operating Income Expenses,,,-12182000.0,-5970000.0,-8242000.0
Special Income Charges,-63606000.0,-25365000.0,31065000.0,,22000.0
Other Special Charges,,,,,-22000.0
Write Off,82995000.0,0.0,0.0,,
Restructuring And Mergern Acquisition,-19389000.0,25365000.0,-31065000.0,,
Net Non Operating Interest Income Expense,-879000.0,1219000.0,1198000.0,-930000.0,
Total Other Finance Cost,1068000.0,1519000.0,1919000.0,1459000.0,
Interest Expense Non Operating,,0.0,122000.0,309000.0,965000.0
Interest Income Non Operating,189000.0,2738000.0,3239000.0,838000.0,
Operating Income,38432000.0,-45705000.0,-127929000.0,-61876000.0,
Operating Expense,326586000.0,372294000.0,448050000.0,325362000.0,
Other Operating Expenses,180270000.0,188375000.0,238482000.0,195859000.0,
Depreciation And Amortization In Income Statement,11090000.0,9253000.0,6806000.0,4567000.0,
Depreciation Income Statement,11090000.0,9253000.0,6806000.0,4567000.0,
Selling General And Administration,66040000.0,73843000.0,56858000.0,57936000.0,
Selling And Marketing Expense,34737000.0,22771000.0,26028000.0,47150000.0,
General And Administrative Expense,31303000.0,51072000.0,30830000.0,10786000.0,
Total Revenue,365018000.0,326589000.0,320121000.0,263486000.0,
Operating Revenue,365018000.0,326589000.0,320121000.0,263486000.0,
