,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-125891120.0,-33980569.0,88087581.9,-142803060.0,
Tax Rate For Calcs,0.34,0.3842,0.3987,0.34,
Normalized EBITDA,6870421000.0,7878873000.0,11669582000.0,6837681000.0,
Total Unusual Items,-370268000.0,-88445000.0,220937000.0,-420009000.0,
Total Unusual Items Excluding Goodwill,-370268000.0,-88445000.0,220937000.0,-420009000.0,
Net Income From Continuing Operation Net Minority Interest,1248695000.0,1704840000.0,4133088000.0,695631000.0,
Reconciled Depreciation,1716427000.0,1573148000.0,1732920000.0,3152785000.0,
Reconciled Cost Of Revenue,14448085000.0,10813464000.0,7985602000.0,7601600000.0,
EBITDA,6500153000.0,7790428000.0,11890519000.0,6417672000.0,
EBIT,4783726000.0,6217280000.0,10157599000.0,3264887000.0,
Net Interest Income,-3342021000.0,-4076440000.0,-3596001000.0,-1494206000.0,
Interest Expense,2447227000.0,3205953000.0,3152595000.0,1384646000.0,
Interest Income,98858000.0,97081000.0,100641000.0,130340000.0,
Normalized Income,1493071880.0,1759304431.0,4000238581.9,972836940.0,
Net Income From Continuing And Discontinued Operation,1248695000.0,1704840000.0,4133088000.0,695631000.0,
Total Expenses,16601568000.0,12888313000.0,9834730000.0,8686107000.0,
Rent Expense Supplemental,5700000.0,6563000.0,7881000.0,7856000.0,
Diluted Average Shares,,2020000000.0,2020000000.0,2020000000.0,2020000000.0
Basic Average Shares,,2018409000.0,2020000000.0,2020000000.0,2020000000.0
Diluted EPS,,0.84398,2.04608,0.34437,0.09457
Basic EPS,,0.84465,2.04608,0.34437,0.09457
Diluted NI Availto Com Stockholders,1248695000.0,1704840000.0,4133088000.0,695631000.0,
Net Income Common Stockholders,1248695000.0,1704840000.0,4133088000.0,695631000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1248695000.0,1704840000.0,4133088000.0,695631000.0,
Minority Interests,-62920000.0,-149661000.0,-79092000.0,-109965000.0,
Net Income Including Noncontrolling Interests,1311615000.0,1854501000.0,4212180000.0,805596000.0,
Net Income Continuous Operations,1311615000.0,1854501000.0,4212180000.0,805596000.0,
Tax Provision,1024884000.0,1156826000.0,2792824000.0,1074645000.0,
Pretax Income,2336499000.0,3011327000.0,7005004000.0,1880241000.0,
Net Non Operating Interest Income Expense,-3342021000.0,-4076440000.0,-3596001000.0,-1494206000.0,
Total Other Finance Cost,993652000.0,967568000.0,544047000.0,239900000.0,
Interest Expense Non Operating,2447227000.0,3205953000.0,3152595000.0,1384646000.0,
Interest Income Non Operating,98858000.0,97081000.0,100641000.0,130340000.0,
Operating Income,5182223000.0,6044412000.0,9346961000.0,3558140000.0,
Operating Expense,2153483000.0,2074849000.0,1849128000.0,1084507000.0,
Other Operating Expenses,395897000.0,415406000.0,556648000.0,162497000.0,
Depreciation And Amortization In Income Statement,87640000.0,78916000.0,66752000.0,65074000.0,
Depreciation Income Statement,87640000.0,78916000.0,66752000.0,65074000.0,
Selling General And Administration,672239000.0,719716000.0,564282000.0,495642000.0,
Selling And Marketing Expense,69811000.0,69499000.0,40121000.0,33559000.0,
General And Administrative Expense,602428000.0,650217000.0,524161000.0,462083000.0,
Rent And Landing Fees,5700000.0,6563000.0,7881000.0,7856000.0,
Gross Profit,7335706000.0,8119261000.0,11196089000.0,4642647000.0,
Cost Of Revenue,14448085000.0,10813464000.0,7985602000.0,7601600000.0,
Total Revenue,21783791000.0,18932725000.0,19181691000.0,12244247000.0,
Operating Revenue,21783791000.0,18932725000.0,19181691000.0,12244247000.0,
