,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-350540.0,380764.540199,662660.0,185980.0,
Tax Rate For Calcs,0.34,0.207501,0.34,0.34,
Normalized EBITDA,180047000.0,188993000.0,66332000.0,49647000.0,
Total Unusual Items,-1031000.0,1835000.0,1949000.0,547000.0,
Total Unusual Items Excluding Goodwill,-1031000.0,1835000.0,1949000.0,547000.0,
Net Income From Continuing Operation Net Minority Interest,110535000.0,80354000.0,-17950000.0,1532000.0,
Reconciled Depreciation,23190000.0,23595000.0,21667000.0,18711000.0,
Reconciled Cost Of Revenue,729585000.0,779924000.0,1025281000.0,804756000.0,
EBITDA,179016000.0,190828000.0,68281000.0,50194000.0,
EBIT,155826000.0,167233000.0,46614000.0,31483000.0,
Net Interest Income,-84755000.0,-89945000.0,-100648000.0,-46623000.0,
Interest Expense,73698000.0,66048000.0,70287000.0,33329000.0,
Interest Income,2928000.0,2391000.0,2139000.0,1902000.0,
Normalized Income,111215460.0,78899764.540199,-19236340.0,1170980.0,
Net Income From Continuing And Discontinued Operation,110535000.0,80354000.0,-17950000.0,1532000.0,
Total Expenses,873222000.0,930518000.0,1156822000.0,913285000.0,
Total Operating Income As Reported,165244000.0,188699000.0,68861000.0,44580000.0,
Diluted Average Shares,,10000000.0,10000000.0,10000000.0,10000000.0
Basic Average Shares,,10000000.0,10000000.0,10000000.0,10000000.0
Diluted EPS,,8.02,-1.8,0.15,-4.15
Basic EPS,,8.02,-1.8,0.15,-4.15
Diluted NI Availto Com Stockholders,110535000.0,80354000.0,-17950000.0,1532000.0,
Net Income Common Stockholders,110535000.0,80354000.0,-17950000.0,1532000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,110535000.0,80354000.0,-17950000.0,1532000.0,
Minority Interests,-55000.0,165000.0,9069000.0,3550000.0,
Net Income Including Noncontrolling Interests,110590000.0,80189000.0,-27019000.0,-2018000.0,
Net Income Continuous Operations,110590000.0,80189000.0,-27019000.0,-2018000.0,
Tax Provision,-28462000.0,20996000.0,3346000.0,172000.0,
Pretax Income,82128000.0,101185000.0,-23673000.0,-1846000.0,
Other Non Operating Income Expenses,1838000.0,2419000.0,2619000.0,3714000.0,
Special Income Charges,-1031000.0,1835000.0,1949000.0,547000.0,
Other Special Charges,1031000.0,-1835000.0,-1949000.0,-547000.0,
Net Non Operating Interest Income Expense,-84755000.0,-89945000.0,-100648000.0,-46623000.0,
Total Other Finance Cost,13985000.0,26288000.0,32500000.0,15196000.0,
Interest Expense Non Operating,73698000.0,66048000.0,70287000.0,33329000.0,
Interest Income Non Operating,2928000.0,2391000.0,2139000.0,1902000.0,
Operating Income,163555000.0,184921000.0,70827000.0,40991000.0,
Operating Expense,143637000.0,150594000.0,131541000.0,108529000.0,
Other Operating Expenses,26331000.0,35601000.0,8978000.0,12981000.0,
Selling General And Administration,111072000.0,109279000.0,117367000.0,91655000.0,
Selling And Marketing Expense,60862000.0,63640000.0,71065000.0,54179000.0,
General And Administrative Expense,50210000.0,45639000.0,46302000.0,37476000.0,
Gross Profit,307192000.0,335515000.0,202368000.0,149520000.0,
Cost Of Revenue,729585000.0,779924000.0,1025281000.0,804756000.0,
Total Revenue,1036777000.0,1115439000.0,1227649000.0,954276000.0,
Operating Revenue,1036777000.0,1115439000.0,1227649000.0,954276000.0,
