,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,86220000.0,-70110000.0,-112880000.0,-21660000.0
Tax Rate For Calcs,0.18,0.09,0.17,0.19
Normalized EBITDA,4026000000.0,4909000000.0,4410000000.0,3472000000.0
Total Unusual Items,479000000.0,-779000000.0,-664000000.0,-114000000.0
Total Unusual Items Excluding Goodwill,479000000.0,-779000000.0,-664000000.0,-114000000.0
Net Income From Continuing Operation Net Minority Interest,1808000000.0,1839000000.0,1567000000.0,1669000000.0
Reconciled Depreciation,966000000.0,872000000.0,772000000.0,674000000.0
Reconciled Cost Of Revenue,11563000000.0,10477000000.0,9899000000.0,10693000000.0
EBITDA,4505000000.0,4130000000.0,3746000000.0,3358000000.0
EBIT,3539000000.0,3258000000.0,2974000000.0,2684000000.0
Net Interest Income,-1557000000.0,-1383000000.0,-1003000000.0,-591000000.0
Interest Expense,1333000000.0,1233000000.0,1087000000.0,623000000.0
Interest Income,116000000.0,127000000.0,135000000.0,163000000.0
Normalized Income,1415220000.0,2547890000.0,2118120000.0,1761340000.0
Net Income From Continuing And Discontinued Operation,1808000000.0,1839000000.0,1567000000.0,1669000000.0
Total Expenses,10560000000.0,9691000000.0,8890000000.0,10095000000.0
Total Operating Income As Reported,3975000000.0,3775000000.0,3202000000.0,2818000000.0
Diluted Average Shares,262096087.0,262096087.0,262096087.0,262096087.0
Basic Average Shares,262096087.0,262096087.0,262096087.0,262096087.0
Diluted EPS,6.69,6.8,5.8,6.17
Basic EPS,6.69,6.8,5.8,6.17
Diluted NI Availto Com Stockholders,1808000000.0,1839000000.0,1567000000.0,1669000000.0
Net Income Common Stockholders,1808000000.0,1839000000.0,1567000000.0,1669000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1808000000.0,1839000000.0,1567000000.0,1669000000.0
Net Income Including Noncontrolling Interests,1808000000.0,1839000000.0,1567000000.0,1669000000.0
Net Income Continuous Operations,1808000000.0,1839000000.0,1567000000.0,1669000000.0
Tax Provision,398000000.0,186000000.0,320000000.0,392000000.0
Pretax Income,2206000000.0,2025000000.0,1887000000.0,2061000000.0
Special Income Charges,-161000000.0,-147000000.0,-150000000.0,-150000000.0
Other Special Charges,161000000.0,147000000.0,150000000.0,150000000.0
Net Non Operating Interest Income Expense,-1557000000.0,-1383000000.0,-1003000000.0,-591000000.0
Total Other Finance Cost,340000000.0,277000000.0,51000000.0,131000000.0
Interest Expense Non Operating,1333000000.0,1233000000.0,1087000000.0,623000000.0
Interest Income Non Operating,116000000.0,127000000.0,135000000.0,163000000.0
Operating Income,4046000000.0,3833000000.0,3251000000.0,2872000000.0
Operating Expense,-1003000000.0,-786000000.0,-1009000000.0,-598000000.0
Other Operating Expenses,218000000.0,253000000.0,218000000.0,174000000.0
Depreciation And Amortization In Income Statement,115000000.0,95000000.0,78000000.0,61000000.0
Depreciation Income Statement,115000000.0,95000000.0,78000000.0,61000000.0
Selling General And Administration,232000000.0,239000000.0,254000000.0,219000000.0
Selling And Marketing Expense,25000000.0,69000000.0,63000000.0,61000000.0
General And Administrative Expense,207000000.0,170000000.0,191000000.0,158000000.0
Gross Profit,3043000000.0,3047000000.0,2242000000.0,2274000000.0
Cost Of Revenue,11563000000.0,10477000000.0,9899000000.0,10693000000.0
Total Revenue,14606000000.0,13524000000.0,12141000000.0,12967000000.0
Operating Revenue,14606000000.0,13524000000.0,12141000000.0,12967000000.0
