,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,409135499.038256,139079842.35878,1638000.0,-135286656.735476,
Tax Rate For Calcs,0.239261,0.158225,0.0063,0.201319,
Normalized EBITDA,10032000000.0,8273000000.0,5977000000.0,7587000000.0,
Total Unusual Items,1710000000.0,879000000.0,260000000.0,-672000000.0,
Total Unusual Items Excluding Goodwill,1710000000.0,879000000.0,260000000.0,-672000000.0,
Net Income From Continuing Operation Net Minority Interest,7117000000.0,5764000000.0,4092000000.0,3751000000.0,
Reconciled Depreciation,1376000000.0,1274000000.0,1182000000.0,1049000000.0,
Reconciled Cost Of Revenue,35322000000.0,31791000000.0,30636000000.0,25976000000.0,
EBITDA,11742000000.0,9152000000.0,6237000000.0,6915000000.0,
EBIT,10366000000.0,7878000000.0,5055000000.0,5866000000.0,
Net Interest Income,-393000000.0,-696000000.0,-535000000.0,-1596000000.0,
Interest Expense,1008000000.0,1027000000.0,935000000.0,1167000000.0,
Interest Income,299000000.0,286000000.0,337000000.0,462000000.0,
Normalized Income,5816135499.038256,5024079842.35878,3833638000.0,4287713343.264524,
Net Income From Continuing And Discontinued Operation,7117000000.0,5764000000.0,4092000000.0,3751000000.0,
Total Expenses,37008000000.0,35189000000.0,35002000000.0,27893000000.0,
Total Operating Income As Reported,,,5686000000.0,6951000000.0,4706000000.0
Diluted Average Shares,,2860681883.0,2860681883.0,2860681881.0,2864000001.0
Basic Average Shares,,2860681883.0,2860681883.0,2860681881.0,2864000001.0
Diluted EPS,,2.01,1.86,1.307692,1.0
Basic EPS,,2.01,1.86,1.307692,1.0
Diluted NI Availto Com Stockholders,7117000000.0,5764000000.0,4092000000.0,3751000000.0,
Net Income Common Stockholders,7117000000.0,5764000000.0,4092000000.0,3751000000.0,
Net Income,7117000000.0,5764000000.0,4092000000.0,3751000000.0,
Minority Interests,-2000000.0,-3000000.0,-2000000.0,-2000000.0,
Net Income Including Noncontrolling Interests,7119000000.0,5767000000.0,4094000000.0,3753000000.0,
Net Income Discontinuous Operations,,,,0.0,0.0
Net Income Continuous Operations,7119000000.0,5767000000.0,4094000000.0,3753000000.0,
Tax Provision,2239000000.0,1084000000.0,26000000.0,946000000.0,
Pretax Income,9358000000.0,6851000000.0,4120000000.0,4699000000.0,
Other Income Expense,1934000000.0,1311000000.0,1103000000.0,542000000.0,
Other Non Operating Income Expenses,,4000000.0,5000000.0,1032000000.0,502000000.0
Special Income Charges,11000000.0,9000000.0,-167000000.0,4000000.0,
Gain On Sale Of Ppe,43000000.0,0.0,0.0,109000000.0,
Gain On Sale Of Business,,0.0,0.0,0.0,
Other Special Charges,,,,-1032000000.0,
Write Off,46000000.0,0.0,172000000.0,0.0,
Restructuring And Mergern Acquisition,-14000000.0,-9000000.0,-5000000.0,-4000000.0,
Earnings From Equity Interest,224000000.0,432000000.0,843000000.0,182000000.0,
Gain On Sale Of Security,1699000000.0,870000000.0,427000000.0,-676000000.0,
Net Non Operating Interest Income Expense,-393000000.0,-696000000.0,-535000000.0,-1596000000.0,
Total Other Finance Cost,-316000000.0,-45000000.0,-63000000.0,891000000.0,
Interest Expense Non Operating,1008000000.0,1027000000.0,935000000.0,1167000000.0,
Interest Income Non Operating,299000000.0,286000000.0,337000000.0,462000000.0,
Operating Income,2812000000.0,1661000000.0,-539000000.0,5753000000.0,
Operating Expense,334000000.0,2151000000.0,3256000000.0,970000000.0,
Other Operating Expenses,191000000.0,283000000.0,251000000.0,496000000.0,
Other Taxes,-1316000000.0,238000000.0,1411000000.0,-235000000.0,
Provision For Doubtful Accounts,175000000.0,175000000.0,109000000.0,144000000.0,
Depreciation Amortization Depletion Income Statement,24000000.0,27000000.0,72000000.0,102000000.0,
Depreciation And Amortization In Income Statement,24000000.0,27000000.0,72000000.0,102000000.0,
Selling General And Administration,1260000000.0,1428000000.0,1413000000.0,463000000.0,
Selling And Marketing Expense,0.0,0.0,0.0,144000000.0,
General And Administrative Expense,1260000000.0,1428000000.0,1413000000.0,463000000.0,
Other Gand A,404000000.0,372000000.0,337000000.0,203000000.0,
Insurance And Claims,0.0,0.0,0.0,,
Salaries And Wages,856000000.0,1056000000.0,1076000000.0,260000000.0,
Gross Profit,3146000000.0,3812000000.0,2717000000.0,6723000000.0,
Cost Of Revenue,36674000000.0,33038000000.0,31746000000.0,26923000000.0,
Total Revenue,39820000000.0,36850000000.0,34463000000.0,33646000000.0,
Excise Taxes,-513000000.0,-1909000000.0,-2360000000.0,-1317000000.0,
Operating Revenue,49525000000.0,45500000000.0,43696000000.0,41420000000.0,
