,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,144827675.0,-67880862.5,15795599.2,17961346.5,
Tax Rate For Calcs,0.2125,0.2575,0.2588,0.3079,
Normalized EBITDA,7434105000.0,6980059000.0,5358515000.0,10157275000.0,
Total Unusual Items,681542000.0,-263615000.0,61034000.0,58335000.0,
Total Unusual Items Excluding Goodwill,681542000.0,-263615000.0,61034000.0,58335000.0,
Net Income From Continuing Operation Net Minority Interest,4527719000.0,3568737000.0,2950298000.0,6370966000.0,
Reconciled Depreciation,1150476000.0,1042129000.0,1000269000.0,752109000.0,
Reconciled Cost Of Revenue,8025027000.0,9839057000.0,7083267000.0,8008266000.0,
EBITDA,8115647000.0,6716444000.0,5419549000.0,10215610000.0,
EBIT,6965171000.0,5674315000.0,4419280000.0,9463501000.0,
Net Interest Income,-1532743000.0,-1058499000.0,-587676000.0,-417419000.0,
Interest Expense,1216045000.0,867757000.0,438878000.0,258857000.0,
Interest Income,57326000.0,45661000.0,57747000.0,21759000.0,
Normalized Income,3991004675.0,3764471137.5,2905059599.2,6330592346.5,
Net Income From Continuing And Discontinued Operation,4527719000.0,3568737000.0,2950298000.0,6370966000.0,
Total Expenses,12119571000.0,12311548000.0,8573445000.0,9634700000.0,
Diluted Average Shares,5470598000.0,5485339000.0,5485506000.0,5555188000.0,
Basic Average Shares,5470598000.0,5485339000.0,5485506000.0,5555188000.0,
Diluted EPS,0.82765,0.6506,0.537835,1.14685,
Basic EPS,0.82765,0.6506,0.537835,1.14685,
Diluted NI Availto Com Stockholders,4527719000.0,3568737000.0,2950298000.0,6370966000.0,
Net Income Common Stockholders,4527719000.0,3568737000.0,2950298000.0,6370966000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4527719000.0,3568737000.0,2950298000.0,6370966000.0,
Net Income Including Noncontrolling Interests,4527719000.0,3568737000.0,2950298000.0,6370966000.0,
Net Income Continuous Operations,4527719000.0,3568737000.0,2950298000.0,6370966000.0,
Tax Provision,1221407000.0,1237821000.0,1030104000.0,2833678000.0,
Pretax Income,5749126000.0,4806558000.0,3980402000.0,9204644000.0,
Other Non Operating Income Expenses,,113015000.0,,,
Special Income Charges,-10622000.0,7529000.0,22445000.0,0.0,
Other Special Charges,,,,,204429000.0
Impairment Of Capital Assets,10622000.0,-7529000.0,-22445000.0,,
Net Non Operating Interest Income Expense,-1532743000.0,-1058499000.0,-587676000.0,-417419000.0,
Total Other Finance Cost,374024000.0,236403000.0,206545000.0,180321000.0,
Interest Expense Non Operating,1216045000.0,867757000.0,438878000.0,258857000.0,
Interest Income Non Operating,57326000.0,45661000.0,57747000.0,21759000.0,
Operating Income,4376746000.0,6568878000.0,4699119000.0,9405170000.0,
Operating Expense,4094544000.0,2472491000.0,1490178000.0,1626434000.0,
Other Operating Expenses,386746000.0,257647000.0,322253000.0,225591000.0,
Depreciation And Amortization In Income Statement,5711000.0,7925000.0,9056000.0,19081000.0,
Depreciation Income Statement,5711000.0,7925000.0,9056000.0,19081000.0,
Research And Development,12525000.0,11155000.0,17112000.0,32252000.0,
Selling General And Administration,3719790000.0,2211459000.0,1146288000.0,1382423000.0,
Selling And Marketing Expense,3537738000.0,2050270000.0,1028842000.0,1252259000.0,
General And Administrative Expense,182052000.0,161189000.0,117446000.0,130164000.0,
Gross Profit,8471290000.0,9041369000.0,6189297000.0,11031604000.0,
Cost Of Revenue,8025027000.0,9839057000.0,7083267000.0,8008266000.0,
Total Revenue,16496317000.0,18880426000.0,13272564000.0,19039870000.0,
Operating Revenue,16496317000.0,18880426000.0,13272564000.0,19039870000.0,
