,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-68752212.539466,-66097999.547165,132689321.902501,-41822422.527964,
Tax Rate For Calcs,0.28772,0.30982,0.287013,0.266302,
Normalized EBITDA,12999586000.0,12691627000.0,10803765000.0,9398909000.0,
Total Unusual Items,-238955000.0,-213343000.0,462311000.0,-157049000.0,
Total Unusual Items Excluding Goodwill,-238955000.0,-213343000.0,462311000.0,-157049000.0,
Net Income From Continuing Operation Net Minority Interest,5457652000.0,5527101000.0,5099586000.0,4748049000.0,
Reconciled Depreciation,2303124000.0,2249618000.0,2031445000.0,1751415000.0,
Reconciled Cost Of Revenue,29059436000.0,26101100000.0,27517742000.0,29952666000.0,
EBITDA,12760631000.0,12478284000.0,11266076000.0,9241860000.0,
EBIT,10457507000.0,10228666000.0,9234631000.0,7490445000.0,
Net Interest Income,-2263605000.0,-1923143000.0,-1439136000.0,-496838000.0,
Interest Expense,2368614000.0,2205884000.0,1914983000.0,874987000.0,
Interest Income,353567000.0,321666000.0,340072000.0,334457000.0,
Normalized Income,5627854787.460534,5674346000.452835,4769964321.902501,4863275577.472036,
Net Income From Continuing And Discontinued Operation,5457652000.0,5527101000.0,5099586000.0,4748049000.0,
Total Expenses,31608757000.0,29161769000.0,29914657000.0,32117255000.0,
Rent Expense Supplemental,89574000.0,89001000.0,66512000.0,89892000.0,
Diluted Average Shares,1152254440.0,1152254440.0,1152254440.0,1152254440.0,
Basic Average Shares,1152254440.0,1152254440.0,1152254440.0,1152254440.0,
Diluted EPS,4.74,4.8,4.43,4.12,
Basic EPS,4.74,4.8,4.43,4.12,
Diluted NI Availto Com Stockholders,5457652000.0,5527101000.0,5099586000.0,4748049000.0,
Net Income Common Stockholders,5457652000.0,5527101000.0,5099586000.0,4748049000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5457652000.0,5527101000.0,5099586000.0,4748049000.0,
Minority Interests,-303902000.0,-10061000.0,-119227000.0,-105703000.0,
Net Income Including Noncontrolling Interests,5761554000.0,5537162000.0,5218813000.0,4853751000.0,
Net Income Continuous Operations,5761554000.0,5537161000.0,5218813000.0,4853750000.0,
Tax Provision,2327339000.0,2485621000.0,2100835000.0,1761708000.0,
Pretax Income,8088893000.0,8022782000.0,7319648000.0,6615458000.0,
Other Non Operating Income Expenses,22841000.0,14921000.0,,,
Special Income Charges,-341593000.0,-163736000.0,-177994000.0,-157049000.0,
Other Special Charges,341593000.0,163736000.0,177994000.0,157049000.0,
Impairment Of Capital Assets,0.0,0.0,,,
Restructuring And Mergern Acquisition,,,0.0,0.0,
Net Non Operating Interest Income Expense,-2263605000.0,-1923143000.0,-1439136000.0,-496838000.0,
Total Other Finance Cost,248558000.0,38925000.0,-135775000.0,-43692000.0,
Interest Expense Non Operating,2368614000.0,2205884000.0,1914983000.0,874987000.0,
Interest Income Non Operating,353567000.0,321666000.0,340072000.0,334457000.0,
Operating Income,11019455000.0,10581422000.0,9439580000.0,7093568000.0,
Operating Expense,2549321000.0,3060669000.0,2396915000.0,2164589000.0,
Other Operating Expenses,51215000.0,496715000.0,157125000.0,326737000.0,
Depreciation And Amortization In Income Statement,485582000.0,528649000.0,469577000.0,416334000.0,
Amortization,332791000.0,355352000.0,318331000.0,298193000.0,
Depreciation Income Statement,152791000.0,173297000.0,151246000.0,118141000.0,
Selling General And Administration,1277946000.0,1328013000.0,1205190000.0,885205000.0,
Selling And Marketing Expense,341440000.0,347701000.0,322204000.0,296560000.0,
General And Administrative Expense,936506000.0,980312000.0,882986000.0,588645000.0,
Rent And Landing Fees,,-14921000.0,1620000.0,20149000.0,20626000.0
Gross Profit,13568776000.0,13642091000.0,11836495000.0,9258157000.0,
Cost Of Revenue,29059436000.0,26101100000.0,27517742000.0,29952666000.0,
Total Revenue,42628212000.0,39743191000.0,39354237000.0,39210823000.0,
Operating Revenue,42628212000.0,39743191000.0,39354237000.0,39210823000.0,
