,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-3617785640.0,-37813767.9,294951020.0,467227660.0,
Tax Rate For Calcs,0.34,0.0537,0.34,0.34,
Normalized EBITDA,16410445000.0,14820684000.0,10268347000.0,11275794000.0,
Total Unusual Items,-10640546000.0,-704167000.0,867503000.0,1374199000.0,
Total Unusual Items Excluding Goodwill,-10640546000.0,-704167000.0,867503000.0,1374199000.0,
Net Income From Continuing Operation Net Minority Interest,-9697670000.0,1048972000.0,1126186000.0,6312140000.0,
Reconciled Depreciation,3868583000.0,3364943000.0,3014480000.0,2504384000.0,
Reconciled Cost Of Revenue,30236061000.0,28549896000.0,30556819000.0,20263186000.0,
EBITDA,5769899000.0,14116517000.0,11135850000.0,12649993000.0,
EBIT,1901316000.0,10751574000.0,8121370000.0,10145609000.0,
Net Interest Income,-5050297000.0,-3814770000.0,-4100152000.0,-3745780000.0,
Interest Expense,7146435000.0,5637823000.0,5468745000.0,3894733000.0,
Interest Income,2440694000.0,2507847000.0,2177245000.0,1012288000.0,
Normalized Income,-2674909640.0,1715325232.1,553634020.0,5405168660.0,
Net Income From Continuing And Discontinued Operation,-9423795000.0,1094391000.0,1176032000.0,6312140000.0,
Total Expenses,33994069000.0,31882153000.0,33367412000.0,22191553000.0,
Diluted Average Shares,1870058000.0,1874346000.0,1874580000.0,1839220000.0,
Basic Average Shares,1862704000.0,1867005000.0,1869077000.0,1834533000.0,
Diluted EPS,-5.16,0.58,0.6264,3.3264,
Basic EPS,-4.96,0.6,0.6292,3.3378,
Diluted NI Availto Com Stockholders,-9423795000.0,1094391000.0,1176032000.0,6306891000.0,
Average Dilution Earnings,,,-1739000.0,-5249000.0,-5739000.0
Net Income Common Stockholders,-9423795000.0,1094391000.0,1176032000.0,6312140000.0,
Otherunder Preferred Stock Dividend,,,,,0.0
Net Income,-9423795000.0,1094391000.0,1176032000.0,6312140000.0,
Minority Interests,-1262029000.0,-3790353000.0,-1644843000.0,-384320000.0,
Net Income Including Noncontrolling Interests,-8161766000.0,4884744000.0,2820875000.0,6696460000.0,
Net Income Discontinuous Operations,273875000.0,45419000.0,49846000.0,0.0,
Net Income Continuous Operations,-8435641000.0,4839325000.0,2771029000.0,6696460000.0,
Tax Provision,3190522000.0,274426000.0,-118404000.0,-445584000.0,
Pretax Income,-5245119000.0,5113751000.0,2652625000.0,6250876000.0,
Other Income Expense,-10151495000.0,1342177000.0,797403000.0,6095055000.0,
Other Non Operating Income Expenses,,502452000.0,-396818000.0,-90425000.0,80956000.0
Special Income Charges,-7830954000.0,-221174000.0,613596000.0,168860000.0,
Gain On Sale Of Ppe,141863000.0,-17016000.0,975042000.0,7295000.0,
Gain On Sale Of Business,-383205000.0,14884000.0,988077000.0,0.0,
Other Special Charges,313876000.0,204158000.0,460787000.0,254703000.0,
Write Off,7827796000.0,0.0,0.0,0.0,
Restructuring And Mergern Acquisition,-168855000.0,0.0,-99341000.0,-416268000.0,
Earnings From Equity Interest,489051000.0,2046344000.0,326718000.0,4720856000.0,
Gain On Sale Of Security,-2809592000.0,-482993000.0,253907000.0,1205339000.0,
Net Non Operating Interest Income Expense,-5050297000.0,-3814770000.0,-4100152000.0,-3745780000.0,
Total Other Finance Cost,344556000.0,684794000.0,808652000.0,863335000.0,
Interest Expense Non Operating,7146435000.0,5637823000.0,5468745000.0,3894733000.0,
Interest Income Non Operating,2440694000.0,2507847000.0,2177245000.0,1012288000.0,
Operating Income,9956673000.0,7586344000.0,5955374000.0,3901601000.0,
Operating Expense,3758008000.0,3332257000.0,2810593000.0,1928367000.0,
Other Operating Expenses,-602882000.0,-502452000.0,-108941000.0,90425000.0,
Other Taxes,-60282000.0,-43835000.0,-114812000.0,-287049000.0,
Depreciation Amortization Depletion Income Statement,,,0.0,0.0,100593000.0
Depreciation And Amortization In Income Statement,,,0.0,0.0,100593000.0
Depreciation Income Statement,,,0.0,0.0,100593000.0
Selling General And Administration,4421172000.0,3878544000.0,3034346000.0,2124991000.0,
Selling And Marketing Expense,1575890000.0,1350570000.0,1276279000.0,723419000.0,
General And Administrative Expense,2845282000.0,2527974000.0,1758067000.0,1401572000.0,
Other Gand A,2845282000.0,2527974000.0,1758067000.0,1401572000.0,
Gross Profit,13714681000.0,10918601000.0,8765967000.0,5829968000.0,
Cost Of Revenue,30236061000.0,28549896000.0,30556819000.0,20263186000.0,
Total Revenue,43950742000.0,39468497000.0,39322786000.0,26093154000.0,
Excise Taxes,7793084000.0,7323932000.0,7872439000.0,5472930000.0,
Operating Revenue,51743826000.0,46792429000.0,47195225000.0,31566084000.0,
