,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,-651611700.0,-658282840.0,600293160.0,
Tax Rate For Calcs,0.0,0.34,0.34,0.27,
Normalized EBITDA,8044481000.0,10500837000.0,12008250000.0,20856043000.0,
Total Unusual Items,-1195431000.0,-1916505000.0,-1936126000.0,2223308000.0,
Total Unusual Items Excluding Goodwill,-1195431000.0,-1916505000.0,-1936126000.0,2223308000.0,
Net Income From Continuing Operation Net Minority Interest,-2591851000.0,-318206000.0,1554060000.0,12258628000.0,
Reconciled Depreciation,3791413000.0,3379141000.0,2877656000.0,2218192000.0,
Reconciled Cost Of Revenue,28294661000.0,30176972000.0,28253746000.0,23717008000.0,
EBITDA,6849050000.0,8584332000.0,10072124000.0,23079351000.0,
EBIT,3057637000.0,5205191000.0,7194468000.0,20861159000.0,
Net Interest Income,-4813841000.0,-3970011000.0,-3047593000.0,-2286344000.0,
Interest Expense,4600986000.0,4169824000.0,3068031000.0,2265381000.0,
Interest Income,1030259000.0,908662000.0,777941000.0,279467000.0,
Normalized Income,-1396420000.0,946687300.0,2831903160.0,10635613160.0,
Net Income From Continuing And Discontinued Operation,-2591851000.0,-318206000.0,1554060000.0,12258628000.0,
Total Expenses,39695546000.0,38887928000.0,35507059000.0,29447417000.0,
Diluted Average Shares,1326093947.0,1326093947.0,1327028614.0,1376362149.0,
Basic Average Shares,1326093947.0,1326093947.0,1327028614.0,1376362149.0,
Diluted EPS,-1.9545,-0.23996,1.17108,8.90654,
Basic EPS,-1.9545,-0.23996,1.17108,8.90654,
Diluted NI Availto Com Stockholders,-2591851000.0,-318206000.0,1554060000.0,12258628000.0,
Net Income Common Stockholders,-2591851000.0,-318206000.0,1554060000.0,12258628000.0,
Net Income,-2591851000.0,-318206000.0,1554060000.0,12258628000.0,
Minority Interests,-1053710000.0,-720855000.0,-613638000.0,-1336993000.0,
Net Income Including Noncontrolling Interests,-1538141000.0,402649000.0,2167698000.0,13595621000.0,
Net Income Continuous Operations,-1538141000.0,402649000.0,2167698000.0,13595621000.0,
Tax Provision,-5208000.0,632718000.0,1958739000.0,5000157000.0,
Pretax Income,-1543349000.0,1035367000.0,4126437000.0,18595778000.0,
Other Income Expense,-721422000.0,-1544644000.0,-1681031000.0,2417500000.0,
Other Non Operating Income Expenses,25961000.0,20730000.0,17178000.0,11688000.0,
Special Income Charges,-539557000.0,-777782000.0,-13628000.0,-263082000.0,
Other Special Charges,192004000.0,-167000.0,198808000.0,11417000.0,
Write Off,284557000.0,655055000.0,-161047000.0,138779000.0,
Impairment Of Capital Assets,62996000.0,122894000.0,-24133000.0,112886000.0,
Earnings From Equity Interest,448048000.0,351131000.0,237917000.0,182504000.0,
Gain On Sale Of Security,-655874000.0,-1138723000.0,-1922498000.0,2486390000.0,
Net Non Operating Interest Income Expense,-4813841000.0,-3970011000.0,-3047593000.0,-2286344000.0,
Total Other Finance Cost,1243114000.0,708849000.0,757503000.0,300430000.0,
Interest Expense Non Operating,4600986000.0,4169824000.0,3068031000.0,2265381000.0,
Interest Income Non Operating,1030259000.0,908662000.0,777941000.0,279467000.0,
Operating Income,3991914000.0,6550022000.0,8855061000.0,18464622000.0,
Operating Expense,7704850000.0,5412739000.0,4453043000.0,3609942000.0,
Other Operating Expenses,799642000.0,780055000.0,515915000.0,228699000.0,
Other Taxes,398876000.0,-55937000.0,491208000.0,198590000.0,
Depreciation Amortization Depletion Income Statement,95378000.0,80924000.0,77386000.0,97725000.0,
Depreciation And Amortization In Income Statement,95378000.0,80924000.0,77386000.0,97725000.0,
Research And Development,57129000.0,58303000.0,58904000.0,77414000.0,
Selling General And Administration,6353825000.0,4549394000.0,3309630000.0,3007514000.0,
Selling And Marketing Expense,5453297000.0,3729089000.0,2575818000.0,2372298000.0,
General And Administrative Expense,900528000.0,820305000.0,733812000.0,635216000.0,
Other Gand A,855999000.0,760894000.0,674119000.0,587148000.0,
Insurance And Claims,,,,,-245945000.0
Salaries And Wages,44529000.0,59411000.0,59693000.0,48068000.0,
Gross Profit,11696764000.0,11962761000.0,13308104000.0,22074564000.0,
Cost Of Revenue,31990696000.0,33475189000.0,31054016000.0,25837475000.0,
Total Revenue,43687460000.0,45437950000.0,44362120000.0,47912039000.0,
Excise Taxes,6107865000.0,5868721000.0,6300905000.0,6630080000.0,
Operating Revenue,50581428000.0,51980417000.0,51034214000.0,54814961000.0,
