,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-2568489.329603,3211659.073641,-6301080.0,-2846480.0
Tax Rate For Calcs,0.088028,0.123997,0.12,0.08
Normalized EBITDA,2644738000.0,1758672000.0,1489566000.0,1330201000.0
Total Unusual Items,-29178000.0,25901000.0,-52509000.0,-35581000.0
Total Unusual Items Excluding Goodwill,-29178000.0,25901000.0,-52509000.0,-35581000.0
Net Income From Continuing Operation Net Minority Interest,1648996000.0,942090000.0,808880000.0,914356000.0
Reconciled Depreciation,50815000.0,67088000.0,43474000.0,40174000.0
Reconciled Cost Of Revenue,5385823000.0,4209100000.0,3678333000.0,3125013000.0
EBITDA,2615560000.0,1784573000.0,1437057000.0,1294620000.0
EBIT,2564745000.0,1717485000.0,1393583000.0,1254446000.0
Net Interest Income,-476041000.0,-468602000.0,-401655000.0,-137421000.0
Interest Expense,458263000.0,455274000.0,411967000.0,148512000.0
Interest Income,28819000.0,32131000.0,29330000.0,29568000.0
Normalized Income,1675605510.670397,919400659.073641,855087920.0,947090520.0
Net Income From Continuing And Discontinued Operation,1648996000.0,942090000.0,808880000.0,914356000.0
Total Expenses,6668358000.0,5423037000.0,4860196000.0,4020289000.0
Rent Expense Supplemental,17471000.0,23800000.0,24890000.0,15839000.0
Total Operating Income As Reported,1992797000.0,1125439000.0,913289000.0,
Diluted Average Shares,366532000.0,374921000.0,375730000.0,384504000.0
Basic Average Shares,366532000.0,374921000.0,375730000.0,384504000.0
Diluted EPS,4.49891,2.51277,2.15282,2.37801
Basic EPS,4.49891,2.51277,2.15282,2.37801
Diluted NI Availto Com Stockholders,1648996000.0,942090000.0,808880000.0,914356000.0
Net Income Common Stockholders,1648996000.0,942090000.0,808880000.0,914356000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1648996000.0,942090000.0,808880000.0,914356000.0
Minority Interests,-272056000.0,-163610000.0,-49711000.0,-102959000.0
Net Income Including Noncontrolling Interests,1921052000.0,1105700000.0,858591000.0,1017315000.0
Net Income Continuous Operations,1921052000.0,1105700000.0,858591000.0,1017315000.0
Tax Provision,185430000.0,156511000.0,123025000.0,88620000.0
Pretax Income,2106482000.0,1262211000.0,981616000.0,1105934000.0
Net Non Operating Interest Income Expense,-476041000.0,-468602000.0,-401655000.0,-137421000.0
Total Other Finance Cost,46597000.0,45459000.0,19018000.0,18477000.0
Interest Expense Non Operating,458263000.0,455274000.0,411967000.0,148512000.0
Interest Income Non Operating,28819000.0,32131000.0,29330000.0,29568000.0
Operating Income,1297330000.0,829662000.0,552099000.0,770544000.0
Operating Expense,1282535000.0,1213937000.0,1181863000.0,895276000.0
Other Operating Expenses,188909000.0,68513000.0,128924000.0,85984000.0
Selling General And Administration,827649000.0,871942000.0,766189000.0,582542000.0
Selling And Marketing Expense,493090000.0,459964000.0,371483000.0,225468000.0
General And Administrative Expense,334559000.0,411978000.0,394706000.0,357074000.0
Rent And Landing Fees,17471000.0,23800000.0,24890000.0,15839000.0
Gross Profit,2579865000.0,2043599000.0,1733962000.0,1665820000.0
Cost Of Revenue,5385823000.0,4209100000.0,3678333000.0,3125013000.0
Total Revenue,7965688000.0,6252699000.0,5412295000.0,4790833000.0
Operating Revenue,7965688000.0,6252699000.0,5412295000.0,4790833000.0
