,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-150552000.0,-47936600.0,-27079040.0,8136540.0,
Tax Rate For Calcs,0.34,0.34,0.32,0.34,
Normalized EBITDA,2431052000.0,2232475000.0,2295138000.0,1054752000.0,
Total Unusual Items,-442800000.0,-140990000.0,-84622000.0,23931000.0,
Total Unusual Items Excluding Goodwill,-442800000.0,-140990000.0,-84622000.0,23931000.0,
Net Income From Continuing Operation Net Minority Interest,-1200968000.0,-1137787000.0,-386924000.0,-226569000.0,
Reconciled Depreciation,1366818000.0,1296305000.0,1111523000.0,929761000.0,
Reconciled Cost Of Revenue,11128831000.0,10365230000.0,9330447000.0,7301851000.0,
EBITDA,1988252000.0,2091485000.0,2210516000.0,1078683000.0,
EBIT,621434000.0,795180000.0,1098993000.0,148922000.0,
Net Interest Income,-1632402000.0,-1642895000.0,-1501652000.0,-450877000.0,
Interest Expense,1688791000.0,1791134000.0,1677788000.0,523149000.0,
Interest Income,216322000.0,262673000.0,289634000.0,155596000.0,
Normalized Income,-908720000.0,-1044733600.0,-329381040.0,-242363460.0,
Net Income From Continuing And Discontinued Operation,-1198990000.0,-1166016000.0,-386924000.0,-226569000.0,
Total Expenses,14315555000.0,13340533000.0,12081035000.0,10330159000.0,
Total Operating Income As Reported,,,1016596000.0,88515000.0,
Diluted Average Shares,1288356000.0,785871000.0,581657000.0,583892000.0,
Basic Average Shares,1249533000.0,747048000.0,558184000.0,560419000.0,
Diluted EPS,-0.95955,-1.56083,-0.69319,-0.40429,
Basic EPS,-0.95955,-1.56083,-0.69319,-0.40429,
Diluted NI Availto Com Stockholders,-1198990000.0,-1166016000.0,-386924000.0,-226569000.0,
Net Income Common Stockholders,-1198990000.0,-1166016000.0,-386924000.0,-226569000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-1198990000.0,-1166016000.0,-386924000.0,-226569000.0,
Minority Interests,-5039000.0,-8017000.0,842000.0,-9632000.0,
Net Income Including Noncontrolling Interests,-1193951000.0,-1157999000.0,-387766000.0,-216937000.0,
Net Income Discontinuous Operations,1978000.0,-28229000.0,0.0,,
Net Income Continuous Operations,-1195929000.0,-1129770000.0,-387766000.0,-216937000.0,
Tax Provision,128572000.0,133816000.0,-191029000.0,-157290000.0,
Pretax Income,-1067357000.0,-995954000.0,-578795000.0,-374227000.0,
Other Non Operating Income Expenses,87469000.0,1621000.0,,14130000.0,10305000.0
Special Income Charges,-136640000.0,-142590000.0,-84622000.0,3898000.0,
Other Special Charges,-7540000.0,-7070000.0,5015000.0,-4706000.0,
Write Off,,100857000.0,31262000.0,808000.0,4901000.0
Restructuring And Mergern Acquisition,144180000.0,149660000.0,48345000.0,,
Net Non Operating Interest Income Expense,-1632402000.0,-1642895000.0,-1501652000.0,-450877000.0,
Total Other Finance Cost,159933000.0,114434000.0,113498000.0,83324000.0,
Interest Expense Non Operating,1688791000.0,1791134000.0,1677788000.0,523149000.0,
Interest Income Non Operating,216322000.0,262673000.0,289634000.0,155596000.0,
Operating Income,1006524000.0,911702000.0,1047858000.0,88515000.0,
Operating Expense,3186724000.0,2975303000.0,2750588000.0,3028308000.0,
Other Operating Expenses,,36578000.0,130768000.0,83560000.0,190308000.0
Depreciation And Amortization In Income Statement,,526507000.0,373232000.0,292398000.0,217132000.0
Depreciation Income Statement,,526507000.0,373232000.0,292398000.0,217132000.0
Selling General And Administration,3186724000.0,2975303000.0,1195155000.0,1078573000.0,
Selling And Marketing Expense,,86013000.0,101346000.0,85717000.0,48624000.0
General And Administrative Expense,3186724000.0,2975303000.0,1093809000.0,992856000.0,
Gross Profit,4193248000.0,3887005000.0,3798446000.0,3116823000.0,
Cost Of Revenue,11128831000.0,10365230000.0,9330447000.0,7301851000.0,
Total Revenue,15322079000.0,14252235000.0,13128893000.0,10418674000.0,
Operating Revenue,15322079000.0,14252235000.0,13128893000.0,10418674000.0,
