,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,17583576.0,12748392.8,16433784.0,0.0,
Tax Rate For Calcs,0.0816,0.1144,0.152,0.155212,
Normalized EBITDA,762252000.0,511159000.0,401185000.0,437759000.0,
Total Unusual Items,215485000.0,111437000.0,108117000.0,37294000.0,
Total Unusual Items Excluding Goodwill,215485000.0,111437000.0,108117000.0,37294000.0,
Net Income From Continuing Operation Net Minority Interest,638378000.0,331560000.0,190020000.0,146603000.0,
Reconciled Depreciation,70067000.0,60555000.0,53425000.0,51287000.0,
Reconciled Cost Of Revenue,2130127000.0,1550208000.0,1428891000.0,1146299000.0,
EBITDA,977737000.0,622596000.0,509302000.0,437759000.0,
EBIT,907670000.0,562041000.0,455877000.0,386472000.0,
Net Interest Income,-88169000.0,-99997000.0,-156374000.0,-76715000.0,
Interest Expense,115372000.0,125182000.0,154342000.0,157347000.0,
Interest Income,47903000.0,50212000.0,6202000.0,80632000.0,
Normalized Income,440476576.0,232871392.8,98336784.0,146603000.0,
Net Income From Continuing And Discontinued Operation,638378000.0,331560000.0,190020000.0,146603000.0,
Total Expenses,2770016000.0,1983465000.0,1834582000.0,1488099000.0,
Diluted Average Shares,175008726.0,172693506.0,149744805.0,146603000.0,
Basic Average Shares,173175133.0,172693506.0,149092079.0,145151485.0,
Diluted EPS,3.65,1.919933,1.27,1.0,
Basic EPS,3.69,1.919933,1.27,1.01,
Diluted NI Availto Com Stockholders,638378000.0,331560000.0,190020000.0,146603000.0,
Net Income Common Stockholders,638378000.0,331560000.0,190020000.0,146603000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,638378000.0,331560000.0,190020000.0,146603000.0,
Minority Interests,-89290000.0,-55317000.0,-65669000.0,-46959000.0,
Net Income Including Noncontrolling Interests,727668000.0,386877000.0,255689000.0,193562000.0,
Net Income Continuous Operations,727668000.0,386877000.0,255689000.0,193562000.0,
Tax Provision,64630000.0,49982000.0,45846000.0,35563000.0,
Pretax Income,792298000.0,436859000.0,301535000.0,229125000.0,
Other Non Operating Income Expenses,,,,-18387000.0,-31054000.0
Special Income Charges,-55249000.0,-61798000.0,-62553000.0,,
Other Special Charges,58147000.0,64404000.0,62553000.0,,
Impairment Of Capital Assets,-2898000.0,-2606000.0,0.0,,
Net Non Operating Interest Income Expense,-88169000.0,-99997000.0,-156374000.0,-76715000.0,
Total Other Finance Cost,20700000.0,25027000.0,8234000.0,6284000.0,
Interest Expense Non Operating,115372000.0,125182000.0,154342000.0,157347000.0,
Interest Income Non Operating,47903000.0,50212000.0,6202000.0,80632000.0,
Operating Income,578454000.0,371718000.0,328034000.0,288281000.0,
Operating Expense,639889000.0,433257000.0,405691000.0,341800000.0,
Other Operating Expenses,139876000.0,56305000.0,50978000.0,260080000.0,
Depreciation And Amortization In Income Statement,,4809000.0,4582000.0,,
Depreciation Income Statement,,4809000.0,4582000.0,,
Selling General And Administration,500013000.0,376952000.0,354713000.0,323413000.0,
Selling And Marketing Expense,289706000.0,202242000.0,203082000.0,190902000.0,
General And Administrative Expense,210307000.0,174710000.0,151631000.0,132511000.0,
Gross Profit,1218343000.0,804975000.0,733725000.0,630081000.0,
Cost Of Revenue,2130127000.0,1550208000.0,1428891000.0,1146299000.0,
Total Revenue,3348470000.0,2355183000.0,2162616000.0,1776380000.0,
Operating Revenue,3348470000.0,2355183000.0,2162616000.0,1776380000.0,
