,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,261903162.0,-31505540.0,-36532944.0,-145564860.0,
Tax Rate For Calcs,0.246,0.22,0.189,0.14,
Normalized EBITDA,7475882000.0,6998721000.0,6377506000.0,5987936000.0,
Total Unusual Items,1064647000.0,-143207000.0,-193296000.0,-1039749000.0,
Total Unusual Items Excluding Goodwill,1064647000.0,-143207000.0,-193296000.0,-1039749000.0,
Net Income From Continuing Operation Net Minority Interest,4279349000.0,3429555000.0,2663079000.0,1563725000.0,
Reconciled Depreciation,1072024000.0,924259000.0,989800000.0,1042417000.0,
Reconciled Cost Of Revenue,5112053000.0,4840645000.0,6317412000.0,6629461000.0,
EBITDA,8540529000.0,6855514000.0,6184210000.0,4948187000.0,
EBIT,7468505000.0,5931255000.0,5194410000.0,3905770000.0,
Net Interest Income,-2382942000.0,-2086692000.0,-2610216000.0,-3110135000.0,
Interest Expense,1762534000.0,1533955000.0,1909116000.0,2086336000.0,
Interest Income,80571000.0,78281000.0,76836000.0,54089000.0,
Normalized Income,3476605162.0,3541256460.0,2819842056.0,2457909140.0,
Net Income From Continuing And Discontinued Operation,4279349000.0,3429555000.0,2663079000.0,1563725000.0,
Total Expenses,5666485000.0,5313035000.0,6710342000.0,7004404000.0,
Rent Expense Supplemental,,,,13099000.0,13621000.0
Diluted Average Shares,815927740.0,815927740.0,815927740.0,815927740.0,
Basic Average Shares,815927740.0,815927740.0,815927740.0,815927740.0,
Diluted EPS,5.24476,4.20326,3.26387,1.9165,
Basic EPS,5.24476,4.20326,3.26387,1.9165,
Diluted NI Availto Com Stockholders,4279349000.0,3429555000.0,2663079000.0,1563725000.0,
Net Income Common Stockholders,4279349000.0,3429555000.0,2663079000.0,1563725000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4279349000.0,3429555000.0,2663079000.0,1563725000.0,
Minority Interests,-23492000.0,495000.0,-1489000.0,-1245000.0,
Net Income Including Noncontrolling Interests,4302841000.0,3429060000.0,2664568000.0,1564970000.0,
Net Income Continuous Operations,4302841000.0,3429060000.0,2664568000.0,1564970000.0,
Tax Provision,1403130000.0,968240000.0,620726000.0,254464000.0,
Pretax Income,5705971000.0,4397300000.0,3285294000.0,1819434000.0,
Special Income Charges,1416729000.0,-77216000.0,-138464000.0,-1272964000.0,
Other Special Charges,-1371668000.0,1275710000.0,72386000.0,196806000.0,
Impairment Of Capital Assets,-45061000.0,-1198494000.0,66078000.0,1076158000.0,
Restructuring And Mergern Acquisition,0.0,0.0,0.0,0.0,
Net Non Operating Interest Income Expense,-2382942000.0,-2086692000.0,-2610216000.0,-3110135000.0,
Total Other Finance Cost,700979000.0,631018000.0,777936000.0,1077888000.0,
Interest Expense Non Operating,1762534000.0,1533955000.0,1909116000.0,2086336000.0,
Interest Income Non Operating,80571000.0,78281000.0,76836000.0,54089000.0,
Operating Income,5552150000.0,5434749000.0,5196263000.0,5536269000.0,
Operating Expense,554432000.0,472390000.0,392930000.0,374943000.0,
Other Operating Expenses,45301000.0,37232000.0,27044000.0,45287000.0,
Depreciation And Amortization In Income Statement,40601000.0,42313000.0,36454000.0,30212000.0,
Depreciation Income Statement,40601000.0,42313000.0,36454000.0,30212000.0,
Research And Development,,,,,3429000.0
Selling General And Administration,262832000.0,219444000.0,161499000.0,118851000.0,
Selling And Marketing Expense,46097000.0,48981000.0,11749000.0,4690000.0,
General And Administrative Expense,216735000.0,170463000.0,149750000.0,114161000.0,
Rent And Landing Fees,,,,13099000.0,13621000.0
Gross Profit,6106582000.0,5907139000.0,5589193000.0,5911212000.0,
Cost Of Revenue,5112053000.0,4840645000.0,6317412000.0,6629461000.0,
Total Revenue,11218635000.0,10747784000.0,11906605000.0,12540673000.0,
Operating Revenue,11218635000.0,10747784000.0,11906605000.0,12540673000.0,
