,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,449792012.8,832802460.0,26244952.9,-3959173520.0,
Tax Rate For Calcs,0.2696,0.34,0.0953,0.34,
Normalized EBITDA,19057654000.0,9363885000.0,10467116000.0,26952234000.0,
Total Unusual Items,1668368000.0,2449419000.0,275393000.0,-11644628000.0,
Total Unusual Items Excluding Goodwill,1668368000.0,2449419000.0,275393000.0,-11644628000.0,
Net Income From Continuing Operation Net Minority Interest,10378122000.0,4881788000.0,2648592000.0,5731371000.0,
Reconciled Depreciation,3987775000.0,3621342000.0,2690269000.0,1443285000.0,
Reconciled Cost Of Revenue,5946585000.0,5524993000.0,4832128000.0,4165976000.0,
EBITDA,20726022000.0,11813304000.0,10742509000.0,15307606000.0,
EBIT,16738247000.0,8191962000.0,8052240000.0,13864321000.0,
Net Interest Income,-12328947000.0,-12934713000.0,-6063843000.0,-1986500000.0,
Interest Expense,6117463000.0,6463585000.0,4705030000.0,2804816000.0,
Interest Income,138666000.0,153458000.0,1008384000.0,756395000.0,
Normalized Income,9159546012.8,3265171460.0,2399443952.9,13416825480.0,
Net Income From Continuing And Discontinued Operation,10378122000.0,4549774000.0,3635377000.0,5646141000.0,
Total Expenses,27664010000.0,26997639000.0,27761890000.0,17513118000.0,
Total Operating Income As Reported,19609159000.0,11017128000.0,5164104000.0,9783287000.0,
Diluted Average Shares,,1995507000.0,1686088000.0,1568930910.0,1568930910.0
Basic Average Shares,,1995507000.0,1686088000.0,1568930910.0,1568930910.0
Diluted EPS,,1.96,1.8,3.641737,4.071124
Basic EPS,,1.98,1.82,3.641737,4.071124
Diluted NI Availto Com Stockholders,10378122000.0,4549774000.0,3635377000.0,5646141000.0,
Net Income Common Stockholders,10378122000.0,4549774000.0,3635377000.0,5646141000.0,
Net Income,10378122000.0,4549774000.0,3635377000.0,5646141000.0,
Minority Interests,-2632000.0,154913000.0,-3005000.0,-67492000.0,
Net Income Including Noncontrolling Interests,10380754000.0,4394861000.0,3638382000.0,5713633000.0,
Net Income Discontinuous Operations,0.0,-332014000.0,986785000.0,-85230000.0,
Net Income Continuous Operations,10380754000.0,4726875000.0,2651597000.0,5798863000.0,
Tax Provision,240030000.0,-2998498000.0,695613000.0,5260642000.0,
Pretax Income,10620784000.0,1728377000.0,3347210000.0,11059505000.0,
Other Income Expense,10432189000.0,4501821000.0,3098710000.0,-4067712000.0,
Other Non Operating Income Expenses,6260616000.0,-9688000.0,453540000.0,6069498000.0,
Special Income Charges,699759000.0,938664000.0,-2480443000.0,-12605134000.0,
Gain On Sale Of Ppe,5695000.0,55692000.0,0.0,0.0,
Other Special Charges,-160290000.0,-1246332000.0,2212628000.0,13080540000.0,
Impairment Of Capital Assets,-533774000.0,956492000.0,267815000.0,-475406000.0,
Restructuring And Mergern Acquisition,0.0,-593132000.0,0.0,0.0,
Earnings From Equity Interest,2503205000.0,2062090000.0,2369777000.0,1507418000.0,
Gain On Sale Of Security,968609000.0,1510755000.0,2755836000.0,960506000.0,
Net Non Operating Interest Income Expense,-12328947000.0,-12934713000.0,-6063843000.0,-1986500000.0,
Total Other Finance Cost,6350150000.0,6624586000.0,2367197000.0,-61921000.0,
Interest Expense Non Operating,6117463000.0,6463585000.0,4705030000.0,2804816000.0,
Interest Income Non Operating,138666000.0,153458000.0,1008384000.0,756395000.0,
Operating Income,12517542000.0,10161269000.0,6312343000.0,17113716000.0,
Operating Expense,21717425000.0,21472646000.0,22929762000.0,13347142000.0,
Other Operating Expenses,12906228000.0,12040477000.0,8711395000.0,6619175000.0,
Other Taxes,267782000.0,578163000.0,611964000.0,415961000.0,
Provision For Doubtful Accounts,574793000.0,448310000.0,5022082000.0,528612000.0,
Depreciation Amortization Depletion Income Statement,3987775000.0,3621342000.0,2690269000.0,1443285000.0,
Depreciation And Amortization In Income Statement,3987775000.0,3621342000.0,2690269000.0,1443285000.0,
Amortization,,,,294019000.0,91227000.0
Amortization Of Intangibles Income Statement,,,,294019000.0,91227000.0
Depreciation Income Statement,,,,1787440000.0,1771642000.0
Selling General And Administration,3980847000.0,4784354000.0,5894052000.0,4340109000.0,
General And Administrative Expense,3980847000.0,4784354000.0,5894052000.0,4340109000.0,
Other Gand A,,,,,6979388000.0
Salaries And Wages,3980847000.0,4784354000.0,5894052000.0,4340109000.0,
Gross Profit,34234967000.0,31633915000.0,29242105000.0,30460858000.0,
Cost Of Revenue,5946585000.0,5524993000.0,4832128000.0,4165976000.0,
Total Revenue,40181552000.0,37158908000.0,34074233000.0,34626834000.0,
Operating Revenue,40181552000.0,37158908000.0,34074233000.0,34626834000.0,
