,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,1253254.642434,162661.103907,0.0,0.0,
Tax Rate For Calcs,0.054326,0.00451,0.0,0.0,
Normalized EBITDA,1233000.0,-49526000.0,-77799000.0,-123795000.0,
Total Unusual Items,23069000.0,36064000.0,40252000.0,20663000.0,
Total Unusual Items Excluding Goodwill,23069000.0,36064000.0,40252000.0,20663000.0,
Net Income From Continuing Operation Net Minority Interest,-23935000.0,-52971000.0,-66515000.0,-118785000.0,
Reconciled Depreciation,34379000.0,24961000.0,17803000.0,10484000.0,
Reconciled Cost Of Revenue,116668000.0,97682000.0,90224000.0,78368000.0,
EBITDA,24302000.0,-13462000.0,-37547000.0,-103132000.0,
EBIT,-11787000.0,-38645000.0,-55350000.0,-113616000.0,
Net Interest Income,-13636000.0,-14239000.0,-11047000.0,-5341000.0,
Interest Expense,13523000.0,14566000.0,11165000.0,5169000.0,
Interest Income,513000.0,692000.0,435000.0,84000.0,
Normalized Income,-45750745.357566,-88872338.896093,-106767000.0,-139448000.0,
Net Income From Continuing And Discontinued Operation,-23935000.0,-52971000.0,-66515000.0,-118785000.0,
Total Expenses,306923000.0,269548000.0,234658000.0,240204000.0,
Total Operating Income As Reported,,-74993000.0,,-162850000.0,-59306000.0
Diluted Average Shares,,201512000.0,199069000.0,196992000.0,57421000.0
Basic Average Shares,,201512000.0,199069000.0,196992000.0,57421000.0
Diluted EPS,,-0.262,-0.3341,-0.603,-0.542
Basic EPS,,-0.262,-0.3341,-0.603,-0.542
Diluted NI Availto Com Stockholders,-23935000.0,-52971000.0,-66515000.0,-118785000.0,
Net Income Common Stockholders,-23935000.0,-52971000.0,-66515000.0,-118785000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-23935000.0,-52971000.0,-66515000.0,-118785000.0,
Net Income Including Noncontrolling Interests,-23935000.0,-52971000.0,-66515000.0,-118785000.0,
Net Income Continuous Operations,-23935000.0,-52971000.0,-66515000.0,-118785000.0,
Tax Provision,-1375000.0,-240000.0,,,-11000.0
Pretax Income,-25310000.0,-53211000.0,-66515000.0,-118785000.0,
Net Non Operating Interest Income Expense,-13636000.0,-14239000.0,-11047000.0,-5341000.0,
Total Other Finance Cost,626000.0,365000.0,317000.0,256000.0,
Interest Expense Non Operating,13523000.0,14566000.0,11165000.0,5169000.0,
Interest Income Non Operating,513000.0,692000.0,435000.0,84000.0,
Operating Income,-41702000.0,-74993000.0,-95757000.0,-134064000.0,
Operating Expense,190255000.0,171866000.0,144434000.0,161836000.0,
Other Operating Expenses,3537000.0,3335000.0,2478000.0,3777000.0,
Depreciation And Amortization In Income Statement,36089000.0,25183000.0,17803000.0,10484000.0,
Depreciation Income Statement,36089000.0,25183000.0,17803000.0,10484000.0,
Selling General And Administration,150629000.0,143348000.0,124153000.0,147575000.0,
Selling And Marketing Expense,56890000.0,48718000.0,42789000.0,57197000.0,
General And Administrative Expense,93739000.0,94630000.0,81364000.0,90378000.0,
Gross Profit,148553000.0,96873000.0,48677000.0,27772000.0,
Cost Of Revenue,116668000.0,97682000.0,90224000.0,78368000.0,
Total Revenue,265221000.0,194555000.0,138901000.0,106140000.0,
Operating Revenue,265221000.0,194555000.0,138901000.0,106140000.0,
