,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-60744052.191082,-5719485.290185,-13202483.906152,0.0,
Tax Rate For Calcs,0.247998,0.183217,0.222073,0.13,
Normalized EBITDA,447252000.0,313370000.0,345891000.0,356133000.0,
Total Unusual Items,-244938000.0,-31217000.0,-59451000.0,48732000.0,
Total Unusual Items Excluding Goodwill,-244938000.0,-31217000.0,-59451000.0,48732000.0,
Net Income From Continuing Operation Net Minority Interest,31709000.0,64048000.0,106204000.0,232907000.0,
Reconciled Depreciation,4129000.0,5258000.0,9121000.0,8345000.0,
Reconciled Cost Of Revenue,1579582000.0,1387087000.0,1795451000.0,1643701000.0,
EBITDA,202314000.0,282153000.0,286440000.0,356133000.0,
EBIT,198185000.0,276895000.0,277319000.0,347788000.0,
Net Interest Income,-26269000.0,-30706000.0,29290000.0,15966000.0,
Interest Expense,37123000.0,45077000.0,24272000.0,17941000.0,
Interest Income,9840000.0,13938000.0,2014000.0,3228000.0,
Normalized Income,215902947.808918,89545514.709815,152452516.093848,232907000.0,
Net Income From Continuing And Discontinued Operation,42108000.0,215997000.0,104384000.0,231212000.0,
Total Expenses,1810849000.0,1569063000.0,2129714000.0,2010831000.0,
Total Operating Income As Reported,217573000.0,189659000.0,128771000.0,264913000.0,
Diluted Average Shares,,198636196.0,210972000.0,205877000.0,207389000.0
Basic Average Shares,,198636196.0,205623000.0,205877000.0,207389000.0
Diluted EPS,,1.0874,0.495,1.123,0.071
Basic EPS,,1.0874,0.508,1.123,0.071
Diluted NI Availto Com Stockholders,42108000.0,215997000.0,104384000.0,231212000.0,
Net Income Common Stockholders,42108000.0,215997000.0,104384000.0,231212000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,42108000.0,215997000.0,104384000.0,231212000.0,
Minority Interests,-89410000.0,-125297000.0,-90648000.0,-55009000.0,
Net Income Including Noncontrolling Interests,131518000.0,341294000.0,195032000.0,286221000.0,
Net Income Discontinuous Operations,10399000.0,151949000.0,-1820000.0,-1695000.0,
Net Income Continuous Operations,121119000.0,189345000.0,196852000.0,287916000.0,
Tax Provision,39943000.0,42473000.0,56195000.0,41931000.0,
Pretax Income,161062000.0,231818000.0,253047000.0,329847000.0,
Special Income Charges,-244938000.0,-31217000.0,-59451000.0,,
Other Special Charges,244938000.0,31217000.0,59451000.0,,
Net Non Operating Interest Income Expense,-26269000.0,-30706000.0,29290000.0,15966000.0,
Total Other Finance Cost,-1014000.0,-433000.0,-51548000.0,-30679000.0,
Interest Expense Non Operating,37123000.0,45077000.0,24272000.0,17941000.0,
Interest Income Non Operating,9840000.0,13938000.0,2014000.0,3228000.0,
Operating Income,346443000.0,220878000.0,188222000.0,264913000.0,
Operating Expense,231267000.0,181976000.0,334263000.0,367130000.0,
Other Operating Expenses,7421000.0,-4807000.0,13051000.0,68708000.0,
Selling General And Administration,193737000.0,173746000.0,280720000.0,264006000.0,
Selling And Marketing Expense,104467000.0,84556000.0,153259000.0,142431000.0,
General And Administrative Expense,89270000.0,89190000.0,127461000.0,121575000.0,
Gross Profit,577710000.0,402854000.0,522485000.0,632043000.0,
Cost Of Revenue,1579582000.0,1387087000.0,1795451000.0,1643701000.0,
Total Revenue,2157292000.0,1789941000.0,2317936000.0,2275744000.0,
Operating Revenue,2157292000.0,1789941000.0,2317936000.0,2275744000.0,
