,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,6165234.0,8501776.0,9499152.441009,0.0,
Tax Rate For Calcs,0.081,0.101,0.094708,0.055,
Normalized EBITDA,460603000.0,259154000.0,322504000.0,502148000.0,
Total Unusual Items,76114000.0,84176000.0,100299000.0,42848000.0,
Total Unusual Items Excluding Goodwill,76114000.0,84176000.0,100299000.0,42848000.0,
Net Income From Continuing Operation Net Minority Interest,404605000.0,239467000.0,324707000.0,430128000.0,
Reconciled Depreciation,29206000.0,24366000.0,13217000.0,4832000.0,
Reconciled Cost Of Revenue,1027729000.0,739473000.0,737031000.0,516063000.0,
EBITDA,536717000.0,343330000.0,422803000.0,502148000.0,
EBIT,507511000.0,318964000.0,409586000.0,497316000.0,
Net Interest Income,55914000.0,692000.0,37852000.0,168489000.0,
Interest Expense,41092000.0,45016000.0,31689000.0,19092000.0,
Interest Income,79812000.0,37674000.0,66400000.0,187581000.0,
Normalized Income,334656234.0,163792776.0,233907152.441009,430128000.0,
Net Income From Continuing And Discontinued Operation,404605000.0,239467000.0,324707000.0,430128000.0,
Total Expenses,1305560000.0,996729000.0,968534000.0,724652000.0,
Diluted Average Shares,,218126000.0,219664000.0,226383158.0,227000000.0
Basic Average Shares,,218126000.0,219664000.0,226383158.0,227000000.0
Diluted EPS,,1.08,1.48,1.9,1.79
Basic EPS,,1.08,1.48,1.9,1.79
Diluted NI Availto Com Stockholders,404605000.0,239467000.0,324707000.0,430128000.0,
Net Income Common Stockholders,404605000.0,239467000.0,324707000.0,430128000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,404605000.0,239467000.0,324707000.0,430128000.0,
Minority Interests,-24113000.0,-6629000.0,-17400000.0,-22009000.0,
Net Income Including Noncontrolling Interests,428718000.0,246096000.0,342107000.0,452137000.0,
Net Income Continuous Operations,428718000.0,246096000.0,342107000.0,452137000.0,
Tax Provision,37701000.0,27852000.0,35790000.0,26087000.0,
Pretax Income,466419000.0,273948000.0,377897000.0,478224000.0,
Net Non Operating Interest Income Expense,55914000.0,692000.0,37852000.0,168489000.0,
Total Other Finance Cost,-17194000.0,-8034000.0,-3141000.0,11565000.0,
Interest Expense Non Operating,41092000.0,45016000.0,31689000.0,19092000.0,
Interest Income Non Operating,79812000.0,37674000.0,66400000.0,187581000.0,
Operating Income,254981000.0,86443000.0,152726000.0,233214000.0,
Operating Expense,277831000.0,257256000.0,231503000.0,208589000.0,
Other Operating Expenses,13172000.0,4821000.0,3986000.0,9417000.0,
Depreciation And Amortization In Income Statement,5230000.0,4519000.0,4468000.0,3649000.0,
Depreciation Income Statement,5230000.0,4519000.0,4468000.0,3649000.0,
Selling General And Administration,196238000.0,186226000.0,165722000.0,199172000.0,
Selling And Marketing Expense,120117000.0,113873000.0,97068000.0,86179000.0,
General And Administrative Expense,76121000.0,72353000.0,68654000.0,112993000.0,
Gross Profit,532812000.0,343699000.0,384229000.0,441803000.0,
Cost Of Revenue,1027729000.0,739473000.0,737031000.0,516063000.0,
Total Revenue,1560541000.0,1083172000.0,1121260000.0,957866000.0,
Operating Revenue,1560541000.0,1083172000.0,1121260000.0,957866000.0,
