,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,-1344907.260106,-7972298.349203,
Tax Rate For Calcs,0.34,0.08758,0.14617,0.083736,
Normalized EBITDA,547149000.0,601879000.0,1411091000.0,943295000.0,
Total Unusual Items,,0.0,-9201000.0,-95208000.0,-184747000.0
Total Unusual Items Excluding Goodwill,,0.0,-9201000.0,-95208000.0,-184747000.0
Net Income From Continuing Operation Net Minority Interest,327505000.0,382649000.0,1062276000.0,642878000.0,
Reconciled Depreciation,194899000.0,151595000.0,121275000.0,115632000.0,
Reconciled Cost Of Revenue,1765500000.0,1829478000.0,1686087000.0,1356025000.0,
EBITDA,547149000.0,601879000.0,1401890000.0,848087000.0,
EBIT,352250000.0,450284000.0,1280615000.0,732455000.0,
Net Interest Income,-46469000.0,-47935000.0,-47305000.0,-39719000.0,
Interest Expense,32415000.0,30647000.0,36253000.0,30794000.0,
Interest Income,7741000.0,3425000.0,11770000.0,8092000.0,
Normalized Income,327505000.0,382649000.0,1070132092.739894,730113701.650797,
Net Income From Continuing And Discontinued Operation,327505000.0,382649000.0,1062276000.0,642878000.0,
Total Expenses,1986030000.0,2131404000.0,1978047000.0,1588635000.0,
Total Operating Income As Reported,171929000.0,303731000.0,1160969000.0,800842000.0,
Diluted Average Shares,340386800.0,340386800.0,340386800.0,340386800.0,
Basic Average Shares,340386800.0,340386800.0,340386800.0,340386800.0,
Diluted EPS,0.962887,1.055103,2.92908,1.772648,
Basic EPS,0.962887,1.055103,2.92908,1.772648,
Diluted NI Availto Com Stockholders,327505000.0,382649000.0,1062276000.0,642878000.0,
Net Income Common Stockholders,327505000.0,382649000.0,1062276000.0,642878000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,327505000.0,382649000.0,1062276000.0,642878000.0,
Minority Interests,-249000.0,-236000.0,-198000.0,-29000.0,
Net Income Including Noncontrolling Interests,327754000.0,382885000.0,1062474000.0,642907000.0,
Net Income Continuous Operations,327754000.0,382885000.0,1062474000.0,642907000.0,
Tax Provision,-7919000.0,36752000.0,181888000.0,58754000.0,
Pretax Income,319835000.0,419637000.0,1244362000.0,701661000.0,
Net Non Operating Interest Income Expense,-46469000.0,-47935000.0,-47305000.0,-39719000.0,
Total Other Finance Cost,21795000.0,20713000.0,22822000.0,17017000.0,
Interest Expense Non Operating,32415000.0,30647000.0,36253000.0,30794000.0,
Interest Income Non Operating,7741000.0,3425000.0,11770000.0,8092000.0,
Operating Income,250674000.0,303731000.0,1160969000.0,800842000.0,
Operating Expense,220530000.0,301926000.0,291960000.0,232610000.0,
Other Operating Expenses,-29135000.0,49571000.0,61872000.0,31806000.0,
Selling General And Administration,275720000.0,250776000.0,249325000.0,198168000.0,
Selling And Marketing Expense,21547000.0,19371000.0,17083000.0,18662000.0,
General And Administrative Expense,254173000.0,231405000.0,232242000.0,179506000.0,
Gross Profit,471204000.0,605657000.0,1452929000.0,1033452000.0,
Cost Of Revenue,1765500000.0,1829478000.0,1686087000.0,1356025000.0,
Total Revenue,2236704000.0,2435135000.0,3139016000.0,2389477000.0,
Operating Revenue,2236704000.0,2435135000.0,3139016000.0,2389477000.0,
