,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-9454729.2,-22605024.0,-9104019.2,-13162776.0,
Tax Rate For Calcs,0.2324,0.208,0.2384,0.292,
Normalized EBITDA,2138758000.0,1792701000.0,1312080000.0,1124187000.0,
Total Unusual Items,-40683000.0,-108678000.0,-38188000.0,-45078000.0,
Total Unusual Items Excluding Goodwill,-40683000.0,-108678000.0,-38188000.0,-45078000.0,
Net Income From Continuing Operation Net Minority Interest,616172000.0,423758000.0,307908000.0,349926000.0,
Reconciled Depreciation,779983000.0,675378000.0,455339000.0,389280000.0,
Reconciled Cost Of Revenue,5541534000.0,4730916000.0,3252930000.0,2745758000.0,
EBITDA,2098075000.0,1684023000.0,1273892000.0,1079109000.0,
EBIT,1318092000.0,1008645000.0,818553000.0,689829000.0,
Net Interest Income,-409340000.0,-366916000.0,-316670000.0,-165261000.0,
Interest Expense,531681000.0,477317000.0,413160000.0,193721000.0,
Interest Income,191089000.0,151273000.0,97966000.0,46805000.0,
Normalized Income,647400270.8,509830976.0,336991980.8,381841224.0,
Net Income From Continuing And Discontinued Operation,616172000.0,423758000.0,307908000.0,349926000.0,
Total Expenses,6452247000.0,5477528000.0,3696835000.0,3162901000.0,
Rent Expense Supplemental,978962000.0,844545000.0,596304000.0,544022000.0,
Total Operating Income As Reported,1197720000.0,915935000.0,734971000.0,667261000.0,
Diluted Average Shares,545167435.0,484469982.0,322789355.0,333648681.0,
Basic Average Shares,545146041.0,484410781.0,322636900.0,332676322.0,
Diluted EPS,1.130244,0.874684,0.953898,1.047619,
Basic EPS,1.130288,0.874791,0.954348,1.047619,
Diluted NI Availto Com Stockholders,616172000.0,423758000.0,307908000.0,349926000.0,
Net Income Common Stockholders,616172000.0,423758000.0,307908000.0,349926000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,616172000.0,423758000.0,307908000.0,349926000.0,
Minority Interests,12518000.0,2935000.0,-823000.0,-1565000.0,
Net Income Including Noncontrolling Interests,603654000.0,420823000.0,308731000.0,351491000.0,
Net Income Continuous Operations,603654000.0,420823000.0,308731000.0,351491000.0,
Tax Provision,182757000.0,110505000.0,96662000.0,144617000.0,
Pretax Income,786411000.0,531328000.0,405393000.0,496108000.0,
Special Income Charges,-38058000.0,-83963000.0,-36583000.0,-45505000.0,
Other Special Charges,31647000.0,88542000.0,38170000.0,-15147000.0,
Write Off,6411000.0,-4579000.0,-1587000.0,-3512000.0,
Impairment Of Capital Assets,,,,,3902000.0
Restructuring And Mergern Acquisition,,,38170000.0,64164000.0,24668000.0
Net Non Operating Interest Income Expense,-409340000.0,-366916000.0,-316670000.0,-165261000.0,
Total Other Finance Cost,68748000.0,40872000.0,1476000.0,18345000.0,
Interest Expense Non Operating,531681000.0,477317000.0,413160000.0,193721000.0,
Interest Income Non Operating,191089000.0,151273000.0,97966000.0,46805000.0,
Operating Income,1232412000.0,993322000.0,766205000.0,709750000.0,
Operating Expense,910713000.0,746612000.0,443905000.0,417143000.0,
Other Operating Expenses,14059000.0,8020000.0,-16240000.0,21682000.0,
Depreciation And Amortization In Income Statement,174652000.0,151813000.0,59790000.0,64304000.0,
Depreciation Income Statement,174652000.0,151813000.0,59790000.0,64304000.0,
Selling General And Administration,254188000.0,190742000.0,114948000.0,72439000.0,
Selling And Marketing Expense,62692000.0,49355000.0,33036000.0,32253000.0,
General And Administrative Expense,191496000.0,141387000.0,81912000.0,40186000.0,
Gross Profit,2143125000.0,1739934000.0,1210110000.0,1126893000.0,
Cost Of Revenue,5541534000.0,4730916000.0,3252930000.0,2745758000.0,
Total Revenue,7684659000.0,6470850000.0,4463040000.0,3872651000.0,
Operating Revenue,7684659000.0,6470850000.0,4463040000.0,3872651000.0,
