,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-14589375.1,3016826.1,-35116.8,1425789.2,
Tax Rate For Calcs,0.3103,0.2619,0.1829,0.0682,
Normalized EBITDA,879369000.0,748952000.0,481126000.0,387096000.0,
Total Unusual Items,-47017000.0,11519000.0,-192000.0,20906000.0,
Total Unusual Items Excluding Goodwill,-47017000.0,11519000.0,-192000.0,20906000.0,
Net Income From Continuing Operation Net Minority Interest,367742000.0,377385000.0,204838000.0,211228000.0,
Reconciled Depreciation,158712000.0,124695000.0,120079000.0,113514000.0,
Reconciled Cost Of Revenue,2635267000.0,2250056000.0,2154694000.0,1833869000.0,
EBITDA,832352000.0,760471000.0,480934000.0,408002000.0,
EBIT,673640000.0,635776000.0,360855000.0,294488000.0,
Net Interest Income,-125237000.0,-115885000.0,-136333000.0,-64367000.0,
Interest Expense,130340000.0,109094000.0,112014000.0,68449000.0,
Interest Income,,19661000.0,17242000.0,4203000.0,13267000.0
Normalized Income,400169624.9,368882826.1,204994883.2,191747789.2,
Net Income From Continuing And Discontinued Operation,367742000.0,377385000.0,204838000.0,211228000.0,
Total Expenses,3406011000.0,2871280000.0,2731415000.0,2315252000.0,
Rent Expense Supplemental,30155000.0,19868000.0,20485000.0,,
Total Operating Income As Reported,519171000.0,542553000.0,333040000.0,,
Diluted Average Shares,267016000.0,267016000.0,252359000.0,214566000.0,
Basic Average Shares,267016000.0,267016000.0,252359000.0,214566000.0,
Diluted EPS,1.3772,1.4133,0.8117,0.9844,
Basic EPS,1.3772,1.4133,0.8117,0.9844,
Diluted NI Availto Com Stockholders,367742000.0,377385000.0,204838000.0,211228000.0,
Net Income Common Stockholders,367742000.0,377385000.0,204838000.0,211228000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,367742000.0,377385000.0,204838000.0,211228000.0,
Minority Interests,-6961000.0,-11347000.0,1509000.0,606000.0,
Net Income Including Noncontrolling Interests,374703000.0,388732000.0,203329000.0,210622000.0,
Net Income Continuous Operations,374703000.0,388732000.0,203329000.0,210622000.0,
Tax Provision,168597000.0,137950000.0,45512000.0,15417000.0,
Pretax Income,543300000.0,526682000.0,248841000.0,226039000.0,
Other Non Operating Income Expenses,2654000.0,2966000.0,248000.0,,
Special Income Charges,-47017000.0,11519000.0,6945000.0,20388000.0,
Other Special Charges,4976000.0,43863000.0,6158000.0,-10301000.0,
Write Off,4984000.0,2238000.0,-2834000.0,,
Restructuring And Mergern Acquisition,37057000.0,-57620000.0,-10269000.0,-10087000.0,
Net Non Operating Interest Income Expense,-125237000.0,-115885000.0,-136333000.0,-64367000.0,
Total Other Finance Cost,-5103000.0,6791000.0,41561000.0,121000.0,
Interest Expense Non Operating,130340000.0,109094000.0,112014000.0,68449000.0,
Interest Income Non Operating,,19661000.0,17242000.0,4203000.0,13267000.0
Operating Income,559765000.0,517377000.0,326756000.0,266914000.0,
Operating Expense,770744000.0,621224000.0,576721000.0,481383000.0,
Other Operating Expenses,1936000.0,25717000.0,30454000.0,56956000.0,
Selling General And Administration,737482000.0,577928000.0,517218000.0,424427000.0,
Selling And Marketing Expense,404731000.0,313025000.0,291596000.0,237211000.0,
General And Administrative Expense,332751000.0,264903000.0,225622000.0,187216000.0,
Gross Profit,1330509000.0,1138601000.0,903477000.0,748297000.0,
Cost Of Revenue,2635267000.0,2250056000.0,2154694000.0,1833869000.0,
Total Revenue,3965776000.0,3388657000.0,3058171000.0,2582166000.0,
Operating Revenue,3965776000.0,3388657000.0,3058171000.0,2582166000.0,
