,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,1911339.884445,0.0,
Tax Rate For Calcs,0.121,0.033391,0.02161,0.023819,
Normalized EBITDA,2161781000.0,1865134000.0,1477832000.0,1115818000.0,
Total Unusual Items,,63397000.0,88445000.0,,-6815000.0
Total Unusual Items Excluding Goodwill,,63397000.0,88445000.0,,-6815000.0
Net Income From Continuing Operation Net Minority Interest,1318193000.0,1220856000.0,1052419000.0,758931000.0,
Reconciled Depreciation,376746000.0,353392000.0,329168000.0,264958000.0,
Reconciled Cost Of Revenue,24825355000.0,20960658000.0,16969435000.0,12174415000.0,
EBITDA,2161781000.0,1865134000.0,1566277000.0,1115818000.0,
EBIT,1785035000.0,1511742000.0,1237109000.0,850860000.0,
Net Interest Income,-528343000.0,-405323000.0,-276886000.0,-128544000.0,
Interest Expense,266169000.0,234454000.0,148795000.0,63310000.0,
Interest Income,135119000.0,165218000.0,99142000.0,70760000.0,
Normalized Income,1318193000.0,1220856000.0,965885339.884445,758931000.0,
Net Income From Continuing And Discontinued Operation,1318193000.0,1220856000.0,1052419000.0,758931000.0,
Total Expenses,30038219000.0,25090975000.0,20491722000.0,14960763000.0,
Rent Expense Supplemental,145849000.0,136662000.0,135698000.0,113813000.0,
Total Operating Income As Reported,2090814000.0,1682611000.0,1365284000.0,916167000.0,
Diluted Average Shares,2203128000.0,2209527491.0,2209926809.0,4782185845.0,
Basic Average Shares,2203128000.0,2209527491.0,2209926809.0,4782185845.0,
Diluted EPS,0.6,0.544364,0.479874,0.159958,
Basic EPS,0.6,0.544364,0.479874,0.159958,
Diluted NI Availto Com Stockholders,1318193000.0,1220856000.0,1052419000.0,758931000.0,
Net Income Common Stockholders,1318193000.0,1220856000.0,1052419000.0,758931000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1318193000.0,1220856000.0,1052419000.0,758931000.0,
Minority Interests,-16701000.0,-13782000.0,-12376000.0,-9860000.0,
Net Income Including Noncontrolling Interests,1334894000.0,1234638000.0,1064795000.0,768791000.0,
Net Income Continuous Operations,1334894000.0,1234638000.0,1064795000.0,768791000.0,
Tax Provision,183972000.0,42650000.0,23519000.0,18759000.0,
Pretax Income,1518866000.0,1277288000.0,1088314000.0,787550000.0,
Special Income Charges,,63397000.0,88445000.0,,-6815000.0
Other Special Charges,,-63397000.0,-88445000.0,,6815000.0
Net Non Operating Interest Income Expense,-528343000.0,-405323000.0,-276886000.0,-128544000.0,
Total Other Finance Cost,397293000.0,336087000.0,227233000.0,135994000.0,
Interest Expense Non Operating,266169000.0,234454000.0,148795000.0,63310000.0,
Interest Income Non Operating,135119000.0,165218000.0,99142000.0,70760000.0,
Operating Income,2047209000.0,1682611000.0,1276755000.0,916094000.0,
Operating Expense,5212864000.0,4130317000.0,3522287000.0,2786348000.0,
Other Operating Expenses,245525000.0,-107529000.0,84000.0,59340000.0,
Depreciation And Amortization In Income Statement,376746000.0,353392000.0,329167000.0,260445000.0,
Depreciation Income Statement,376746000.0,353392000.0,329167000.0,260445000.0,
Selling General And Administration,1745445000.0,1471613000.0,3611233000.0,1013848000.0,
Selling And Marketing Expense,680096000.0,549453000.0,455691000.0,268195000.0,
General And Administrative Expense,1065349000.0,922160000.0,3611233000.0,745653000.0,
Rent And Landing Fees,145849000.0,136662000.0,135698000.0,113813000.0,
Gross Profit,7260073000.0,5812928000.0,4799042000.0,3702442000.0,
Cost Of Revenue,24825355000.0,20960658000.0,16969435000.0,12174415000.0,
Total Revenue,32085428000.0,26773586000.0,21768477000.0,15876857000.0,
Operating Revenue,32085428000.0,26773586000.0,21768477000.0,15876857000.0,
