,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-179359755.224108,-140016574.110055,10833720.495236,332226279.458896,
Tax Rate For Calcs,0.15842,0.194929,0.277802,0.233458,
Normalized EBITDA,10533759000.0,14027225000.0,19663694000.0,22586592000.0,
Total Unusual Items,-1132180000.0,-718294000.0,38998000.0,1423066000.0,
Total Unusual Items Excluding Goodwill,-1132180000.0,-718294000.0,38998000.0,1423066000.0,
Net Income From Continuing Operation Net Minority Interest,1544820000.0,2560346000.0,3744624000.0,5063330000.0,
Reconciled Depreciation,3126247000.0,3047212000.0,2866699000.0,2658561000.0,
Reconciled Cost Of Revenue,57823416000.0,57583992000.0,63661156000.0,57527721000.0,
EBITDA,9401579000.0,13308931000.0,19702692000.0,24009658000.0,
EBIT,6275332000.0,10261719000.0,16835993000.0,21351097000.0,
Net Interest Income,-421158000.0,-477919000.0,-747058000.0,-1255606000.0,
Interest Expense,796933000.0,840069000.0,964607000.0,1059841000.0,
Interest Income,375775000.0,362150000.0,217549000.0,68922000.0,
Normalized Income,2497640244.775892,3138623425.889945,3716459720.495236,3972490279.458896,
Net Income From Continuing And Discontinued Operation,1544820000.0,2560346000.0,3744624000.0,5063330000.0,
Total Expenses,60695707000.0,59070501000.0,65874800000.0,59165895000.0,
Total Operating Income As Reported,7474322000.0,10409822000.0,,,
Diluted Average Shares,1026791473.0,1032705804.0,1063362950.0,1081908120.0,
Basic Average Shares,1026791473.0,1032705804.0,1063362950.0,1081908120.0,
Diluted EPS,1.5,2.48,3.52,4.68,
Basic EPS,1.5,2.48,3.52,4.68,
Diluted NI Availto Com Stockholders,1544820000.0,2560346000.0,3744624000.0,5063330000.0,
Net Income Common Stockholders,1544820000.0,2560346000.0,3744624000.0,5063330000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1544820000.0,2560346000.0,3744624000.0,5063330000.0,
Minority Interests,-3065692000.0,-5024748000.0,-7717660000.0,-10490768000.0,
Net Income Including Noncontrolling Interests,4610512000.0,7585094000.0,11462284000.0,15554098000.0,
Net Income Continuous Operations,4610512000.0,7585094000.0,11462284000.0,15554098000.0,
Tax Provision,867887000.0,1836556000.0,4409102000.0,4737158000.0,
Pretax Income,5478399000.0,9421650000.0,15871386000.0,20291256000.0,
Other Non Operating Income Expenses,,,,788741000.0,
Special Income Charges,-924369000.0,-692587000.0,0.0,1404781000.0,
Other Special Charges,924369000.0,692587000.0,,-1404781000.0,476057000.0
Write Off,,,,0.0,476057000.0
Net Non Operating Interest Income Expense,-421158000.0,-477919000.0,-747058000.0,-1255606000.0,
Total Other Finance Cost,,562429000.0,602466000.0,264687000.0,239273000.0
Interest Expense Non Operating,796933000.0,840069000.0,964607000.0,1059841000.0,
Interest Income Non Operating,375775000.0,362150000.0,217549000.0,68922000.0,
Operating Income,6330949000.0,9845946000.0,16537410000.0,19179186000.0,
Operating Expense,2872291000.0,1486509000.0,2213644000.0,1638174000.0,
Other Operating Expenses,999858000.0,297138000.0,261250000.0,496671000.0,
Selling General And Administration,2179954000.0,2223243000.0,2200378000.0,2120909000.0,
Selling And Marketing Expense,762560000.0,716195000.0,733026000.0,715830000.0,
General And Administrative Expense,1417394000.0,1507048000.0,1467352000.0,1405079000.0,
Gross Profit,9203240000.0,11332455000.0,18751054000.0,20817360000.0,
Cost Of Revenue,57823416000.0,57583992000.0,63661156000.0,57527721000.0,
Total Revenue,67026656000.0,68916447000.0,82412210000.0,78345081000.0,
Operating Revenue,67026656000.0,68916447000.0,82412210000.0,78345081000.0,
