,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-423665840.0,901393040.0,-72247812.0,-1079877060.0
Tax Rate For Calcs,0.34,0.34,0.026,0.34
Normalized EBITDA,5156226000.0,162840000.0,-1060607000.0,842824000.0
Total Unusual Items,-1246076000.0,2651156000.0,-2778762000.0,-3176109000.0
Total Unusual Items Excluding Goodwill,-1246076000.0,2651156000.0,-2778762000.0,-3176109000.0
Net Income From Continuing Operation Net Minority Interest,-1222259000.0,-1561473000.0,-7221538000.0,-5988128000.0
Reconciled Depreciation,1667259000.0,1720134000.0,1335813000.0,1870552000.0
Reconciled Cost Of Revenue,11446338000.0,10450668000.0,8593696000.0,7522056000.0
EBITDA,3910150000.0,2813996000.0,-3839369000.0,-2333285000.0
EBIT,2242891000.0,1093862000.0,-5175182000.0,-4203837000.0
Net Interest Income,-3672721000.0,-3400367000.0,-2152251000.0,-1763121000.0
Interest Expense,3199672000.0,2611537000.0,2201045000.0,1613456000.0
Interest Income,211118000.0,90552000.0,48794000.0,117564000.0
Normalized Income,-399848840.0,-3311235960.0,-4515023812.0,-3891896060.0
Net Income From Continuing And Discontinued Operation,-1222259000.0,-1561473000.0,-7221538000.0,-5988128000.0
Total Expenses,15435046000.0,14641611000.0,11267979000.0,7323222000.0
Rent Expense Supplemental,901156000.0,777349000.0,456006000.0,411065000.0
Diluted Average Shares,3200504000.0,2863683000.0,377305000.0,355786000.0
Basic Average Shares,3200504000.0,2863683000.0,377305000.0,355786000.0
Diluted EPS,-0.083,-0.545,-19.157,-16.831
Basic EPS,-0.083,-0.545,-19.157,-16.831
Diluted NI Availto Com Stockholders,-1222259000.0,-1561473000.0,-7221538000.0,-5988128000.0
Net Income Common Stockholders,-1222259000.0,-1561473000.0,-7221538000.0,-5988128000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-1222259000.0,-1561473000.0,-7221538000.0,-5988128000.0
Minority Interests,0.0,0.0,-37734000.0,-92877000.0
Net Income Including Noncontrolling Interests,-1222259000.0,-1561473000.0,-7183804000.0,-5895251000.0
Net Income Continuous Operations,-1222259000.0,-1561473000.0,-7183804000.0,-5895251000.0
Tax Provision,265478000.0,43798000.0,-192423000.0,77958000.0
Pretax Income,-956781000.0,-1517675000.0,-7376227000.0,-5817293000.0
Other Income Expense,554254000.0,2653782000.0,-2977514000.0,-3102767000.0
Earnings From Equity Interest,,0.0,0.0,-439000.0
Gain On Sale Of Security,554254000.0,2653782000.0,-2977514000.0,-3102328000.0
Net Non Operating Interest Income Expense,-3672721000.0,-3400367000.0,-2152251000.0,-1763121000.0
Total Other Finance Cost,684167000.0,879382000.0,1136107000.0,267229000.0
Interest Expense Non Operating,3199672000.0,2611537000.0,2201045000.0,1613456000.0
Interest Income Non Operating,211118000.0,90552000.0,48794000.0,117564000.0
Operating Income,3338978000.0,557114000.0,-3834595000.0,-951405000.0
Operating Expense,2456391000.0,2592660000.0,2674283000.0,-198834000.0
Other Operating Expenses,-895221000.0,-159254000.0,39223000.0,-523019000.0
Other Taxes,,,16791000.0,38553000.0
Depreciation Amortization Depletion Income Statement,134942000.0,121851000.0,,
Depreciation And Amortization In Income Statement,134942000.0,121851000.0,,
Depreciation Income Statement,134942000.0,121851000.0,,
Selling General And Administration,3216670000.0,2630063000.0,2635060000.0,324185000.0
Selling And Marketing Expense,1215651000.0,1068686000.0,583684000.0,324185000.0
General And Administrative Expense,2001019000.0,1561377000.0,2051376000.0,
Other Gand A,1185213000.0,850321000.0,2051376000.0,
Salaries And Wages,815806000.0,711056000.0,,
Gross Profit,5795369000.0,3149774000.0,-1160312000.0,-1150239000.0
Cost Of Revenue,12978655000.0,12048951000.0,8593696000.0,7522056000.0
Total Revenue,18774024000.0,15198725000.0,7433384000.0,6371817000.0
Operating Revenue,18774024000.0,15198725000.0,7433384000.0,6371817000.0
