,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-255651440.0,-169381880.0,-104419440.0,-38200020.0
Tax Rate For Calcs,0.34,0.34,0.34,0.34
Normalized EBITDA,4060851000.0,3869290000.0,2653466000.0,1734465000.0
Total Unusual Items,-751916000.0,-498182000.0,-307116000.0,-112353000.0
Total Unusual Items Excluding Goodwill,-751916000.0,-498182000.0,-307116000.0,-112353000.0
Net Income From Continuing Operation Net Minority Interest,-655266000.0,-615796000.0,-777234000.0,497795000.0
Reconciled Depreciation,1716717000.0,1625121000.0,2187283000.0,895085000.0
Reconciled Cost Of Revenue,25613945000.0,24767548000.0,18093707000.0,6817459000.0
EBITDA,3308935000.0,3371108000.0,2346350000.0,1622112000.0
EBIT,1592218000.0,1745987000.0,159067000.0,727027000.0
Net Interest Income,-1611609000.0,-2109176000.0,-1590407000.0,-220177000.0
Interest Expense,2059495000.0,2290059000.0,1606876000.0,234151000.0
Interest Income,486986000.0,340955000.0,262342000.0,61552000.0
Normalized Income,-159001440.0,-286995880.0,-574537440.0,571947980.0
Net Income From Continuing And Discontinued Operation,-649301000.0,-615151000.0,-777234000.0,497795000.0
Total Expenses,27383972000.0,26262200000.0,23699693000.0,9246807000.0
Diluted Average Shares,7641809000.0,7506086000.0,6837931000.0,3843940000.0
Basic Average Shares,7641809000.0,7506086000.0,6837931000.0,3843940000.0
Diluted EPS,-0.08,-0.08,-0.11,0.13
Basic EPS,-0.08,-0.08,-0.11,0.13
Diluted NI Availto Com Stockholders,-649301000.0,-615151000.0,-777234000.0,497795000.0
Net Income Common Stockholders,-649301000.0,-615151000.0,-777234000.0,497795000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-649301000.0,-615151000.0,-777234000.0,497795000.0
Minority Interests,75000.0,-522000.0,-1395000.0,-2541000.0
Net Income Including Noncontrolling Interests,-649376000.0,-614629000.0,-775839000.0,500336000.0
Net Income Discontinuous Operations,5965000.0,645000.0,0.0,
Net Income Continuous Operations,-655341000.0,-615274000.0,-775839000.0,500336000.0
Tax Provision,188064000.0,71202000.0,-671970000.0,-7460000.0
Pretax Income,-467277000.0,-544072000.0,-1447809000.0,492876000.0
Special Income Charges,-790067000.0,-418388000.0,-210328000.0,-94694000.0
Other Special Charges,790067000.0,418388000.0,210328000.0,94694000.0
Net Non Operating Interest Income Expense,-1611609000.0,-2109176000.0,-1590407000.0,-220177000.0
Total Other Finance Cost,39100000.0,160072000.0,245873000.0,47578000.0
Interest Expense Non Operating,2059495000.0,2290059000.0,1606876000.0,234151000.0
Interest Income Non Operating,486986000.0,340955000.0,262342000.0,61552000.0
Operating Income,1530726000.0,1687373000.0,49110000.0,636578000.0
Operating Expense,1770027000.0,1494652000.0,5605986000.0,2429348000.0
Other Operating Expenses,204574000.0,381186000.0,796629000.0,409943000.0
Depreciation And Amortization In Income Statement,724127000.0,414182000.0,1695006000.0,707463000.0
Depreciation Income Statement,724127000.0,414182000.0,1695006000.0,707463000.0
Selling General And Administration,324950000.0,550261000.0,2003062000.0,824173000.0
Selling And Marketing Expense,138175000.0,104965000.0,1296114000.0,514206000.0
General And Administrative Expense,186775000.0,445296000.0,706948000.0,309967000.0
Gross Profit,3300753000.0,3182025000.0,5655096000.0,3065926000.0
Cost Of Revenue,25613945000.0,24767548000.0,18093707000.0,6817459000.0
Total Revenue,28914698000.0,27949573000.0,23748803000.0,9883385000.0
Operating Revenue,28914698000.0,27949573000.0,23748803000.0,9883385000.0
