,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,69833960.0,33927920.0,745387.5,879889.5,
Tax Rate For Calcs,0.34,0.34,0.0195,0.0189,
Normalized EBITDA,489362000.0,610498000.0,571998000.0,389614000.0,
Total Unusual Items,205394000.0,99788000.0,38225000.0,46555000.0,
Total Unusual Items Excluding Goodwill,205394000.0,99788000.0,38225000.0,46555000.0,
Net Income From Continuing Operation Net Minority Interest,528934000.0,544231000.0,480262000.0,364443000.0,
Reconciled Depreciation,97834000.0,79240000.0,69648000.0,40622000.0,
Reconciled Cost Of Revenue,3293517000.0,2826669000.0,3031094000.0,2177896000.0,
EBITDA,694756000.0,710286000.0,610223000.0,436169000.0,
EBIT,596922000.0,631046000.0,540575000.0,395547000.0,
Net Interest Income,53933000.0,-21456000.0,36580000.0,84432000.0,
Interest Expense,82087000.0,114352000.0,70512000.0,25021000.0,
Interest Income,16444000.0,7667000.0,4972000.0,32182000.0,
Normalized Income,393373960.0,478370920.0,442782387.5,318767889.5,
Net Income From Continuing And Discontinued Operation,528934000.0,544231000.0,480262000.0,364443000.0,
Total Expenses,4346043000.0,3703281000.0,3875018000.0,2825082000.0,
Total Operating Income As Reported,544317000.0,521325000.0,463374000.0,362608000.0,
Diluted Average Shares,327607049.0,327611110.0,327611110.0,327611110.0,
Basic Average Shares,327607049.0,327611110.0,327611110.0,327611110.0,
Diluted EPS,1.61,1.66,1.46,1.11,
Basic EPS,1.61,1.66,1.46,1.11,
Diluted NI Availto Com Stockholders,528934000.0,544231000.0,480262000.0,364443000.0,
Net Income Common Stockholders,528934000.0,544231000.0,480262000.0,364443000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,528934000.0,544231000.0,480262000.0,364443000.0,
Minority Interests,522000.0,-1327000.0,1014000.0,934000.0,
Net Income Including Noncontrolling Interests,528412000.0,545558000.0,479248000.0,363509000.0,
Net Income Continuous Operations,528412000.0,545558000.0,479248000.0,363509000.0,
Tax Provision,-13577000.0,-28864000.0,-9185000.0,7017000.0,
Pretax Income,514835000.0,516694000.0,470063000.0,370526000.0,
Special Income Charges,,63933000.0,-4119000.0,-2270000.0,
Other Special Charges,,,4119000.0,2270000.0,
Restructuring And Mergern Acquisition,,-63933000.0,,,
Net Non Operating Interest Income Expense,53933000.0,-21456000.0,36580000.0,84432000.0,
Total Other Finance Cost,-119576000.0,-85229000.0,-102120000.0,-77271000.0,
Interest Expense Non Operating,82087000.0,114352000.0,70512000.0,25021000.0,
Interest Income Non Operating,16444000.0,7667000.0,4972000.0,32182000.0,
Operating Income,410103000.0,400395000.0,357605000.0,262090000.0,
Operating Expense,1052526000.0,876612000.0,843924000.0,647186000.0,
Other Operating Expenses,97625000.0,80976000.0,75391000.0,15125000.0,
Depreciation And Amortization In Income Statement,53538000.0,46394000.0,45373000.0,10530000.0,
Depreciation Income Statement,53538000.0,46394000.0,45373000.0,10530000.0,
Research And Development,,,125694000.0,102110000.0,70478000.0
Selling General And Administration,348886000.0,291355000.0,249307000.0,200778000.0,
Selling And Marketing Expense,348886000.0,291355000.0,249307000.0,182757000.0,
General And Administrative Expense,,,25632000.0,18021000.0,8887000.0
Gross Profit,1462629000.0,1277007000.0,1201529000.0,909276000.0,
Cost Of Revenue,3293517000.0,2826669000.0,3031094000.0,2177896000.0,
Total Revenue,4756146000.0,4103676000.0,4232623000.0,3087172000.0,
Operating Revenue,4756146000.0,4103676000.0,4232623000.0,3087172000.0,
