,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,4077000.0,593640000.0,0.0,521220000.0,
Tax Rate For Calcs,0.009,0.34,0.018,0.34,
Normalized EBITDA,17176000000.0,14774000000.0,17676000000.0,12882000000.0,
Total Unusual Items,453000000.0,1746000000.0,3452000000.0,1533000000.0,
Total Unusual Items Excluding Goodwill,453000000.0,1746000000.0,3452000000.0,1533000000.0,
Net Income From Continuing Operation Net Minority Interest,14778000000.0,13466000000.0,13674000000.0,12200000000.0,
Reconciled Depreciation,1231000000.0,1176000000.0,855000000.0,722000000.0,
Reconciled Cost Of Revenue,5783000000.0,5006000000.0,5611000000.0,5296000000.0,
EBITDA,17629000000.0,16520000000.0,17676000000.0,14415000000.0,
EBIT,16398000000.0,15344000000.0,16821000000.0,13693000000.0,
Net Interest Income,-1385000000.0,-1594000000.0,-1013000000.0,-459000000.0,
Interest Expense,1373000000.0,1569000000.0,2265000000.0,453000000.0,
Interest Income,1000000.0,0.0,1252000000.0,0.0,
Normalized Income,14329077000.0,12313640000.0,13674000000.0,11188220000.0,
Net Income From Continuing And Discontinued Operation,14778000000.0,13466000000.0,13674000000.0,12200000000.0,
Total Expenses,8010000000.0,6710000000.0,7279000000.0,6625000000.0,
Total Operating Income As Reported,,14110000000.0,15569000000.0,13097000000.0,7724000000.0
Diluted Average Shares,10893413150.0,10782078673.0,10241202926.0,11884089488.0,
Basic Average Shares,10893413150.0,10782078673.0,10241202926.0,11884089488.0,
Diluted EPS,1.356595,1.248926,1.335195,1.026586,
Basic EPS,1.356595,1.248926,1.335195,1.026586,
Diluted NI Availto Com Stockholders,14778000000.0,13466000000.0,13674000000.0,12200000000.0,
Net Income Common Stockholders,14778000000.0,13466000000.0,13674000000.0,12200000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,14778000000.0,13466000000.0,13674000000.0,12200000000.0,
Minority Interests,-109000000.0,-512000000.0,-480000000.0,-1091000000.0,
Net Income Including Noncontrolling Interests,14887000000.0,13978000000.0,14154000000.0,13291000000.0,
Net Income Continuous Operations,14887000000.0,13978000000.0,14154000000.0,13291000000.0,
Tax Provision,138000000.0,-203000000.0,402000000.0,-51000000.0,
Pretax Income,15025000000.0,13775000000.0,14556000000.0,13240000000.0,
Other Non Operating Income Expenses,85000000.0,5000000.0,2883000000.0,57000000.0,
Special Income Charges,-59000000.0,98000000.0,-11000000.0,-18000000.0,
Other Special Charges,-6000000.0,-34000000.0,11000000.0,18000000.0,
Write Off,23000000.0,63000000.0,,-5000000.0,13000000.0
Impairment Of Capital Assets,,0.0,0.0,,13000000.0
Restructuring And Mergern Acquisition,42000000.0,-127000000.0,-168000000.0,,
Gain On Sale Of Security,,,,895000000.0,-47000000.0
Net Non Operating Interest Income Expense,-1385000000.0,-1594000000.0,-1013000000.0,-459000000.0,
Total Other Finance Cost,13000000.0,25000000.0,85000000.0,6000000.0,
Interest Expense Non Operating,1373000000.0,1569000000.0,2265000000.0,453000000.0,
Interest Income Non Operating,1000000.0,0.0,1252000000.0,0.0,
Operating Income,225000000.0,673000000.0,1207000000.0,1545000000.0,
Operating Expense,2227000000.0,1704000000.0,1668000000.0,1329000000.0,
Other Operating Expenses,451000000.0,2000000.0,354000000.0,-475000000.0,
Depreciation And Amortization In Income Statement,47000000.0,76000000.0,41000000.0,35000000.0,
Amortization,,,26000000.0,26000000.0,
Depreciation Income Statement,47000000.0,76000000.0,41000000.0,35000000.0,
Selling General And Administration,1229000000.0,1140000000.0,1668000000.0,1337000000.0,
Selling And Marketing Expense,1028000000.0,861000000.0,1120000000.0,849000000.0,
General And Administrative Expense,201000000.0,279000000.0,548000000.0,488000000.0,
Gross Profit,2452000000.0,2377000000.0,2875000000.0,2874000000.0,
Cost Of Revenue,5783000000.0,5006000000.0,5611000000.0,5296000000.0,
Total Revenue,8235000000.0,7383000000.0,8486000000.0,8170000000.0,
Operating Revenue,8235000000.0,7383000000.0,8486000000.0,8170000000.0,
