,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-196413847.2,-3693420.0,-3813111.693762,-185965042.39578,
Tax Rate For Calcs,0.2742,0.34,0.115367,0.245741,
Normalized EBITDA,7263978000.0,3633129000.0,6836952000.0,8467900000.0,
Total Unusual Items,-716316000.0,-10863000.0,-33052000.0,-756752000.0,
Total Unusual Items Excluding Goodwill,-716316000.0,-10863000.0,-33052000.0,-756752000.0,
Net Income From Continuing Operation Net Minority Interest,1766870000.0,-198869000.0,2997488000.0,3811442000.0,
Reconciled Depreciation,2189547000.0,2149066000.0,1907921000.0,1673216000.0,
Reconciled Cost Of Revenue,63662923000.0,63076991000.0,59420792000.0,51308453000.0,
EBITDA,6547662000.0,3622266000.0,6803900000.0,7711148000.0,
EBIT,4358115000.0,1473200000.0,4895979000.0,6037932000.0,
Net Interest Income,-1305496000.0,-1493858000.0,-1313695000.0,-984600000.0,
Interest Expense,1647112000.0,1732928000.0,1342486000.0,975164000.0,
Interest Income,453731000.0,326442000.0,268418000.0,144326000.0,
Normalized Income,2286772152.8,-191699420.0,3026726888.306238,4382228957.60422,
Net Income From Continuing And Discontinued Operation,1766870000.0,-198869000.0,2997488000.0,3811442000.0,
Total Expenses,72428685000.0,71701307000.0,67886502000.0,58305842000.0,
Total Operating Income As Reported,4377821000.0,1084140000.0,4783391000.0,5984069000.0,
Diluted Average Shares,2218116000.0,2218116000.0,2254345000.0,2479191000.0,
Basic Average Shares,2218116000.0,2218116000.0,2254345000.0,2479191000.0,
Diluted EPS,0.8,-0.09,1.34,1.54,
Basic EPS,0.8,-0.09,1.34,1.54,
Diluted NI Availto Com Stockholders,1766870000.0,-198869000.0,2997488000.0,3811442000.0,
Net Income Common Stockholders,1766870000.0,-198869000.0,2997488000.0,3811442000.0,
Otherunder Preferred Stock Dividend,,,0.0,0.0,0.0
Net Income,1766870000.0,-198869000.0,2997488000.0,3811442000.0,
Minority Interests,-200740000.0,-67134000.0,-146049000.0,-7196000.0,
Net Income Including Noncontrolling Interests,1967610000.0,-131735000.0,3143537000.0,3818638000.0,
Net Income Continuous Operations,1967610000.0,-131735000.0,3143537000.0,3818638000.0,
Tax Provision,743393000.0,-127993000.0,409956000.0,1244130000.0,
Pretax Income,2711003000.0,-259728000.0,3553493000.0,5062768000.0,
Other Income Expense,-737363000.0,17314000.0,139780000.0,-689496000.0,
Other Non Operating Income Expenses,-23992000.0,18640000.0,161032000.0,50078000.0,
Special Income Charges,-352049000.0,-151316000.0,-105049000.0,-802873000.0,
Gain On Sale Of Ppe,5608000.0,-18035000.0,13158000.0,29000.0,
Other Special Charges,253681000.0,81195000.0,85264000.0,792625000.0,
Write Off,10588000.0,7748000.0,2477000.0,10277000.0,
Restructuring And Mergern Acquisition,93388000.0,44338000.0,30466000.0,0.0,
Earnings From Equity Interest,2945000.0,9537000.0,11800000.0,17178000.0,
Gain On Sale Of Security,-364267000.0,140453000.0,71997000.0,46121000.0,
Net Non Operating Interest Income Expense,-1305496000.0,-1493858000.0,-1313695000.0,-984600000.0,
Total Other Finance Cost,112115000.0,87372000.0,239627000.0,153762000.0,
Interest Expense Non Operating,1647112000.0,1732928000.0,1342486000.0,975164000.0,
Interest Income Non Operating,453731000.0,326442000.0,268418000.0,144326000.0,
Operating Income,4753862000.0,1216816000.0,4727408000.0,6736864000.0,
Operating Expense,6834364000.0,6750335000.0,6816265000.0,5552003000.0,
Other Operating Expenses,,-26397000.0,-210224478.989372,-65638950.6926,-97143104.443162
Other Taxes,-6993000.0,-48825000.0,-51532000.0,-18032000.0,
Provision For Doubtful Accounts,,,,11745496.303739,6380650.125024
Depreciation Amortization Depletion Income Statement,258149000.0,275085000.0,258476000.0,227830000.0,
Depreciation And Amortization In Income Statement,258149000.0,275085000.0,258476000.0,227830000.0,
Depreciation Income Statement,,,1334774000.0,1226416000.0,1034585000.0
Selling General And Administration,6583208000.0,6524075000.0,6609321000.0,5342205000.0,
Selling And Marketing Expense,4030020000.0,4220201000.0,4374682000.0,3304952000.0,
General And Administrative Expense,2553188000.0,2303874000.0,2234639000.0,2037253000.0,
Other Gand A,933895000.0,753552000.0,694325000.0,740007000.0,
Salaries And Wages,1619293000.0,1550322000.0,1540314000.0,1297246000.0,
Gross Profit,11588226000.0,7967151000.0,11543673000.0,12288867000.0,
Cost Of Revenue,65594321000.0,64950972000.0,61070237000.0,52753839000.0,
Total Revenue,77182547000.0,72918123000.0,72613910000.0,65042706000.0,
Excise Taxes,,,685749461.023488,671927079.595206,513200615.502981
Operating Revenue,77182547000.0,72918123000.0,72613910000.0,65042706000.0,
