,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-435893.683389,4870232.613879,0.0,0.0,
Tax Rate For Calcs,0.134494,0.304618,0.10277,0.014605,
Normalized EBITDA,1408118000.0,1030879000.0,1122156000.0,1323065000.0,
Total Unusual Items,-3241000.0,15988000.0,57951000.0,35063000.0,
Total Unusual Items Excluding Goodwill,-3241000.0,15988000.0,57951000.0,35063000.0,
Net Income From Continuing Operation Net Minority Interest,854418000.0,452533000.0,642276000.0,1003464000.0,
Reconciled Depreciation,73614000.0,55256000.0,62958000.0,62231000.0,
Reconciled Cost Of Revenue,689591000.0,651259000.0,773932000.0,613475000.0,
EBITDA,1404877000.0,1046867000.0,1122156000.0,1323065000.0,
EBIT,1331263000.0,991611000.0,1059198000.0,1260834000.0,
Net Interest Income,-281725000.0,-230913000.0,-190305000.0,-117749000.0,
Interest Expense,335840000.0,275652000.0,341768000.0,265072000.0,
Interest Income,27325000.0,37652000.0,151463000.0,147323000.0,
Normalized Income,857223106.316611,441415232.613879,642276000.0,1003464000.0,
Net Income From Continuing And Discontinued Operation,854418000.0,452533000.0,642276000.0,1003464000.0,
Total Expenses,1026600000.0,1026140000.0,1142900000.0,923534000.0,
Total Operating Income As Reported,,,,,816171000.0
Diluted Average Shares,678559434.0,682113605.0,676412672.0,681303165.0,
Basic Average Shares,676607051.0,678222613.0,676412672.0,681303165.0,
Diluted EPS,1.259165,0.663428,0.949533,1.47286,
Basic EPS,1.262798,0.667234,0.949533,1.47286,
Diluted NI Availto Com Stockholders,854418000.0,452533000.0,642276000.0,1003464000.0,
Net Income Common Stockholders,854418000.0,452533000.0,642276000.0,1003464000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,854418000.0,452533000.0,642276000.0,1003464000.0,
Minority Interests,-7127000.0,-45332000.0,-1423000.0,22245000.0,
Net Income Including Noncontrolling Interests,861545000.0,497865000.0,643700000.0,981219000.0,
Net Income Continuous Operations,861545000.0,497865000.0,643700000.0,981219000.0,
Tax Provision,133878000.0,218094000.0,73730000.0,14543000.0,
Pretax Income,995423000.0,715959000.0,717430000.0,995762000.0,
Special Income Charges,17211000.0,-25583000.0,-3426000.0,-19264000.0,
Other Special Charges,-18349000.0,20200000.0,3426000.0,21981000.0,
Impairment Of Capital Assets,,,0.0,-2717000.0,502000.0
Restructuring And Mergern Acquisition,1138000.0,5383000.0,0.0,,
Net Non Operating Interest Income Expense,-281725000.0,-230913000.0,-190305000.0,-117749000.0,
Total Other Finance Cost,-26790000.0,-7087000.0,-18067000.0,26407000.0,
Interest Expense Non Operating,335840000.0,275652000.0,341768000.0,265072000.0,
Interest Income Non Operating,27325000.0,37652000.0,151463000.0,147323000.0,
Operating Income,581333000.0,567335000.0,793140000.0,1083907000.0,
Operating Expense,337009000.0,374881000.0,368968000.0,310059000.0,
Other Operating Expenses,9498000.0,16745000.0,32758000.0,51335000.0,
Depreciation And Amortization In Income Statement,22288000.0,22678000.0,20399000.0,24222000.0,
Depreciation Income Statement,22288000.0,22678000.0,20399000.0,24222000.0,
Selling General And Administration,379551000.0,350575000.0,336210000.0,258724000.0,
Selling And Marketing Expense,,,,,25863000.0
General And Administrative Expense,379551000.0,350575000.0,336210000.0,258724000.0,
Gross Profit,918342000.0,942216000.0,1162108000.0,1393966000.0,
Cost Of Revenue,689591000.0,651259000.0,773932000.0,613475000.0,
Total Revenue,1607933000.0,1593475000.0,1936040000.0,2007441000.0,
Operating Revenue,1607933000.0,1593475000.0,1936040000.0,2007441000.0,
