,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,49559282.5,414261.0,2782888.0,26093695.937692,
Tax Rate For Calcs,0.2275,0.0687,0.167,0.154958,
Normalized EBITDA,1762740000.0,1643492000.0,1064313000.0,770925000.0,
Total Unusual Items,217843000.0,6030000.0,16664000.0,168392000.0,
Total Unusual Items Excluding Goodwill,217843000.0,6030000.0,16664000.0,168392000.0,
Net Income From Continuing Operation Net Minority Interest,207312000.0,351783000.0,194182000.0,270782000.0,
Reconciled Depreciation,609035000.0,446586000.0,301497000.0,234139000.0,
Reconciled Cost Of Revenue,7502387000.0,6182602000.0,4981357000.0,3635312000.0,
EBITDA,1980583000.0,1649522000.0,1080977000.0,939317000.0,
EBIT,1371548000.0,1202936000.0,779480000.0,705178000.0,
Net Interest Income,-1147673000.0,-850999000.0,-619606000.0,-369799000.0,
Interest Expense,1103189000.0,825186000.0,613083000.0,382652000.0,
Interest Income,376000.0,64000.0,2584000.0,10682000.0,
Normalized Income,39028282.5,346167261.0,180300888.0,128483695.937692,
Net Income From Continuing And Discontinued Operation,207312000.0,351783000.0,194182000.0,270782000.0,
Total Expenses,7845799000.0,6293240000.0,5253580000.0,3772045000.0,
Rent Expense Supplemental,,,,,27132000.0
Diluted Average Shares,284527201.0,284539679.0,213067074.0,213293836.0,
Basic Average Shares,284514706.0,284535056.0,213067074.0,213293836.0,
Diluted EPS,0.72862,1.23632,0.9114,1.2695,
Basic EPS,0.72865,1.23634,0.9114,1.2695,
Diluted NI Availto Com Stockholders,207312000.0,351783000.0,194182000.0,270782000.0,
Net Income Common Stockholders,207312000.0,351783000.0,194182000.0,270782000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,207312000.0,351783000.0,194182000.0,270782000.0,
Minority Interests,,,0.0,-1766000.0,49266000.0
Net Income Including Noncontrolling Interests,207312000.0,351783000.0,194182000.0,272548000.0,
Net Income Discontinuous Operations,,,,0.0,90346000.0
Net Income Continuous Operations,207312000.0,351783000.0,194182000.0,272548000.0,
Tax Provision,61047000.0,25967000.0,-27785000.0,49978000.0,
Pretax Income,268359000.0,377750000.0,166397000.0,322526000.0,
Special Income Charges,,,,,-8554000.0
Write Off,,,,,8554000.0
Net Non Operating Interest Income Expense,-1147673000.0,-850999000.0,-619606000.0,-369799000.0,
Total Other Finance Cost,44860000.0,25877000.0,9107000.0,-2171000.0,
Interest Expense Non Operating,1103189000.0,825186000.0,613083000.0,382652000.0,
Interest Income Non Operating,376000.0,64000.0,2584000.0,10682000.0,
Operating Income,1210459000.0,1281404000.0,768825000.0,523933000.0,
Operating Expense,343412000.0,110638000.0,272223000.0,136733000.0,
Other Operating Expenses,71637000.0,59415000.0,14242000.0,3517000.0,
Selling General And Administration,494925000.0,455796000.0,346539000.0,294345000.0,
Selling And Marketing Expense,47357000.0,42523000.0,27078000.0,19408000.0,
General And Administrative Expense,447568000.0,413273000.0,319461000.0,274937000.0,
Gross Profit,1553871000.0,1392042000.0,1041048000.0,660666000.0,
Cost Of Revenue,7502387000.0,6182602000.0,4981357000.0,3635312000.0,
Total Revenue,9056258000.0,7574644000.0,6022405000.0,4295978000.0,
Operating Revenue,9056258000.0,7574644000.0,6022405000.0,4295978000.0,
