,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.350629,0.34,0.34,0.34,
Normalized EBITDA,604218000.0,574629000.0,622928000.0,358985000.0,
Net Income From Continuing Operation Net Minority Interest,53600000.0,60103000.0,406702000.0,97490000.0,
Reconciled Depreciation,278562000.0,227654000.0,176021000.0,122555000.0,
Reconciled Cost Of Revenue,2351613000.0,1871490000.0,1579411000.0,1107114000.0,
EBITDA,604218000.0,574629000.0,622928000.0,358985000.0,
EBIT,325656000.0,346975000.0,446907000.0,236430000.0,
Net Interest Income,-236168000.0,-217354000.0,-206003000.0,-150242000.0,
Interest Expense,242956000.0,202271000.0,198357000.0,140569000.0,
Interest Income,0.0,0.0,0.0,0.0,
Normalized Income,53600000.0,60103000.0,406702000.0,97490000.0,
Net Income From Continuing And Discontinued Operation,53600000.0,60103000.0,406702000.0,97490000.0,
Total Expenses,2462903000.0,2015697000.0,1702137000.0,1191140000.0,
Total Operating Income As Reported,,,,,192760000.0
Diluted Average Shares,,105821000.0,105281000.0,105368000.0,105817000.0
Basic Average Shares,,105563000.0,105032000.0,104483000.0,103846000.0
Diluted EPS,,0.57,3.86,0.93,0.12
Basic EPS,,0.57,3.87,0.93,0.13
Diluted NI Availto Com Stockholders,53600000.0,60103000.0,406702000.0,97490000.0,
Net Income Common Stockholders,53600000.0,60103000.0,406702000.0,97490000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,53600000.0,60103000.0,406702000.0,97490000.0,
Minority Interests,-103000.0,-69000.0,-58000.0,-81000.0,
Net Income Including Noncontrolling Interests,53703000.0,60172000.0,406760000.0,97571000.0,
Net Income Continuous Operations,53703000.0,60172000.0,406760000.0,97571000.0,
Tax Provision,28997000.0,84532000.0,-158210000.0,-1710000.0,
Pretax Income,82700000.0,144704000.0,248550000.0,95861000.0,
Other Non Operating Income Expenses,10083000.0,-8618000.0,10192000.0,1603000.0,
Net Non Operating Interest Income Expense,-236168000.0,-217354000.0,-206003000.0,-150242000.0,
Total Other Finance Cost,-6788000.0,15083000.0,7646000.0,9673000.0,
Interest Expense Non Operating,242956000.0,202271000.0,198357000.0,140569000.0,
Interest Income Non Operating,0.0,0.0,0.0,0.0,
Operating Income,332853000.0,322928000.0,364913000.0,205899000.0,
Operating Expense,111290000.0,144207000.0,122726000.0,84026000.0,
Other Operating Expenses,8516000.0,26667000.0,24935000.0,-18233000.0,
Selling General And Administration,188559000.0,201552000.0,156769000.0,102259000.0,
General And Administrative Expense,188559000.0,201552000.0,156769000.0,102259000.0,
Gross Profit,444143000.0,467135000.0,487639000.0,289925000.0,
Cost Of Revenue,2351613000.0,1871490000.0,1579411000.0,1107114000.0,
Total Revenue,2795756000.0,2338625000.0,2067050000.0,1397039000.0,
Operating Revenue,2795756000.0,2338625000.0,2067050000.0,1397039000.0,
