,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-50016036.6,-504423320.0,-68870004.3,-3662347.5,
Tax Rate For Calcs,0.0459,0.34,0.0669,0.0105,
Normalized EBITDA,3972445000.0,3818904000.0,3997889000.0,2276432000.0,
Total Unusual Items,-1089674000.0,-1483598000.0,-1029447000.0,-348795000.0,
Total Unusual Items Excluding Goodwill,-1089674000.0,-1483598000.0,-1029447000.0,-348795000.0,
Net Income From Continuing Operation Net Minority Interest,1196668000.0,976259000.0,1291704000.0,633112000.0,
Reconciled Depreciation,1244254000.0,1098363000.0,1041025000.0,916070000.0,
Reconciled Cost Of Revenue,5694417000.0,5427247000.0,5286323000.0,4399178000.0,
EBITDA,2882771000.0,2335306000.0,2968442000.0,1927637000.0,
EBIT,1638517000.0,1236943000.0,1927417000.0,1011567000.0,
Net Interest Income,-520299000.0,-550751000.0,-471346000.0,-539617000.0,
Interest Expense,317520000.0,396276000.0,543132000.0,371714000.0,
Interest Income,312401000.0,409298000.0,548592000.0,223090000.0,
Normalized Income,2236325963.4,1955433680.0,2252280995.7,978244652.5,
Net Income From Continuing And Discontinued Operation,1196668000.0,976259000.0,1291704000.0,633112000.0,
Total Expenses,11477521000.0,10688740000.0,10324494000.0,9004384000.0,
Rent Expense Supplemental,450566000.0,433037000.0,436118000.0,391854000.0,
Total Operating Income As Reported,,,1407401000.0,813944000.0,856879000.0
Diluted Average Shares,1055635145.0,1057702059.0,1073897967.0,1050729028.0,
Basic Average Shares,1051385000.0,1054573000.0,1071493500.0,1047693900.0,
Diluted EPS,1.1336,0.923,1.202818,0.602545,
Basic EPS,1.1382,0.9257,1.205545,0.604273,
Diluted NI Availto Com Stockholders,1196668000.0,976259000.0,1291704000.0,633112000.0,
Net Income Common Stockholders,1196668000.0,976259000.0,1291704000.0,633112000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1196668000.0,976259000.0,1291704000.0,633112000.0,
Net Income Including Noncontrolling Interests,1196668000.0,976259000.0,1291704000.0,633112000.0,
Net Income Continuous Operations,1196668000.0,976259000.0,1291704000.0,633112000.0,
Tax Provision,124329000.0,-135592000.0,92581000.0,6741000.0,
Pretax Income,1320997000.0,840667000.0,1384285000.0,639853000.0,
Special Income Charges,-1100617000.0,-1484119000.0,-1029447000.0,-348795000.0,
Write Off,957280000.0,1343277000.0,991742000.0,339801000.0,
Impairment Of Capital Assets,143337000.0,140842000.0,37705000.0,8994000.0,
Net Non Operating Interest Income Expense,-520299000.0,-550751000.0,-471346000.0,-539617000.0,
Total Other Finance Cost,515180000.0,563773000.0,476806000.0,390993000.0,
Interest Expense Non Operating,317520000.0,396276000.0,543132000.0,371714000.0,
Interest Income Non Operating,312401000.0,409298000.0,548592000.0,223090000.0,
Operating Income,2958845000.0,2959109000.0,2946643000.0,1567182000.0,
Operating Expense,5783104000.0,5261493000.0,5038171000.0,4605206000.0,
Other Operating Expenses,33717000.0,20449000.0,509795000.0,38080000.0,
Depreciation And Amortization In Income Statement,1197844000.0,1050242000.0,993850000.0,877017000.0,
Depreciation Income Statement,1197844000.0,1050242000.0,993850000.0,877017000.0,
Selling General And Administration,2021453000.0,1921353000.0,1797242000.0,1571964000.0,
Selling And Marketing Expense,1557934000.0,1499147000.0,1399739000.0,1274801000.0,
General And Administrative Expense,463519000.0,422206000.0,397503000.0,297163000.0,
Rent And Landing Fees,450566000.0,433037000.0,436118000.0,391854000.0,
Gross Profit,8741949000.0,8220602000.0,7984814000.0,6172388000.0,
Cost Of Revenue,5694417000.0,5427247000.0,5286323000.0,4399178000.0,
Total Revenue,14436366000.0,13647849000.0,13271137000.0,10571566000.0,
Operating Revenue,14436366000.0,13647849000.0,13271137000.0,10571566000.0,
