,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,1428350.0,-41714056.0,27929980.0,24132180.0,
Tax Rate For Calcs,0.35,0.328,0.34,0.34,
Normalized EBITDA,197697000.0,141614000.0,87504000.0,37002000.0,
Total Unusual Items,4081000.0,-127177000.0,82147000.0,70977000.0,
Total Unusual Items Excluding Goodwill,4081000.0,-127177000.0,82147000.0,70977000.0,
Net Income From Continuing Operation Net Minority Interest,42194000.0,-73735000.0,28273000.0,-15749000.0,
Reconciled Depreciation,130413000.0,118147000.0,102950000.0,87336000.0,
Reconciled Cost Of Revenue,715020000.0,694846000.0,624201000.0,435676000.0,
EBITDA,201778000.0,14437000.0,169651000.0,107979000.0,
EBIT,71365000.0,-103710000.0,66701000.0,20643000.0,
Net Interest Income,-60632000.0,-76886000.0,-70295000.0,-76280000.0,
Interest Expense,6449000.0,5943000.0,6630000.0,8084000.0,
Interest Income,1985000.0,1771000.0,1331000.0,1386000.0,
Normalized Income,39541350.0,11727944.0,-25944020.0,-62593820.0,
Net Income From Continuing And Discontinued Operation,42194000.0,-73735000.0,28273000.0,-15749000.0,
Total Expenses,1247895000.0,1197675000.0,1086590000.0,782058000.0,
Diluted Average Shares,578380000.0,589501000.0,597348000.0,593086000.0,
Basic Average Shares,575292000.0,589501000.0,588400000.0,578371000.0,
Diluted EPS,0.073,-0.13,0.05,-0.03,
Basic EPS,0.0733,-0.13,0.05,-0.03,
Diluted NI Availto Com Stockholders,42194000.0,-73735000.0,28273000.0,-15749000.0,
Net Income Common Stockholders,42194000.0,-73735000.0,28273000.0,-15749000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,42194000.0,-73735000.0,28273000.0,-15749000.0,
Net Income Including Noncontrolling Interests,42194000.0,-73735000.0,28273000.0,-15749000.0,
Net Income Continuous Operations,42194000.0,-73735000.0,28273000.0,-15749000.0,
Tax Provision,22722000.0,-35918000.0,31798000.0,28308000.0,
Pretax Income,64916000.0,-109653000.0,60071000.0,12559000.0,
Special Income Charges,-77372000.0,-281600000.0,-101372000.0,-9450000.0,
Other Special Charges,-289000.0,-199000.0,-222000.0,-668000.0,
Write Off,8619000.0,8817000.0,3704000.0,10118000.0,
Restructuring And Mergern Acquisition,69042000.0,272982000.0,97890000.0,,0.0
Net Non Operating Interest Income Expense,-60632000.0,-76886000.0,-70295000.0,-76280000.0,
Total Other Finance Cost,56168000.0,72714000.0,64996000.0,69582000.0,
Interest Expense Non Operating,6449000.0,5943000.0,6630000.0,8084000.0,
Interest Income Non Operating,1985000.0,1771000.0,1331000.0,1386000.0,
Operating Income,122137000.0,95081000.0,48801000.0,18150000.0,
Operating Expense,532875000.0,502829000.0,462389000.0,346382000.0,
Selling General And Administration,541296000.0,516259000.0,464164000.0,348431000.0,
Selling And Marketing Expense,283852000.0,263661000.0,248230000.0,152457000.0,
General And Administrative Expense,257444000.0,252598000.0,215934000.0,195974000.0,
Gross Profit,655012000.0,597910000.0,511190000.0,364532000.0,
Cost Of Revenue,715020000.0,694846000.0,624201000.0,435676000.0,
Total Revenue,1370032000.0,1292756000.0,1135391000.0,800208000.0,
Operating Revenue,1370032000.0,1292756000.0,1135391000.0,800208000.0,
