,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,1134730.924512,-137148.813159,234963.148067,-2390119.018939,
Tax Rate For Calcs,0.134431,0.194537,0.175739,0.140175,
Normalized EBITDA,330633000.0,224865000.0,160397000.0,141960000.0,
Total Unusual Items,8441000.0,-705000.0,1337000.0,-17051000.0,
Total Unusual Items Excluding Goodwill,8441000.0,-705000.0,1337000.0,-17051000.0,
Net Income From Continuing Operation Net Minority Interest,251494000.0,155838000.0,105917000.0,82954000.0,
Reconciled Depreciation,10527000.0,7651000.0,4975000.0,4182000.0,
Reconciled Cost Of Revenue,1043410000.0,751454000.0,533059000.0,393880000.0,
EBITDA,339074000.0,224160000.0,161734000.0,124909000.0,
EBIT,328547000.0,216509000.0,156759000.0,120727000.0,
Net Interest Income,11346000.0,-1890000.0,20301000.0,29995000.0,
Interest Expense,38502000.0,23307000.0,29303000.0,21936000.0,
Interest Income,55365000.0,23092000.0,49949000.0,53029000.0,
Normalized Income,244187730.924512,156405851.186841,104814963.148067,97614880.981061,
Net Income From Continuing And Discontinued Operation,251494000.0,155838000.0,105917000.0,82954000.0,
Total Expenses,1299895000.0,957226000.0,694224000.0,534897000.0,
Diluted Average Shares,,84751368.0,84909375.0,84312889.0,77918557.0
Basic Average Shares,,84751368.0,84645423.0,84312889.0,77918557.0
Diluted EPS,,1.838767,1.247412,0.98,-1.28
Basic EPS,,1.838767,1.251302,0.98,-1.28
Diluted NI Availto Com Stockholders,251494000.0,155838000.0,105917000.0,82954000.0,
Net Income Common Stockholders,251494000.0,155838000.0,105917000.0,82954000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,251494000.0,155838000.0,105917000.0,82954000.0,
Minority Interests,440000.0,221000.0,860000.0,-1989000.0,
Net Income Including Noncontrolling Interests,251054000.0,155617000.0,105057000.0,84943000.0,
Net Income Continuous Operations,251054000.0,155617000.0,105057000.0,84943000.0,
Tax Provision,38991000.0,37585000.0,22399000.0,13848000.0,
Pretax Income,290045000.0,193202000.0,127456000.0,98791000.0,
Special Income Charges,-22309000.0,-23951000.0,-18257000.0,-23611000.0,
Other Special Charges,22309000.0,23972000.0,17079000.0,20067000.0,
Write Off,0.0,-21000.0,1178000.0,3544000.0,
Net Non Operating Interest Income Expense,11346000.0,-1890000.0,20301000.0,29995000.0,
Total Other Finance Cost,5517000.0,1675000.0,345000.0,1098000.0,
Interest Expense Non Operating,38502000.0,23307000.0,29303000.0,21936000.0,
Interest Income Non Operating,55365000.0,23092000.0,49949000.0,53029000.0,
Operating Income,270129000.0,194017000.0,105303000.0,84746000.0,
Operating Expense,256485000.0,205772000.0,161165000.0,141017000.0,
Other Operating Expenses,15546000.0,17336000.0,15310000.0,13546000.0,
Depreciation And Amortization In Income Statement,6004000.0,6314000.0,4686000.0,3258000.0,
Depreciation Income Statement,6004000.0,6314000.0,4686000.0,3258000.0,
Selling General And Administration,160844000.0,119115000.0,87581000.0,78992000.0,
Selling And Marketing Expense,129274000.0,92660000.0,63413000.0,61243000.0,
General And Administrative Expense,31570000.0,26455000.0,24168000.0,17749000.0,
Gross Profit,526614000.0,399789000.0,266468000.0,225763000.0,
Cost Of Revenue,1043410000.0,751454000.0,533059000.0,393880000.0,
Total Revenue,1570024000.0,1151243000.0,799527000.0,619643000.0,
Operating Revenue,1570024000.0,1151243000.0,799527000.0,619643000.0,
