,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,3732315.419581,18655460.0,75302180.0,-1384140.0,
Tax Rate For Calcs,0.135356,0.34,0.34,0.34,
Normalized EBITDA,96977000.0,101366000.0,243659000.0,144773000.0,
Total Unusual Items,27574000.0,54869000.0,221477000.0,-4071000.0,
Total Unusual Items Excluding Goodwill,27574000.0,54869000.0,221477000.0,-4071000.0,
Net Income From Continuing Operation Net Minority Interest,-76278000.0,-85303000.0,55223000.0,-108867000.0,
Reconciled Depreciation,77032000.0,78566000.0,215800000.0,159449000.0,
Reconciled Cost Of Revenue,1494928000.0,1455747000.0,1456471000.0,1222413000.0,
EBITDA,124551000.0,156235000.0,465136000.0,140702000.0,
EBIT,47519000.0,77669000.0,249336000.0,-18747000.0,
Net Interest Income,-150859000.0,-168395000.0,-137185000.0,-88594000.0,
Interest Expense,135738000.0,134688000.0,128897000.0,86264000.0,
Interest Income,,,0.0,0.0,164000.0
Normalized Income,-100119684.580419,-121516540.0,-90951820.0,-106180140.0,
Net Income From Continuing And Discontinued Operation,-76278000.0,-81997000.0,72669000.0,-80449000.0,
Total Expenses,2234801000.0,2195784000.0,2064955000.0,1769070000.0,
Rent Expense Supplemental,,,,90682000.0,38587000.0
Diluted Average Shares,,285444000.0,285444000.0,288849000.0,286370000.0
Basic Average Shares,,285444000.0,285444000.0,285444000.0,286370000.0
Diluted EPS,,-0.28726,0.25458,-0.28184,-1.64984
Basic EPS,,-0.28726,0.25458,-0.28184,-1.64984
Diluted NI Availto Com Stockholders,-76278000.0,-81997000.0,72669000.0,-80449000.0,
Net Income Common Stockholders,-76278000.0,-81997000.0,72669000.0,-80449000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-76278000.0,-81997000.0,72669000.0,-80449000.0,
Net Income Including Noncontrolling Interests,-76278000.0,-81997000.0,72669000.0,-80449000.0,
Net Income Discontinuous Operations,0.0,3306000.0,17446000.0,28418000.0,
Net Income Continuous Operations,-76278000.0,-85303000.0,55223000.0,-108867000.0,
Tax Provision,-11941000.0,28284000.0,65216000.0,3856000.0,
Pretax Income,-88219000.0,-57019000.0,120439000.0,-105011000.0,
Special Income Charges,9782000.0,42502000.0,212062000.0,-13822000.0,
Other Special Charges,-17186000.0,-42921000.0,-215642000.0,-430000.0,
Write Off,,,,0.0,327432000.0
Impairment Of Capital Assets,,,932000.0,710000.0,2911000.0
Restructuring And Mergern Acquisition,7404000.0,419000.0,3580000.0,13542000.0,
Net Non Operating Interest Income Expense,-150859000.0,-168395000.0,-137185000.0,-88594000.0,
Total Other Finance Cost,15121000.0,33707000.0,8288000.0,2330000.0,
Interest Expense Non Operating,135738000.0,134688000.0,128897000.0,86264000.0,
Interest Income Non Operating,,,0.0,0.0,164000.0
Operating Income,-9817000.0,30561000.0,26734000.0,-25599000.0,
Operating Expense,739873000.0,740037000.0,608484000.0,546657000.0,
Other Operating Expenses,-55838000.0,-44304000.0,12684000.0,5533000.0,
Depreciation And Amortization In Income Statement,,,,119119000.0,117552000.0
Depreciation Income Statement,,,,119119000.0,117552000.0
Selling General And Administration,840529000.0,845377000.0,704006000.0,578936000.0,
Selling And Marketing Expense,612153000.0,615602000.0,504341000.0,435088000.0,
General And Administrative Expense,228376000.0,229775000.0,199665000.0,143848000.0,
Rent And Landing Fees,,,,90682000.0,38587000.0
Gross Profit,730056000.0,770598000.0,635218000.0,521058000.0,
Cost Of Revenue,1494928000.0,1455747000.0,1456471000.0,1222413000.0,
Total Revenue,2224984000.0,2226345000.0,2091689000.0,1743471000.0,
Operating Revenue,2224984000.0,2226345000.0,2091689000.0,1743471000.0,
