,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,2068701.489549,,7309320.0,0.0,0.0
Tax Rate For Calcs,0.359587,,0.34,0.2147,0.34
Normalized EBITDA,9740000.0,,149026000.0,245518000.0,22479000.0
Total Unusual Items,5753000.0,,21498000.0,1279000.0,41909000.0
Total Unusual Items Excluding Goodwill,5753000.0,,21498000.0,1279000.0,41909000.0
Net Income From Continuing Operation Net Minority Interest,-41575000.0,,258724000.0,149330000.0,-30980000.0
Reconciled Depreciation,21411000.0,,19720000.0,19068000.0,19058000.0
Reconciled Cost Of Revenue,834552000.0,,873266000.0,732221000.0,465772000.0
EBITDA,15493000.0,,170524000.0,245518000.0,22479000.0
EBIT,-5918000.0,,150804000.0,226450000.0,3421000.0
Net Interest Income,-55739000.0,,-56960000.0,24777000.0,-15732000.0
Interest Expense,59001000.0,,59025000.0,36297000.0,31919000.0
Interest Income,7017000.0,,4700000.0,61074000.0,16187000.0
Normalized Income,-45259298.510451,,244535320.0,149330000.0,-30980000.0
Net Income From Continuing And Discontinued Operation,-41575000.0,,258724000.0,149330000.0,-30980000.0
Total Expenses,888548000.0,,915457000.0,669830000.0,467876000.0
Diluted Average Shares,,,5783212.0,5783212.0,5783212.0
Basic Average Shares,,,5783212.0,5783212.0,5783212.0
Diluted EPS,,,44.7371,25.821291,-5.356885
Basic EPS,,,44.7371,25.821291,-5.356885
Diluted NI Availto Com Stockholders,-41575000.0,,258724000.0,149330000.0,-30980000.0
Net Income Common Stockholders,-41575000.0,,258724000.0,149330000.0,-30980000.0
Otherunder Preferred Stock Dividend,0.0,,0.0,0.0,0.0
Net Income,-41575000.0,,258724000.0,149330000.0,-30980000.0
Net Income Including Noncontrolling Interests,-41575000.0,,258724000.0,149330000.0,-30980000.0
Net Income Continuous Operations,-41575000.0,,258724000.0,149330000.0,-30980000.0
Tax Provision,-23344000.0,,-166945000.0,40823000.0,2482000.0
Pretax Income,-64919000.0,,91779000.0,190153000.0,-28498000.0
Special Income Charges,5753000.0,,21498000.0,1279000.0,41909000.0
Other Special Charges,-5291000.0,,-21498000.0,-1279000.0,-41909000.0
Write Off,-462000.0,0.0,,,
Net Non Operating Interest Income Expense,-55739000.0,,-56960000.0,24777000.0,-15732000.0
Total Other Finance Cost,3755000.0,,2635000.0,-58200000.0,-14625000.0
Interest Expense Non Operating,59001000.0,,59025000.0,36297000.0,31919000.0
Interest Income Non Operating,7017000.0,,4700000.0,61074000.0,16187000.0
Operating Income,59490000.0,,101729000.0,193144000.0,78576000.0
Operating Expense,53996000.0,,42191000.0,-62391000.0,2104000.0
Other Operating Expenses,8539000.0,483000.0,12893000.0,21866000.0,
Selling General And Administration,48270000.0,43951000.0,37065000.0,34013000.0,
Selling And Marketing Expense,10525000.0,,6126000.0,5846000.0,5625000.0
General And Administrative Expense,37745000.0,34906000.0,30939000.0,28167000.0,
Gross Profit,113486000.0,,143920000.0,130753000.0,80680000.0
Cost Of Revenue,834552000.0,,873266000.0,732221000.0,465772000.0
Total Revenue,948038000.0,,1017186000.0,862974000.0,546452000.0
Operating Revenue,948038000.0,,1017186000.0,862974000.0,546452000.0
