,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,210366105.5,-232736451.1,-146016421.2,-15512427.0,
Tax Rate For Calcs,0.2521,0.2521,0.2223,0.3066,
Normalized EBITDA,3627601000.0,3742231000.0,4193055000.0,2398884000.0,
Total Unusual Items,834455000.0,-923191000.0,-656844000.0,-50595000.0,
Total Unusual Items Excluding Goodwill,834455000.0,-923191000.0,-656844000.0,-50595000.0,
Net Income From Continuing Operation Net Minority Interest,231493000.0,-650851000.0,556406000.0,819439000.0,
Reconciled Depreciation,2080489000.0,2237679000.0,1134430000.0,416251000.0,
Reconciled Cost Of Revenue,9465403000.0,7573494000.0,5694571000.0,2946075000.0,
EBITDA,4462056000.0,2819040000.0,3536211000.0,2348289000.0,
EBIT,2381567000.0,581361000.0,2401781000.0,1932038000.0,
Net Interest Income,-2274362000.0,-1537708000.0,-1688796000.0,-745997000.0,
Interest Expense,2072044000.0,1418170000.0,1686372000.0,750268000.0,
Interest Income,17384000.0,83296000.0,12415000.0,9712000.0,
Normalized Income,-392595894.5,39603548.9,1067233578.8,854521573.0,
Net Income From Continuing And Discontinued Operation,231493000.0,-650851000.0,556406000.0,819439000.0,
Total Expenses,10961364000.0,9140499000.0,6910778000.0,3684234000.0,
Rent Expense Supplemental,,,,31397000.0,40359000.0
Total Operating Income As Reported,-1395795000.0,-1506954000.0,-1188800000.0,,
Diluted Average Shares,481935343.0,481935343.0,361553033.0,326136965.0,
Basic Average Shares,481903426.0,481903426.0,361553033.0,325516539.0,
Diluted EPS,0.4803,-1.3506,1.5372,2.5126,
Basic EPS,0.4804,-1.3506,1.5389,2.5173,
Diluted NI Availto Com Stockholders,231493000.0,-650851000.0,556406000.0,819439000.0,
Net Income Common Stockholders,231493000.0,-650851000.0,556406000.0,819439000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,231493000.0,-650851000.0,556406000.0,819439000.0,
Net Income Including Noncontrolling Interests,231493000.0,-650851000.0,556406000.0,819439000.0,
Net Income Continuous Operations,231493000.0,-650851000.0,556406000.0,819439000.0,
Tax Provision,78030000.0,-185958000.0,159003000.0,362331000.0,
Pretax Income,309523000.0,-836809000.0,715409000.0,1181770000.0,
Special Income Charges,,,,-30499000.0,-58415000.0
Write Off,,,,30499000.0,58415000.0
Net Non Operating Interest Income Expense,-2274362000.0,-1537708000.0,-1688796000.0,-745997000.0,
Total Other Finance Cost,219702000.0,202834000.0,14839000.0,-4271000.0,
Interest Expense Non Operating,2072044000.0,1418170000.0,1686372000.0,750268000.0,
Interest Income Non Operating,17384000.0,83296000.0,12415000.0,9712000.0,
Operating Income,2519906000.0,1201516000.0,2389341000.0,1648389000.0,
Operating Expense,1495961000.0,1567005000.0,1216207000.0,738159000.0,
Other Operating Expenses,325404000.0,353706000.0,257745000.0,148062000.0,
Selling General And Administration,1170557000.0,1213299000.0,958462000.0,590097000.0,
Selling And Marketing Expense,619817000.0,555464000.0,486776000.0,297143000.0,
General And Administrative Expense,550740000.0,657835000.0,471686000.0,292954000.0,
Gross Profit,4015867000.0,2768521000.0,3605548000.0,2386548000.0,
Cost Of Revenue,9465403000.0,7573494000.0,5694571000.0,2946075000.0,
Total Revenue,13481270000.0,10342015000.0,9300119000.0,5332623000.0,
Operating Revenue,13481270000.0,10342015000.0,9300119000.0,5332623000.0,
