,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-362752120.0,-120624720.0,-421295020.0,-253306750.0,
Tax Rate For Calcs,0.34,0.24,0.34,0.25,
Normalized EBITDA,14338510000.0,8100226000.0,12942868000.0,13222818000.0,
Total Unusual Items,-1066918000.0,-502603000.0,-1239103000.0,-1013227000.0,
Total Unusual Items Excluding Goodwill,-1066918000.0,-502603000.0,-1239103000.0,-1013227000.0,
Net Income From Continuing Operation Net Minority Interest,1710952000.0,-1348159000.0,4842654000.0,4341997000.0,
Reconciled Depreciation,7197504000.0,6740232000.0,5332693000.0,1563272000.0,
Reconciled Cost Of Revenue,129170289000.0,118840540000.0,108890314000.0,68187863000.0,
EBITDA,13271592000.0,7597623000.0,11703765000.0,12209591000.0,
EBIT,6074088000.0,857391000.0,6371072000.0,10646319000.0,
Net Interest Income,-4178614000.0,-3924148000.0,-2401225000.0,-1585746000.0,
Interest Expense,5668976000.0,5398619000.0,3379240000.0,1743890000.0,
Interest Income,1490362000.0,1474471000.0,978015000.0,158144000.0,
Normalized Income,2415117880.0,-966180720.0,5660461980.0,5101917250.0,
Net Income From Continuing And Discontinued Operation,2795401000.0,-1517776000.0,4165827000.0,4341997000.0,
Total Expenses,142889103000.0,131093319000.0,116140227000.0,72756863000.0,
Diluted Average Shares,,641427502.0,651153510.0,680243175.0,703865584.0
Basic Average Shares,,641427502.0,650685247.0,680243175.0,703865584.0
Diluted EPS,,-2.3663,6.3976,6.370177,4.690852
Basic EPS,,-2.3663,6.4022,6.383004,4.690852
Diluted NI Availto Com Stockholders,2795401000.0,-1517776000.0,4165827000.0,4341997000.0,
Net Income Common Stockholders,2795401000.0,-1517776000.0,4165827000.0,4341997000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,2795401000.0,-1517776000.0,4165827000.0,4341997000.0,
Minority Interests,-1085469000.0,2103470000.0,1402852000.0,-2304382000.0,
Net Income Including Noncontrolling Interests,3880870000.0,-3621246000.0,2762975000.0,6646379000.0,
Net Income Discontinuous Operations,1084449000.0,-169617000.0,-676827000.0,0.0,
Net Income Continuous Operations,2796421000.0,-3451629000.0,3439802000.0,6646379000.0,
Tax Provision,-2391309000.0,-1089599000.0,-447970000.0,2256050000.0,
Pretax Income,405112000.0,-4541228000.0,2991832000.0,8902429000.0,
Special Income Charges,-1066918000.0,-502603000.0,-443794000.0,46137000.0,
Other Special Charges,1066918000.0,502603000.0,443794000.0,-46137000.0,
Net Non Operating Interest Income Expense,-4178614000.0,-3924148000.0,-2401225000.0,-1585746000.0,
Total Other Finance Cost,,,297584000.0,-46137000.0,-30649000.0
Interest Expense Non Operating,5668976000.0,5398619000.0,3379240000.0,1743890000.0,
Interest Income Non Operating,1490362000.0,1474471000.0,978015000.0,158144000.0,
Operating Income,5971856000.0,1124691000.0,9231133000.0,12631605000.0,
Operating Expense,13718814000.0,12252779000.0,7249913000.0,4569000000.0,
Other Operating Expenses,265020000.0,,,349255000.0,347734000.0
Depreciation And Amortization In Income Statement,1176990000.0,1091524000.0,872181000.0,401827000.0,
Depreciation Income Statement,1176990000.0,1091524000.0,872181000.0,401827000.0,
Selling General And Administration,9087326000.0,8521692000.0,7512719000.0,3202222000.0,
Selling And Marketing Expense,8386513000.0,7757361000.0,7070122000.0,2944053000.0,
General And Administrative Expense,700813000.0,764331000.0,442597000.0,258169000.0,
Gross Profit,19690670000.0,13377470000.0,16481046000.0,17200605000.0,
Cost Of Revenue,129170289000.0,118840540000.0,108890314000.0,68187863000.0,
Total Revenue,148860959000.0,132218010000.0,125371360000.0,85388468000.0,
Operating Revenue,148860959000.0,132218010000.0,125371360000.0,85388468000.0,
