,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-116032140.0,65256880.0,130800040.0,121465234.235311,
Tax Rate For Calcs,0.34,0.34,0.34,0.235067,
Normalized EBITDA,669066000.0,272228000.0,231734000.0,886932000.0,
Total Unusual Items,-341271000.0,191932000.0,384706000.0,516725000.0,
Total Unusual Items Excluding Goodwill,-341271000.0,191932000.0,384706000.0,516725000.0,
Net Income From Continuing Operation Net Minority Interest,-503202000.0,-29815000.0,-176648000.0,804945000.0,
Reconciled Depreciation,172616000.0,133409000.0,176381000.0,129009000.0,
Reconciled Cost Of Revenue,6633159000.0,5742737000.0,5327731000.0,5277356000.0,
EBITDA,327795000.0,464160000.0,616440000.0,1403657000.0,
EBIT,155179000.0,330751000.0,440059000.0,1274648000.0,
Net Interest Income,-747911000.0,-443352000.0,-197489000.0,30736000.0,
Interest Expense,488788000.0,404138000.0,314466000.0,94574000.0,
Interest Income,8126000.0,5143000.0,2982000.0,2084000.0,
Normalized Income,-277963140.0,-156490120.0,-430553960.0,409685234.235311,
Net Income From Continuing And Discontinued Operation,-503202000.0,-29815000.0,-176648000.0,804945000.0,
Total Expenses,8359176000.0,7326905000.0,6787028000.0,6527419000.0,
Rent Expense Supplemental,138296000.0,33667000.0,14214000.0,44778000.0,
Diluted Average Shares,,520617000.0,483226000.0,485074000.0,481223000.0
Basic Average Shares,,520617000.0,483226000.0,482859000.0,478865000.0
Diluted EPS,,-0.05727,-0.36556,1.65943,1.14321
Basic EPS,,-0.05727,-0.36556,1.66704,1.14884
Diluted NI Availto Com Stockholders,-503202000.0,-29815000.0,-176648000.0,804945000.0,
Net Income Common Stockholders,-503202000.0,-29815000.0,-176648000.0,804945000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-503202000.0,-29815000.0,-176648000.0,804945000.0,
Minority Interests,-21105000.0,-11376000.0,-53185000.0,-97732000.0,
Net Income Including Noncontrolling Interests,-482097000.0,-18439000.0,-123463000.0,902677000.0,
Net Income Continuous Operations,-482097000.0,-18439000.0,-123463000.0,902677000.0,
Tax Provision,148488000.0,-54948000.0,249056000.0,277397000.0,
Pretax Income,-333609000.0,-73387000.0,125593000.0,1180074000.0,
Special Income Charges,-98241000.0,27364000.0,595593000.0,588057000.0,
Other Special Charges,98241000.0,-27364000.0,-595593000.0,-588057000.0,
Net Non Operating Interest Income Expense,-747911000.0,-443352000.0,-197489000.0,30736000.0,
Total Other Finance Cost,267249000.0,44357000.0,-113995000.0,-123226000.0,
Interest Expense Non Operating,488788000.0,404138000.0,314466000.0,94574000.0,
Interest Income Non Operating,8126000.0,5143000.0,2982000.0,2084000.0,
Operating Income,649859000.0,103010000.0,-141743000.0,590981000.0,
Operating Expense,1726017000.0,1584168000.0,1459297000.0,1250063000.0,
Other Operating Expenses,250604000.0,242670000.0,213819000.0,120455000.0,
Depreciation And Amortization In Income Statement,104160000.0,80192000.0,73292000.0,61503000.0,
Depreciation Income Statement,104160000.0,80192000.0,73292000.0,61503000.0,
Selling General And Administration,890925000.0,760878000.0,658863000.0,624857000.0,
Selling And Marketing Expense,182528000.0,195539000.0,158264000.0,142774000.0,
General And Administrative Expense,708397000.0,565339000.0,500599000.0,482083000.0,
Gross Profit,2375876000.0,1687178000.0,1317554000.0,1841044000.0,
Cost Of Revenue,6633159000.0,5742737000.0,5327731000.0,5277356000.0,
Total Revenue,9009035000.0,7429915000.0,6645285000.0,7118400000.0,
Operating Revenue,9009035000.0,7429915000.0,6645285000.0,7118400000.0,
