,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,488180000.0,-163440000.0,-149240000.0,48600000.0
Tax Rate For Calcs,0.22,0.09,0.14,0.27
Normalized EBITDA,9793000000.0,13407000000.0,12529000000.0,9522000000.0
Total Unusual Items,2219000000.0,-1816000000.0,-1066000000.0,180000000.0
Total Unusual Items Excluding Goodwill,2219000000.0,-1816000000.0,-1066000000.0,180000000.0
Net Income From Continuing Operation Net Minority Interest,3635000000.0,4461000000.0,4718000000.0,3925000000.0
Reconciled Depreciation,2853000000.0,2611000000.0,2280000000.0,1777000000.0
Reconciled Cost Of Revenue,35896000000.0,32621000000.0,30321000000.0,32261000000.0
EBITDA,12012000000.0,11591000000.0,11463000000.0,9702000000.0
EBIT,9159000000.0,8980000000.0,9183000000.0,7925000000.0
Net Interest Income,-4637000000.0,-4147000000.0,-3629000000.0,-2143000000.0
Interest Expense,4450000000.0,4024000000.0,3644000000.0,2336000000.0
Interest Income,333000000.0,342000000.0,389000000.0,500000000.0
Normalized Income,1904180000.0,6113560000.0,5634760000.0,3793600000.0
Net Income From Continuing And Discontinued Operation,3635000000.0,4461000000.0,4718000000.0,3925000000.0
Total Expenses,34555000000.0,32049000000.0,28689000000.0,31567000000.0
Total Operating Income As Reported,9701000000.0,9799000000.0,9339000000.0,7872000000.0
Diluted Average Shares,1214000000.0,1214000000.0,1214000000.0,1214000000.0
Basic Average Shares,1214000000.0,1214000000.0,1214000000.0,1214000000.0
Diluted EPS,2.99,3.68,3.89,3.233114
Basic EPS,2.99,3.68,3.89,3.233114
Diluted NI Availto Com Stockholders,3635000000.0,4461000000.0,4718000000.0,3925000000.0
Net Income Common Stockholders,3635000000.0,4461000000.0,4718000000.0,3925000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3635000000.0,4461000000.0,4718000000.0,3925000000.0
Minority Interests,-47000000.0,-66000000.0,-69000000.0,-141000000.0
Net Income Including Noncontrolling Interests,3682000000.0,4527000000.0,4787000000.0,4066000000.0
Net Income Continuous Operations,3682000000.0,4527000000.0,4787000000.0,4066000000.0
Tax Provision,1027000000.0,429000000.0,752000000.0,1523000000.0
Pretax Income,4709000000.0,4956000000.0,5539000000.0,5589000000.0
Other Non Operating Income Expenses,-277000000.0,1247000000.0,-136000000.0,-482000000.0
Special Income Charges,-356000000.0,-317000000.0,-331000000.0,-352000000.0
Other Special Charges,356000000.0,317000000.0,331000000.0,352000000.0
Net Non Operating Interest Income Expense,-4637000000.0,-4147000000.0,-3629000000.0,-2143000000.0
Total Other Finance Cost,520000000.0,465000000.0,374000000.0,307000000.0
Interest Expense Non Operating,4450000000.0,4024000000.0,3644000000.0,2336000000.0
Interest Income Non Operating,333000000.0,342000000.0,389000000.0,500000000.0
Operating Income,10084000000.0,8588000000.0,9574000000.0,8611000000.0
Operating Expense,-1341000000.0,-572000000.0,-1632000000.0,-694000000.0
Other Operating Expenses,682000000.0,748000000.0,628000000.0,424000000.0
Depreciation And Amortization In Income Statement,338000000.0,376000000.0,268000000.0,204000000.0
Depreciation Income Statement,338000000.0,376000000.0,268000000.0,204000000.0
Selling General And Administration,1023000000.0,1155000000.0,1143000000.0,906000000.0
Selling And Marketing Expense,133000000.0,252000000.0,264000000.0,238000000.0
General And Administrative Expense,890000000.0,903000000.0,879000000.0,668000000.0
Gross Profit,8743000000.0,8016000000.0,7942000000.0,7917000000.0
Cost Of Revenue,35896000000.0,32621000000.0,30321000000.0,32261000000.0
Total Revenue,44639000000.0,40637000000.0,38263000000.0,40178000000.0
Operating Revenue,44639000000.0,40637000000.0,38263000000.0,40178000000.0
