,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,550199.025183,8907660.0,8456140.0,3098144.7,
Tax Rate For Calcs,0.084322,0.34,0.34,0.3787,
Normalized EBITDA,-13175000.0,21069000.0,17460000.0,42662000.0,
Total Unusual Items,6525000.0,26199000.0,24871000.0,8181000.0,
Total Unusual Items Excluding Goodwill,6525000.0,26199000.0,24871000.0,8181000.0,
Net Income From Continuing Operation Net Minority Interest,-33816000.0,7165000.0,14231000.0,14610000.0,
Reconciled Depreciation,28327000.0,23840000.0,28437000.0,18533000.0,
Reconciled Cost Of Revenue,111790000.0,95617000.0,95987000.0,82199000.0,
EBITDA,-6650000.0,47268000.0,42331000.0,50843000.0,
EBIT,-34977000.0,23428000.0,13894000.0,32310000.0,
Net Interest Income,-5435000.0,-7736000.0,-22183000.0,-13424000.0,
Interest Expense,1953000.0,6085000.0,11806000.0,8842000.0,
Interest Income,216000.0,2858000.0,629000.0,185000.0,
Normalized Income,-39790800.974817,-10126340.0,-2183860.0,9527144.7,
Net Income From Continuing And Discontinued Operation,-33816000.0,7165000.0,14231000.0,14610000.0,
Total Expenses,308108000.0,266851000.0,264897000.0,216042000.0,
Rent Expense Supplemental,1266000.0,1137000.0,1154000.0,361000.0,
Total Operating Income As Reported,,,-651000.0,27033000.0,33936000.0
Diluted Average Shares,,9147000.0,9305920.0,9469417.0,9451457.0
Basic Average Shares,,9141000.0,9276320.0,9469417.0,9451457.0
Diluted EPS,,0.7838,1.53,1.542862,1.307629
Basic EPS,,0.7838,1.535,1.542862,1.307629
Diluted NI Availto Com Stockholders,-33816000.0,7165000.0,14231000.0,14610000.0,
Net Income Common Stockholders,-33816000.0,7165000.0,14231000.0,14610000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-33816000.0,7165000.0,14231000.0,14610000.0,
Minority Interests,0.0,1594000.0,1116000.0,30000.0,
Net Income Including Noncontrolling Interests,-33816000.0,5571000.0,13115000.0,14580000.0,
Net Income Continuous Operations,-33816000.0,5571000.0,13115000.0,14580000.0,
Tax Provision,-3114000.0,11772000.0,-11027000.0,8888000.0,
Pretax Income,-36930000.0,17343000.0,2088000.0,23468000.0,
Other Non Operating Income Expenses,-180000.0,1805000.0,1145000.0,1649000.0,
Special Income Charges,-7578000.0,3334000.0,-3404000.0,-4539000.0,
Other Special Charges,-66000.0,-85000.0,-66000.0,,-600000.0
Write Off,27697000.0,0.0,,,
Restructuring And Mergern Acquisition,-20053000.0,-3249000.0,3470000.0,4539000.0,
Net Non Operating Interest Income Expense,-5435000.0,-7736000.0,-22183000.0,-13424000.0,
Total Other Finance Cost,3698000.0,4509000.0,11006000.0,4767000.0,
Interest Expense Non Operating,1953000.0,6085000.0,11806000.0,8842000.0,
Interest Income Non Operating,216000.0,2858000.0,629000.0,185000.0,
Operating Income,-34010000.0,1471000.0,850000.0,29562000.0,
Operating Expense,196318000.0,171234000.0,168910000.0,133843000.0,
Other Operating Expenses,3213000.0,1678000.0,481000.0,-7000.0,
Research And Development,57998000.0,50001000.0,51695000.0,44148000.0,
Selling General And Administration,128503000.0,115045000.0,114829000.0,88950000.0,
Selling And Marketing Expense,50598000.0,45826000.0,42990000.0,32451000.0,
General And Administrative Expense,77905000.0,69219000.0,71839000.0,56499000.0,
Rent And Landing Fees,892000.0,1139000.0,601000.0,361000.0,
Gross Profit,162308000.0,172705000.0,169760000.0,163405000.0,
Cost Of Revenue,111790000.0,95617000.0,95987000.0,82199000.0,
Total Revenue,274098000.0,268322000.0,265747000.0,245604000.0,
Operating Revenue,274098000.0,268322000.0,265747000.0,245604000.0,
