,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-42991640.0,8469740.0,-943280.812901,1112480.0,
Tax Rate For Calcs,0.34,0.34,0.06393,0.34,
Normalized EBITDA,397682000.0,1094760000.0,707920000.0,340399000.0,
Total Unusual Items,-126446000.0,24911000.0,-14755000.0,3272000.0,
Total Unusual Items Excluding Goodwill,-126446000.0,24911000.0,-14755000.0,3272000.0,
Net Income From Continuing Operation Net Minority Interest,-646190000.0,223618000.0,46260000.0,-46900000.0,
Reconciled Depreciation,326379000.0,257365000.0,175152000.0,126973000.0,
Reconciled Cost Of Revenue,4166809000.0,3560200000.0,2636145000.0,1833275000.0,
EBITDA,271236000.0,1119671000.0,693165000.0,343671000.0,
EBIT,-55143000.0,862306000.0,518013000.0,216698000.0,
Net Interest Income,-490537000.0,-537293000.0,-438700000.0,-114831000.0,
Interest Expense,601712000.0,559788000.0,396473000.0,154361000.0,
Interest Income,44676000.0,23231000.0,7710000.0,3081000.0,
Normalized Income,-562735640.0,207176740.0,60071719.187099,-49059520.0,
Net Income From Continuing And Discontinued Operation,-646190000.0,223618000.0,46260000.0,-46900000.0,
Total Expenses,6370000000.0,4748896000.0,3642375000.0,2528170000.0,
Total Operating Income As Reported,-119947000.0,758018000.0,470565000.0,177215000.0,
Diluted Average Shares,,535516745.0,531699287.0,412479603.0,401816385.0
Basic Average Shares,,523653349.0,479831399.0,412479603.0,401816385.0
Diluted EPS,,0.4176,0.087,-0.113674,-0.392435
Basic EPS,,0.427,0.0964,-0.113674,-0.392435
Diluted NI Availto Com Stockholders,-646190000.0,223618000.0,46260000.0,-46900000.0,
Net Income Common Stockholders,-646190000.0,223618000.0,46260000.0,-46900000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-646190000.0,223618000.0,46260000.0,-46900000.0,
Minority Interests,71235000.0,-88944000.0,-67510000.0,-24483000.0,
Net Income Including Noncontrolling Interests,-717425000.0,312562000.0,113770000.0,-22417000.0,
Net Income Continuous Operations,-717425000.0,312562000.0,113770000.0,-22417000.0,
Tax Provision,60570000.0,-10044000.0,7770000.0,84754000.0,
Pretax Income,-656855000.0,302518000.0,121540000.0,62337000.0,
Net Non Operating Interest Income Expense,-490537000.0,-537293000.0,-438700000.0,-114831000.0,
Total Other Finance Cost,-66499000.0,736000.0,49937000.0,-36449000.0,
Interest Expense Non Operating,601712000.0,559788000.0,396473000.0,154361000.0,
Interest Income Non Operating,44676000.0,23231000.0,7710000.0,3081000.0,
Operating Income,-142773000.0,739880000.0,445877000.0,173896000.0,
Operating Expense,2203191000.0,1188696000.0,1006230000.0,694895000.0,
Other Operating Expenses,806427000.0,16627000.0,25413000.0,6845000.0,
Selling General And Administration,1396764000.0,1172069000.0,980817000.0,688050000.0,
General And Administrative Expense,1396764000.0,1172069000.0,980817000.0,688050000.0,
Gross Profit,2060418000.0,1928576000.0,1452107000.0,868791000.0,
Cost Of Revenue,4166809000.0,3560200000.0,2636145000.0,1833275000.0,
Total Revenue,6227227000.0,5488776000.0,4088252000.0,2702066000.0,
Operating Revenue,6227227000.0,5488776000.0,4088252000.0,2702066000.0,
