,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-1802919.689493,-2928141.499161,-954569.84945,1100002.248201
Tax Rate For Calcs,0.12661,0.248632,0.300652,0.277428
Total Unusual Items,-14240000.0,-11777000.0,-3175000.0,3965000.0
Total Unusual Items Excluding Goodwill,-14240000.0,-11777000.0,-3175000.0,3965000.0
Net Income From Continuing Operation Net Minority Interest,258248000.0,180878000.0,40900000.0,5942000.0
Reconciled Depreciation,6936000.0,2120000.0,2130000.0,2279000.0
Net Interest Income,-405665000.0,-634758000.0,-477689000.0,-364331000.0
Interest Expense,1944908000.0,1779655000.0,1215318000.0,818944000.0
Interest Income,1539243000.0,1144897000.0,737629000.0,454613000.0
Normalized Income,270685080.310507,189726858.500839,43120430.15055,3077002.248201
Net Income From Continuing And Discontinued Operation,258248000.0,180878000.0,40900000.0,5942000.0
Diluted Average Shares,229737568.0,183749316.0,186948231.0,167210101.0
Basic Average Shares,229737568.0,183749316.0,186948231.0,167210101.0
Diluted EPS,1.1241,1.8456,0.419049,0.035536
Basic EPS,1.1241,1.8456,0.419049,0.035536
Diluted NI Availto Com Stockholders,258248000.0,180878000.0,40900000.0,5942000.0
Net Income Common Stockholders,258248000.0,180878000.0,40900000.0,5942000.0
Net Income,258248000.0,180878000.0,40900000.0,5942000.0
Net Income Including Noncontrolling Interests,258248000.0,180878000.0,40900000.0,5942000.0
Net Income Continuous Operations,258248000.0,180878000.0,40900000.0,5942000.0
Tax Provision,43874000.0,75119000.0,28178000.0,8021000.0
Pretax Income,346530000.0,302129000.0,93723000.0,28912000.0
Other Non Operating Income Expenses,21984000.0,34067000.0,68055000.0,28587000.0
Special Income Charges,-14240000.0,-11777000.0,-3175000.0,3965000.0
Other Special Charges,14240000.0,11777000.0,3175000.0,-3965000.0
Gain On Sale Of Security,1037139000.0,832142000.0,570526000.0,447067000.0
Operating Expense,394878000.0,344749000.0,220836000.0,291865000.0
Other Operating Expenses,54435000.0,76136000.0,26006000.0,96929000.0
Depreciation And Amortization In Income Statement,6936000.0,2120000.0,2130000.0,2279000.0
Depreciation Income Statement,6936000.0,2120000.0,2130000.0,2279000.0
Selling General And Administration,164143000.0,123911000.0,64850000.0,69370000.0
Selling And Marketing Expense,,,1571000.0,1738000.0
General And Administrative Expense,164143000.0,123911000.0,64850000.0,67632000.0
Insurance And Claims,25571000.0,21437000.0,19826000.0,17527000.0
Rent And Landing Fees,13587000.0,9271000.0,7200000.0,16237000.0
Total Revenue,786828000.0,611065000.0,284004000.0,280762000.0
Operating Revenue,786828000.0,611065000.0,284004000.0,280762000.0
