,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,4932494.171575,3487737.842718,4905932.5942,984431.286559,
Tax Rate For Calcs,0.124975,0.146741,0.202951,0.165618,
Normalized EBITDA,461828000.0,339211000.0,184556000.0,184335000.0,
Total Unusual Items,39468000.0,23768000.0,24173000.0,5944000.0,
Total Unusual Items Excluding Goodwill,39468000.0,23768000.0,24173000.0,5944000.0,
Net Income From Continuing Operation Net Minority Interest,343824000.0,268554000.0,133679000.0,135086000.0,
Reconciled Depreciation,18805000.0,17029000.0,22306000.0,20955000.0,
Reconciled Cost Of Revenue,1733018000.0,1368707000.0,1062284000.0,874491000.0,
EBITDA,501296000.0,362979000.0,208729000.0,190279000.0,
EBIT,482491000.0,345950000.0,186423000.0,169324000.0,
Net Interest Income,-39082000.0,-17375000.0,-15463000.0,-6300000.0,
Interest Expense,36144000.0,21412000.0,20102000.0,7427000.0,
Interest Income,1210000.0,743000.0,394000.0,255000.0,
Normalized Income,309288494.171575,248273737.842718,114411932.5942,130126431.286559,
Net Income From Continuing And Discontinued Operation,343824000.0,268554000.0,133679000.0,135086000.0,
Total Expenses,2139546000.0,1751017000.0,1330994000.0,1107498000.0,
Diluted Average Shares,,205842000.0,198256000.0,204256000.0,201291000.0
Basic Average Shares,,198256000.0,198256000.0,204256000.0,201291000.0
Diluted EPS,,1.3047,0.674275,0.66,0.66
Basic EPS,,1.3546,0.674275,0.66,0.66
Diluted NI Availto Com Stockholders,343824000.0,268554000.0,133679000.0,135086000.0,
Net Income Common Stockholders,343824000.0,268554000.0,133679000.0,135086000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,343824000.0,268554000.0,133679000.0,135086000.0,
Minority Interests,-46741000.0,-8361000.0,1113000.0,2000.0,
Net Income Including Noncontrolling Interests,390565000.0,276915000.0,132566000.0,135084000.0,
Net Income Continuous Operations,390565000.0,276915000.0,132566000.0,135084000.0,
Tax Provision,55782000.0,47623000.0,33755000.0,26813000.0,
Pretax Income,446347000.0,324538000.0,166321000.0,161897000.0,
Net Non Operating Interest Income Expense,-39082000.0,-17375000.0,-15463000.0,-6300000.0,
Total Other Finance Cost,4148000.0,-3294000.0,-4245000.0,-872000.0,
Interest Expense Non Operating,36144000.0,21412000.0,20102000.0,7427000.0,
Interest Income Non Operating,1210000.0,743000.0,394000.0,255000.0,
Operating Income,449851000.0,321006000.0,161211000.0,163762000.0,
Operating Expense,406528000.0,382310000.0,268710000.0,233007000.0,
Other Operating Expenses,7465000.0,29014000.0,21428000.0,3529000.0,
Depreciation And Amortization In Income Statement,7692000.0,5029000.0,4177000.0,2347000.0,
Depreciation Income Statement,7692000.0,5029000.0,4177000.0,2347000.0,
Selling General And Administration,294651000.0,278235000.0,185616000.0,174704000.0,
Selling And Marketing Expense,174086000.0,176863000.0,112215000.0,111340000.0,
General And Administrative Expense,120565000.0,101372000.0,73401000.0,63364000.0,
Gross Profit,856379000.0,703316000.0,429921000.0,396769000.0,
Cost Of Revenue,1733018000.0,1368707000.0,1062284000.0,874491000.0,
Total Revenue,2589397000.0,2072023000.0,1492205000.0,1271260000.0,
Operating Revenue,2589397000.0,2072023000.0,1492205000.0,1271260000.0,
