,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,1259713.984933,-416160.0,-208868.0,-57730.0
Tax Rate For Calcs,0.062675,0.34,0.101,0.046
Normalized EBITDA,407548000.0,395535000.0,335091000.0,279392000.0
Total Unusual Items,20099000.0,-1224000.0,-2068000.0,-1255000.0
Total Unusual Items Excluding Goodwill,20099000.0,-1224000.0,-2068000.0,-1255000.0
Net Income From Continuing Operation Net Minority Interest,105509000.0,92905000.0,86345000.0,79426000.0
Reconciled Depreciation,210203000.0,200154000.0,184568000.0,157774000.0
Reconciled Cost Of Revenue,3371196000.0,3083809000.0,2747937000.0,2236809000.0
EBITDA,427647000.0,394311000.0,333023000.0,278137000.0
EBIT,217444000.0,194157000.0,148455000.0,120363000.0
Net Interest Income,-110125000.0,-104045000.0,-74566000.0,-27969000.0
Interest Expense,104880000.0,102573000.0,70025000.0,37124000.0
Interest Income,6181000.0,5713000.0,2682000.0,7247000.0
Normalized Income,86669713.984933,93712840.0,88204132.0,80623270.0
Net Income From Continuing And Discontinued Operation,105509000.0,92905000.0,86345000.0,79426000.0
Total Expenses,4743521000.0,4292579000.0,3851238000.0,3122454000.0
Rent Expense Supplemental,47260000.0,40174000.0,34279000.0,29630000.0
Total Operating Income As Reported,195279000.0,166573000.0,137285000.0,
Diluted Average Shares,149114338.0,148707743.0,148574609.0,149591026.0
Basic Average Shares,149114338.0,148707743.0,148574609.0,149591026.0
Diluted EPS,0.7,0.62,0.58,0.53
Basic EPS,0.71,0.62,0.58,0.53
Diluted NI Availto Com Stockholders,105509000.0,92905000.0,86345000.0,79426000.0
Net Income Common Stockholders,105509000.0,92905000.0,86345000.0,79426000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,105509000.0,92905000.0,86345000.0,79426000.0
Net Income Including Noncontrolling Interests,105509000.0,92905000.0,86345000.0,79426000.0
Net Income Continuous Operations,105509000.0,92905000.0,86345000.0,79426000.0
Tax Provision,7055000.0,-1321000.0,-7915000.0,3813000.0
Pretax Income,112564000.0,91584000.0,78430000.0,83239000.0
Other Non Operating Income Expenses,347000.0,379000.0,330000.0,105000.0
Special Income Charges,-4027000.0,-2258000.0,-2068000.0,-1255000.0
Other Special Charges,4027000.0,2258000.0,2068000.0,1255000.0
Net Non Operating Interest Income Expense,-110125000.0,-104045000.0,-74566000.0,-27969000.0
Total Other Finance Cost,11426000.0,7185000.0,7223000.0,-1908000.0
Interest Expense Non Operating,104880000.0,102573000.0,70025000.0,37124000.0
Interest Income Non Operating,6181000.0,5713000.0,2682000.0,7247000.0
Operating Income,198941000.0,168438000.0,139237000.0,102954000.0
Operating Expense,1372325000.0,1208770000.0,1103301000.0,885645000.0
Other Operating Expenses,28058000.0,27127000.0,21178000.0,15422000.0
Depreciation And Amortization In Income Statement,209194000.0,199085000.0,183766000.0,157154000.0
Depreciation Income Statement,209194000.0,199085000.0,183766000.0,157154000.0
Selling General And Administration,288829000.0,232793000.0,220141000.0,179664000.0
Selling And Marketing Expense,260471000.0,216170000.0,210060000.0,170888000.0
General And Administrative Expense,28358000.0,16623000.0,10081000.0,8776000.0
Rent And Landing Fees,47260000.0,40174000.0,34279000.0,29630000.0
Gross Profit,1571266000.0,1377208000.0,1242538000.0,988599000.0
Cost Of Revenue,3371196000.0,3083809000.0,2747937000.0,2236809000.0
Total Revenue,4942462000.0,4461017000.0,3990475000.0,3225408000.0
Operating Revenue,4942462000.0,4461017000.0,3990475000.0,3225408000.0
