,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,-51192.480061,18629.202173,0.0,
Tax Rate For Calcs,0.167404,0.012862,0.002042,0.025649,
Normalized EBITDA,329020000.0,556819000.0,627612000.0,409349000.0,
Total Unusual Items,0.0,-3980000.0,9121000.0,0.0,
Total Unusual Items Excluding Goodwill,0.0,-3980000.0,9121000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,80378000.0,246760000.0,303117000.0,200258000.0,
Reconciled Depreciation,57417000.0,56230000.0,49891000.0,42344000.0,
Reconciled Cost Of Revenue,2764289000.0,2864102000.0,3796478000.0,2596881000.0,
EBITDA,329020000.0,552839000.0,636733000.0,409349000.0,
EBIT,271603000.0,496609000.0,586842000.0,367005000.0,
Net Interest Income,-180398000.0,-247070000.0,-306169000.0,-115062000.0,
Interest Expense,169467000.0,242458000.0,279858000.0,158768000.0,
Interest Income,7449000.0,4101000.0,10416000.0,43706000.0,
Normalized Income,80378000.0,250688807.519939,294014629.202173,200258000.0,
Net Income From Continuing And Discontinued Operation,80378000.0,246760000.0,303117000.0,200258000.0,
Total Expenses,3027320000.0,2967467000.0,3771149000.0,3066496000.0,
Diluted Average Shares,,140339000.0,140083000.0,140689897.0,136359000.0
Basic Average Shares,,140069000.0,139861000.0,140167985.0,136178000.0
Diluted EPS,,1.7583,2.1638,1.4234,1.4005
Basic EPS,,1.7617,2.1673,1.4287,1.4024
Diluted NI Availto Com Stockholders,80378000.0,246760000.0,303117000.0,200258000.0,
Net Income Common Stockholders,80378000.0,246760000.0,303117000.0,200258000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,80378000.0,246760000.0,303117000.0,200258000.0,
Minority Interests,-4660000.0,-4122000.0,-3240000.0,-2638000.0,
Net Income Including Noncontrolling Interests,85038000.0,250882000.0,306357000.0,202896000.0,
Net Income Continuous Operations,85038000.0,250882000.0,306357000.0,202896000.0,
Tax Provision,17098000.0,3269000.0,627000.0,5341000.0,
Pretax Income,102136000.0,254151000.0,306984000.0,208237000.0,
Net Non Operating Interest Income Expense,-180398000.0,-247070000.0,-306169000.0,-115062000.0,
Total Other Finance Cost,18380000.0,8713000.0,36727000.0,43632000.0,
Interest Expense Non Operating,169467000.0,242458000.0,279858000.0,158768000.0,
Interest Income Non Operating,7449000.0,4101000.0,10416000.0,43706000.0,
Operating Income,305012000.0,506792000.0,627390000.0,298991000.0,
Operating Expense,263031000.0,103365000.0,-25329000.0,469615000.0,
Other Operating Expenses,12163000.0,8342000.0,5975000.0,1962000.0,
Selling General And Administration,657146000.0,712408000.0,737589000.0,527200000.0,
Selling And Marketing Expense,436329000.0,496236000.0,540264000.0,363763000.0,
General And Administrative Expense,220817000.0,216172000.0,197325000.0,163437000.0,
Gross Profit,568043000.0,610157000.0,602061000.0,768606000.0,
Cost Of Revenue,2764289000.0,2864102000.0,3796478000.0,2596881000.0,
Total Revenue,3332332000.0,3474259000.0,4398539000.0,3365487000.0,
Operating Revenue,3332332000.0,3474259000.0,4398539000.0,3365487000.0,
