,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1293942.0,15860938.5,-2709369.0,-1301082.0,
Tax Rate For Calcs,0.159,0.1065,0.1494,0.226,
Normalized EBITDA,3148533000.0,2573130000.0,2470733000.0,2636132000.0,
Total Unusual Items,-8138000.0,179040000.0,-18135000.0,-5757000.0,
Total Unusual Items Excluding Goodwill,-8138000.0,148929000.0,-18135000.0,-5757000.0,
Net Income From Continuing Operation Net Minority Interest,1197694000.0,1054973000.0,996112000.0,751934000.0,
Reconciled Depreciation,911965000.0,797690000.0,700166000.0,1327110000.0,
Reconciled Cost Of Revenue,27314740000.0,23766426000.0,20257912000.0,16920834000.0,
EBITDA,3140395000.0,2752170000.0,2452598000.0,2630375000.0,
EBIT,2228430000.0,1954480000.0,1752432000.0,1303265000.0,
Net Interest Income,-969148000.0,-916576000.0,-673914000.0,-388723000.0,
Interest Expense,812719000.0,737787000.0,559223000.0,316003000.0,
Interest Income,24000.0,43000.0,487000.0,64000.0,
Normalized Income,1204538058.0,952015938.5,1011537631.0,756389918.0,
Net Income From Continuing And Discontinued Operation,1197694000.0,1054973000.0,996112000.0,751934000.0,
Total Expenses,36497284000.0,32020446000.0,27201338000.0,22753646000.0,
Total Operating Income As Reported,,2080489000.0,1839324000.0,,
Diluted Average Shares,1654988000.0,1629994231.0,1653674000.0,1719936400.0,
Basic Average Shares,1649227000.0,1629994231.0,1647653000.0,1715241840.0,
Diluted EPS,0.72369,0.647223,0.60236,0.437183,
Basic EPS,0.72622,0.647223,0.60456,0.438385,
Diluted NI Availto Com Stockholders,1197694000.0,1054973000.0,996112000.0,751934000.0,
Net Income Common Stockholders,1197694000.0,1054973000.0,996112000.0,751934000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1197694000.0,1054973000.0,996112000.0,751934000.0,
Minority Interests,-11509000.0,-32170000.0,-18856000.0,-12199000.0,
Net Income Including Noncontrolling Interests,1209203000.0,1087143000.0,1014968000.0,764133000.0,
Net Income Continuous Operations,1209203000.0,1087143000.0,1014968000.0,764133000.0,
Tax Provision,206508000.0,129550000.0,178241000.0,223129000.0,
Pretax Income,1415711000.0,1216693000.0,1193209000.0,987262000.0,
Special Income Charges,-8138000.0,148929000.0,-18135000.0,-5757000.0,
Other Special Charges,-27113000.0,-178179000.0,-10210000.0,-17634000.0,
Impairment Of Capital Assets,9717000.0,-861000.0,28345000.0,23391000.0,
Restructuring And Mergern Acquisition,25534000.0,0.0,,0.0,-732000.0
Net Non Operating Interest Income Expense,-969148000.0,-916576000.0,-673914000.0,-388723000.0,
Total Other Finance Cost,156453000.0,178832000.0,115178000.0,72784000.0,
Interest Expense Non Operating,812719000.0,737787000.0,559223000.0,316003000.0,
Interest Income Non Operating,24000.0,43000.0,487000.0,64000.0,
Operating Income,2367171000.0,1953344000.0,1866042000.0,1373356000.0,
Operating Expense,9182544000.0,8254020000.0,6943426000.0,5832812000.0,
Other Operating Expenses,-12127000.0,61450000.0,-103303000.0,-45530000.0,
Selling General And Administration,9194671000.0,8192801000.0,7055839000.0,5879153000.0,
Selling And Marketing Expense,7627561000.0,6689275000.0,5805992000.0,4966819000.0,
General And Administrative Expense,1567110000.0,1503526000.0,1249847000.0,912334000.0,
Gross Profit,11549715000.0,10207364000.0,8809468000.0,7206168000.0,
Cost Of Revenue,27314740000.0,23766426000.0,20257912000.0,16920834000.0,
Total Revenue,38864455000.0,33973790000.0,29067380000.0,24127002000.0,
Operating Revenue,38864455000.0,33973790000.0,29067380000.0,24127002000.0,
