,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-742539260.0,-143799727.5,-185240179.7,34921393.2,
Tax Rate For Calcs,0.34,0.2145,0.2731,0.0254,
Normalized EBITDA,7531040000.0,7323245000.0,6184348000.0,3285602000.0,
Total Unusual Items,-2183939000.0,-670395000.0,-678287000.0,1374858000.0,
Total Unusual Items Excluding Goodwill,-2183939000.0,-670395000.0,-678287000.0,1374858000.0,
Net Income From Continuing Operation Net Minority Interest,-959247000.0,719666000.0,514940000.0,150538000.0,
Reconciled Depreciation,2303380000.0,2175834000.0,1966945000.0,1830683000.0,
Reconciled Cost Of Revenue,7533536000.0,6838432000.0,6695148000.0,5352040000.0,
EBITDA,5347101000.0,6652850000.0,5506061000.0,4660460000.0,
EBIT,3043721000.0,4477016000.0,3539116000.0,2829777000.0,
Net Interest Income,-3074016000.0,-3453023000.0,-2715702000.0,-2624479000.0,
Interest Expense,3192478000.0,3557924000.0,2831979000.0,2669983000.0,
Interest Income,168230000.0,168070000.0,190390000.0,108390000.0,
Normalized Income,482152740.0,1246261272.5,1007986820.3,-1189398606.8,
Net Income From Continuing And Discontinued Operation,-959247000.0,719666000.0,514940000.0,150538000.0,
Total Expenses,8229231000.0,7394951000.0,7074412000.0,5863858000.0,
Rent Expense Supplemental,,,,,59693000.0
Diluted Average Shares,1850048000.0,1857051000.0,1857395000.0,1857598000.0,
Basic Average Shares,1850048000.0,1852294000.0,1852890000.0,1852890000.0,
Diluted EPS,-0.5185,0.38753,0.27724,0.08104,
Basic EPS,-0.5185,0.38853,0.278,0.08124,
Diluted NI Availto Com Stockholders,-959247000.0,719666000.0,514940000.0,150538000.0,
Net Income Common Stockholders,-959247000.0,719666000.0,514940000.0,150538000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-959247000.0,719666000.0,514940000.0,150538000.0,
Minority Interests,-10005000.0,-2251000.0,919000.0,-5203000.0,
Net Income Including Noncontrolling Interests,-949242000.0,721917000.0,514021000.0,155741000.0,
Net Income Continuous Operations,-949242000.0,721917000.0,514021000.0,155741000.0,
Tax Provision,800485000.0,197175000.0,193116000.0,4053000.0,
Pretax Income,-148757000.0,919092000.0,707137000.0,159794000.0,
Other Non Operating Income Expenses,-108921000.0,32271000.0,479000.0,,102576000.0
Special Income Charges,-3202053000.0,-177162000.0,228135000.0,-68897000.0,
Other Special Charges,221664000.0,177162000.0,-228135000.0,68897000.0,
Write Off,3149244000.0,0.0,,0.0,143984000.0
Restructuring And Mergern Acquisition,-168855000.0,0.0,,,
Net Non Operating Interest Income Expense,-3074016000.0,-3453023000.0,-2715702000.0,-2624479000.0,
Total Other Finance Cost,49768000.0,63169000.0,74113000.0,62886000.0,
Interest Expense Non Operating,3192478000.0,3557924000.0,2831979000.0,2669983000.0,
Interest Income Non Operating,168230000.0,168070000.0,190390000.0,108390000.0,
Operating Income,5707158000.0,3542765000.0,2767096000.0,1575774000.0,
Operating Expense,695695000.0,556519000.0,379264000.0,511818000.0,
Other Operating Expenses,20606000.0,-3696000.0,-64841000.0,64661000.0,
Depreciation And Amortization In Income Statement,,,,0.0,97560000.0
Depreciation Income Statement,,,,0.0,97560000.0
Selling General And Administration,710684000.0,600630000.0,499193000.0,511698000.0,
Selling And Marketing Expense,49006000.0,40657000.0,30619000.0,38959000.0,
General And Administrative Expense,661678000.0,559973000.0,468574000.0,472739000.0,
Gross Profit,6402853000.0,4099284000.0,3146360000.0,2087592000.0,
Cost Of Revenue,7533536000.0,6838432000.0,6695148000.0,5352040000.0,
Total Revenue,13936389000.0,10937716000.0,9841508000.0,7439632000.0,
Operating Revenue,13936389000.0,10937716000.0,9841508000.0,7439632000.0,
