,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-125305980.0,-1228.127585,-9139634.303941,0.0,
Tax Rate For Calcs,0.34,0.027292,0.129253,0.242782,
Normalized EBITDA,1601041000.0,1419972000.0,1750842000.0,562673000.0,
Total Unusual Items,-368547000.0,-45000.0,-70711000.0,0.0,
Total Unusual Items Excluding Goodwill,-368547000.0,-45000.0,-70711000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,437498000.0,708938000.0,1153391000.0,176899000.0,
Reconciled Depreciation,694816000.0,598327000.0,351220000.0,250200000.0,
Reconciled Cost Of Revenue,2072805000.0,1916661000.0,1534412000.0,667850000.0,
EBITDA,1232494000.0,1419927000.0,1680131000.0,562673000.0,
EBIT,537678000.0,821600000.0,1328911000.0,312473000.0,
Net Interest Income,-190292000.0,-42879000.0,66400000.0,-50855000.0,
Interest Expense,174273000.0,92771000.0,93150000.0,78856000.0,
Interest Income,50552000.0,65949000.0,28881000.0,31243000.0,
Normalized Income,680739020.0,708981771.872415,1214962365.696059,176899000.0,
Net Income From Continuing And Discontinued Operation,437498000.0,708938000.0,1153391000.0,176899000.0,
Total Expenses,2316334000.0,2134544000.0,1647028000.0,767738000.0,
Total Operating Income As Reported,,679817000.0,1258200000.0,284606000.0,231820000.0
Diluted Average Shares,293176559.0,293190718.0,292774540.0,221500920.0,
Basic Average Shares,293100768.0,292920165.0,292774540.0,220361969.0,
Diluted EPS,1.4923,2.418,3.939519,0.799,
Basic EPS,1.4927,2.4202,3.939519,0.803,
Diluted NI Availto Com Stockholders,437498000.0,708938000.0,1153391000.0,176899000.0,
Net Income Common Stockholders,437498000.0,708938000.0,1153391000.0,176899000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,437498000.0,708938000.0,1153391000.0,176899000.0,
Net Income Including Noncontrolling Interests,437498000.0,708938000.0,1153391000.0,176899000.0,
Net Income Continuous Operations,437498000.0,708938000.0,1153391000.0,176899000.0,
Tax Provision,-74093000.0,19891000.0,171209000.0,56718000.0,
Pretax Income,363405000.0,728829000.0,1324600000.0,233617000.0,
Special Income Charges,0.0,0.0,-70711000.0,0.0,
Write Off,0.0,0.0,70711000.0,,
Restructuring And Mergern Acquisition,,,-75393000.0,0.0,
Net Non Operating Interest Income Expense,-190292000.0,-42879000.0,66400000.0,-50855000.0,
Total Other Finance Cost,66571000.0,16057000.0,-66400000.0,3242000.0,
Interest Expense Non Operating,174273000.0,92771000.0,93150000.0,78856000.0,
Interest Income Non Operating,50552000.0,65949000.0,28881000.0,31243000.0,
Operating Income,948220000.0,679817000.0,1328911000.0,272866000.0,
Operating Expense,243529000.0,217883000.0,112616000.0,99888000.0,
Other Operating Expenses,34814000.0,3818000.0,2239000.0,37044000.0,
Selling General And Administration,208715000.0,214065000.0,110377000.0,62844000.0,
General And Administrative Expense,208715000.0,214065000.0,110377000.0,62844000.0,
Gross Profit,1191749000.0,897700000.0,1441527000.0,372754000.0,
Cost Of Revenue,2072805000.0,1916661000.0,1534412000.0,667850000.0,
Total Revenue,3264554000.0,2814361000.0,2975939000.0,1040604000.0,
Operating Revenue,3264554000.0,2814361000.0,2975939000.0,1040604000.0,
