,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1327120.0,-5437410.0,2700900.0,-6108100.0,
Tax Rate For Calcs,0.02,0.11,0.06,0.34,
Normalized EBITDA,1371235000.0,1073305000.0,830939000.0,795359000.0,
Total Unusual Items,-66356000.0,-49431000.0,45015000.0,-17965000.0,
Total Unusual Items Excluding Goodwill,-66356000.0,-49431000.0,45015000.0,-17965000.0,
Net Income From Continuing Operation Net Minority Interest,536256000.0,169145000.0,205017000.0,498157000.0,
Reconciled Depreciation,428000000.0,415282000.0,353780000.0,324249000.0,
Reconciled Cost Of Revenue,3638589000.0,3674000000.0,3319775000.0,2758851000.0,
EBITDA,1304879000.0,1023874000.0,875954000.0,777394000.0,
EBIT,876879000.0,608592000.0,522174000.0,453145000.0,
Net Interest Income,-259882000.0,-520283000.0,-253075000.0,-211850000.0,
Interest Expense,328810000.0,418763000.0,303961000.0,242864000.0,
Interest Income,171045000.0,2457000.0,5916000.0,851000.0,
Normalized Income,601284880.0,213138590.0,162702900.0,510013900.0,
Net Income From Continuing And Discontinued Operation,536256000.0,169145000.0,205017000.0,498157000.0,
Total Expenses,6334381000.0,6259625000.0,5904096000.0,4690122000.0,
Rent Expense Supplemental,95225000.0,88808000.0,90870000.0,68650000.0,
Total Operating Income As Reported,612094000.0,530827000.0,401836000.0,402375000.0,
Diluted Average Shares,,251043000.0,253250000.0,254005000.0,239780000.0
Basic Average Shares,,243634000.0,243248000.0,242998000.0,228762000.0
Diluted EPS,,0.67,0.82,1.98,-0.58
Basic EPS,,0.69,0.84,2.05,-0.58
Diluted NI Availto Com Stockholders,536256000.0,169145000.0,205017000.0,498157000.0,
Net Income Common Stockholders,536256000.0,169145000.0,205017000.0,498157000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,536256000.0,169145000.0,205017000.0,498157000.0,
Minority Interests,422000.0,333000.0,415000.0,326000.0,
Net Income Including Noncontrolling Interests,535834000.0,168812000.0,204602000.0,497831000.0,
Net Income Continuous Operations,535834000.0,168812000.0,204602000.0,497831000.0,
Tax Provision,12235000.0,21017000.0,13611000.0,-287550000.0,
Pretax Income,548069000.0,189829000.0,218213000.0,210281000.0,
Special Income Charges,-66356000.0,-49431000.0,45015000.0,-17965000.0,
Other Special Charges,67091000.0,49811000.0,-47009000.0,17145000.0,
Write Off,-735000.0,-380000.0,1994000.0,820000.0,
Net Non Operating Interest Income Expense,-259882000.0,-520283000.0,-253075000.0,-211850000.0,
Total Other Finance Cost,102117000.0,103977000.0,-44970000.0,-30163000.0,
Interest Expense Non Operating,328810000.0,418763000.0,303961000.0,242864000.0,
Interest Income Non Operating,171045000.0,2457000.0,5916000.0,851000.0,
Operating Income,817333000.0,729046000.0,356611000.0,420340000.0,
Operating Expense,2695792000.0,2585625000.0,2584321000.0,1931271000.0,
Other Operating Expenses,-7720000.0,-12139000.0,394000.0,31672000.0,
Depreciation And Amortization In Income Statement,396659000.0,385405000.0,347698000.0,301967000.0,
Amortization,,,,168543000.0,130057000.0
Depreciation Income Statement,396659000.0,385405000.0,347698000.0,301967000.0,
Selling General And Administration,1217462000.0,1256907000.0,1314943000.0,918336000.0,
Selling And Marketing Expense,1014197000.0,1063284000.0,1142048000.0,769268000.0,
General And Administrative Expense,203265000.0,193623000.0,172895000.0,149068000.0,
Rent And Landing Fees,95225000.0,88808000.0,90870000.0,68650000.0,
Gross Profit,3513125000.0,3314671000.0,2940932000.0,2351611000.0,
Cost Of Revenue,3638589000.0,3674000000.0,3319775000.0,2758851000.0,
Total Revenue,7151714000.0,6988671000.0,6260707000.0,5110462000.0,
Operating Revenue,7151714000.0,6988671000.0,6260707000.0,5110462000.0,
