,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,19551488.8,-16661987.2,-50681264.4,28870196.0,
Tax Rate For Calcs,0.0632,0.2336,0.2598,0.2755,
Normalized EBITDA,1650955000.0,2600431000.0,3141622000.0,2072420000.0,
Total Unusual Items,309359000.0,-71327000.0,-195078000.0,104792000.0,
Total Unusual Items Excluding Goodwill,309359000.0,-71327000.0,-195078000.0,104792000.0,
Net Income From Continuing Operation Net Minority Interest,509410000.0,895600000.0,1267459000.0,1062116000.0,
Reconciled Depreciation,575304000.0,519230000.0,488557000.0,279157000.0,
Reconciled Cost Of Revenue,5495901000.0,6501430000.0,6387045000.0,4076725000.0,
EBITDA,1960314000.0,2529104000.0,2946544000.0,2177212000.0,
EBIT,1385010000.0,2009874000.0,2457987000.0,1898055000.0,
Net Interest Income,-877700000.0,-795867000.0,-670326000.0,-357976000.0,
Interest Expense,870794000.0,785969000.0,652162000.0,337245000.0,
Interest Income,15978000.0,438000.0,14105000.0,16684000.0,
Normalized Income,219602488.8,950265012.8,1411855735.6,986194196.0,
Net Income From Continuing And Discontinued Operation,509410000.0,895600000.0,1267459000.0,1062116000.0,
Total Expenses,6331434000.0,7233330000.0,7048006000.0,4396170000.0,
Rent Expense Supplemental,8845000.0,5017000.0,5316000.0,2672000.0,
Total Operating Income As Reported,,,2505293000.0,1913367000.0,780930000.0
Diluted Average Shares,440301490.0,434197663.0,419206605.0,505845828.0,
Basic Average Shares,439970201.0,430655308.0,418364952.0,503091213.0,
Diluted EPS,1.15696,2.06266,3.02347,2.099685,
Basic EPS,1.15783,2.07962,3.02955,2.11118,
Diluted NI Availto Com Stockholders,509410000.0,895600000.0,1267459000.0,1062116000.0,
Net Income Common Stockholders,509410000.0,895600000.0,1267459000.0,1062116000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,509410000.0,895600000.0,1267459000.0,1062116000.0,
Minority Interests,27687000.0,-42380000.0,-69274000.0,-68643000.0,
Net Income Including Noncontrolling Interests,481723000.0,937980000.0,1336733000.0,1130759000.0,
Net Income Continuous Operations,481723000.0,937980000.0,1336733000.0,1130759000.0,
Tax Provision,32493000.0,285925000.0,469092000.0,430051000.0,
Pretax Income,514216000.0,1223905000.0,1805825000.0,1560810000.0,
Other Non Operating Income Expenses,6135000.0,3160000.0,,,
Special Income Charges,39569000.0,10238000.0,8267000.0,,
Other Special Charges,-87127000.0,-10238000.0,-8267000.0,,
Write Off,,26933000.0,0.0,,
Impairment Of Capital Assets,47558000.0,0.0,,,
Net Non Operating Interest Income Expense,-877700000.0,-795867000.0,-670326000.0,-357976000.0,
Total Other Finance Cost,22884000.0,10336000.0,32269000.0,37415000.0,
Interest Expense Non Operating,870794000.0,785969000.0,652162000.0,337245000.0,
Interest Income Non Operating,15978000.0,438000.0,14105000.0,16684000.0,
Operating Income,1472193000.0,1888794000.0,2470338000.0,1928199000.0,
Operating Expense,835533000.0,731900000.0,660961000.0,319445000.0,
Other Operating Expenses,103849000.0,78178000.0,38610000.0,108983000.0,
Depreciation And Amortization In Income Statement,28097000.0,23781000.0,17514000.0,4135000.0,
Depreciation Income Statement,28097000.0,23781000.0,17514000.0,4135000.0,
Selling General And Administration,607868000.0,538010000.0,531818000.0,262482000.0,
Selling And Marketing Expense,502349000.0,396492000.0,385976000.0,214940000.0,
General And Administrative Expense,105519000.0,141518000.0,145842000.0,47542000.0,
Rent And Landing Fees,8845000.0,5017000.0,5316000.0,2672000.0,
Gross Profit,2307726000.0,2620694000.0,3131299000.0,2247644000.0,
Cost Of Revenue,5495901000.0,6501430000.0,6387045000.0,4076725000.0,
Total Revenue,7803627000.0,9122124000.0,9518344000.0,6324369000.0,
Operating Revenue,7803627000.0,9122124000.0,9518344000.0,6324369000.0,
