,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,989820.0,926000.0,-1677450.0,0.0,
Tax Rate For Calcs,0.09,0.04,0.15,0.16,
Normalized EBITDA,2654406000.0,2205605000.0,2363392000.0,3070560000.0,
Total Unusual Items,10998000.0,23150000.0,-11183000.0,0.0,
Total Unusual Items Excluding Goodwill,10998000.0,23150000.0,-11183000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,1693915000.0,1367720000.0,1449215000.0,2213714000.0,
Reconciled Depreciation,24720000.0,17924000.0,24978000.0,22652000.0,
Reconciled Cost Of Revenue,1245831000.0,1240720000.0,498448000.0,648988000.0,
EBITDA,2665404000.0,2228755000.0,2352209000.0,3070560000.0,
EBIT,2640684000.0,2210831000.0,2327231000.0,3047908000.0,
Net Interest Income,-822089000.0,-816886000.0,-645154000.0,-434365000.0,
Interest Expense,778170000.0,782708000.0,623500000.0,422764000.0,
Interest Income,9936000.0,6697000.0,2584000.0,,38813000.0
Normalized Income,1683906820.0,1345496000.0,1458720550.0,2213714000.0,
Net Income From Continuing And Discontinued Operation,1693915000.0,1367720000.0,1449215000.0,2213714000.0,
Total Expenses,1518910000.0,1454548000.0,740116000.0,818234000.0,
Rent Expense Supplemental,,335000.0,943000.0,2633000.0,2697000.0
Diluted NI Availto Com Stockholders,1693915000.0,1367720000.0,1449215000.0,2213714000.0,
Net Income Common Stockholders,1693915000.0,1367720000.0,1449215000.0,2213714000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1693915000.0,1367720000.0,1449215000.0,2213714000.0,
Net Income Including Noncontrolling Interests,1693915000.0,1367720000.0,1449215000.0,2213714000.0,
Net Income Continuous Operations,1693915000.0,1367720000.0,1449215000.0,2213714000.0,
Tax Provision,168599000.0,60403000.0,254516000.0,411430000.0,
Pretax Income,1862514000.0,1428123000.0,1703731000.0,2625144000.0,
Net Non Operating Interest Income Expense,-822089000.0,-816886000.0,-645154000.0,-434365000.0,
Total Other Finance Cost,53855000.0,40875000.0,24238000.0,11601000.0,
Interest Expense Non Operating,778170000.0,782708000.0,623500000.0,422764000.0,
Interest Income Non Operating,9936000.0,6697000.0,2584000.0,,38813000.0
Operating Income,2199228000.0,1906353000.0,1876401000.0,2653815000.0,
Operating Expense,273079000.0,213828000.0,241668000.0,169246000.0,
Other Operating Expenses,50659000.0,10439000.0,67181000.0,13639000.0,
Depreciation And Amortization In Income Statement,20786000.0,11864000.0,14318000.0,14092000.0,
Depreciation Income Statement,20786000.0,11864000.0,14318000.0,14092000.0,
Selling General And Administration,43702000.0,49450000.0,38402000.0,40163000.0,
General And Administrative Expense,43702000.0,49450000.0,38402000.0,40163000.0,
Rent And Landing Fees,,335000.0,943000.0,2633000.0,2697000.0
Gross Profit,2472307000.0,2120181000.0,2118069000.0,2823061000.0,
Cost Of Revenue,1245831000.0,1240720000.0,498448000.0,648988000.0,
Total Revenue,3718138000.0,3360901000.0,2616517000.0,3472049000.0,
Operating Revenue,3718138000.0,3360901000.0,2616517000.0,3472049000.0,
